pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.S_local.k_10.d_5	escherichia_coli.k32	local	10	5	22.57	0.33	22.13	99%	28480	0	0	22.573587
escherichia_coli.k32.S_global.k_11.d_na	escherichia_coli.k32	global	11	na	32.82	0.34	30.91	95%	101004	0	0	32.826387
escherichia_coli.k32.S_local.k_11.d_1	escherichia_coli.k32	local	11	1	47.45	0.47	45.83	97%	38876	0	0	47.452905
escherichia_coli.k32.S_local.k_11.d_2	escherichia_coli.k32	local	11	2	35.13	0.29	33.69	96%	39992	704	0	35.134899
escherichia_coli.k32.S_local.k_11.d_3	escherichia_coli.k32	local	11	3	33.06	0.32	31.54	96%	44192	0	0	33.070679
escherichia_coli.k32.S_local.k_11.d_4	escherichia_coli.k32	local	11	4	38.65	0.38	38.20	99%	76632	0	0	38.658391
escherichia_coli.k32.S_local.k_11.d_5	escherichia_coli.k32	local	11	5	43.39	0.52	41.16	96%	103208	0	0	43.395806
escherichia_coli.k32.S_global.k_12.d_na	escherichia_coli.k32	global	12	na	72.26	0.66	65.66	91%	389364	0	0	72.271723
escherichia_coli.k32.S_local.k_12.d_1	escherichia_coli.k32	local	12	1	43.74	0.39	39.67	91%	141060	0	0	43.749149
escherichia_coli.k32.S_local.k_12.d_2	escherichia_coli.k32	local	12	2	43.57	0.30	39.31	90%	145252	0	0	43.578854
escherichia_coli.k32.S_local.k_12.d_3	escherichia_coli.k32	local	12	3	46.52	0.42	41.34	89%	191580	0	0	46.531258
escherichia_coli.k32.S_local.k_12.d_4	escherichia_coli.k32	local	12	4	44.37	0.39	38.60	87%	218484	0	0	44.382335
escherichia_coli.k32.S_local.k_12.d_5	escherichia_coli.k32	local	12	5	65.25	0.81	56.69	88%	366412	0	0	65.261875
escherichia_coli.k32.S_global.k_13.d_na	escherichia_coli.k32	global	13	na	125.36	0.93	109.15	87%	1344848	0	0	125.364711
escherichia_coli.k32.S_local.k_13.d_1	escherichia_coli.k32	local	13	1	75.25	1.08	59.31	80%	552588	0	0	75.257687
escherichia_coli.k32.S_local.k_13.d_2	escherichia_coli.k32	local	13	2	81.32	0.79	63.60	79%	552872	0	0	81.327236
escherichia_coli.k32.S_local.k_13.d_3	escherichia_coli.k32	local	13	3	86.46	0.69	69.32	80%	605044	0	0	86.463801
escherichia_coli.k32.S_local.k_13.d_4	escherichia_coli.k32	local	13	4	86.68	0.72	85.42	99%	847084	0	0	86.686837
escherichia_coli.k32.S_local.k_13.d_5	escherichia_coli.k32	local	13	5	93.67	0.63	71.85	77%	1056148	0	0	93.683614
escherichia_coli.k32.S_global.k_14.d_na	escherichia_coli.k32	global	14	na	263.92	1.93	233.58	89%	3028328	0	0	263.927619
escherichia_coli.k32.S_local.k_14.d_1	escherichia_coli.k32	local	14	1	151.78	3.17	102.53	69%	1101468	0	0	151.784913
escherichia_coli.k32.S_local.k_14.d_2	escherichia_coli.k32	local	14	2	138.94	1.64	114.22	83%	1101532	0	0	138.949716
escherichia_coli.k32.S_local.k_14.d_3	escherichia_coli.k32	local	14	3	138.73	1.30	124.06	90%	1115660	0	0	138.738729
escherichia_coli.k32.S_local.k_14.d_4	escherichia_coli.k32	local	14	4	249.00	2.30	215.08	87%	1255236	0	0	249.003549
escherichia_coli.k32.S_local.k_14.d_5	escherichia_coli.k32	local	14	5	239.37	1.31	192.57	80%	2123328	0	0	239.377307
escherichia_coli.k32.S_global.k_15.d_na	escherichia_coli.k32	global	15	na	350.65	1.79	291.58	83%	4415464	0	0	350.662256
escherichia_coli.k32.S_local.k_15.d_1	escherichia_coli.k32	local	15	1	200.47	4.06	173.10	88%	1101532	0	0	200.473257
escherichia_coli.k32.S_local.k_15.d_2	escherichia_coli.k32	local	15	2	189.58	2.35	179.51	95%	1101468	0	0	189.592476
escherichia_coli.k32.S_local.k_15.d_3	escherichia_coli.k32	local	15	3	254.97	2.15	243.67	96%	1113348	0	0	254.975321
escherichia_coli.k32.S_local.k_15.d_4	escherichia_coli.k32	local	15	4	458.42	2.70	426.27	93%	1371900	0	0	458.425984
escherichia_coli.k32.S_local.k_15.d_5	escherichia_coli.k32	local	15	5	628.29	1.79	585.30	93%	1970628	0	0	628.295728
escherichia_coli.k32.S_global.k_16.d_na	escherichia_coli.k32	global	16	na	394.25	1.92	315.45	80%	5446340	0	0	394.262894
escherichia_coli.k32.S_local.k_16.d_1	escherichia_coli.k32	local	16	1	201.70	3.40	151.56	76%	2199332	0	0	201.711461
escherichia_coli.k32.S_local.k_16.d_2	escherichia_coli.k32	local	16	2	173.83	1.96	154.08	89%	2199284	0	0	173.838113
escherichia_coli.k32.S_local.k_16.d_3	escherichia_coli.k32	local	16	3	201.34	2.08	186.41	93%	2199228	0	0	201.348374
escherichia_coli.k32.S_local.k_16.d_4	escherichia_coli.k32	local	16	4	347.60	2.98	328.64	95%	2205828	0	0	347.605802
escherichia_coli.k32.S_local.k_16.d_5	escherichia_coli.k32	local	16	5	481.58	1.63	459.79	95%	2396360	0	0	481.592236
escherichia_coli.k32.S_global.k_17.d_na	escherichia_coli.k32	global	17	na	410.03	2.56	328.15	80%	5812056	0	0	410.042586
escherichia_coli.k32.S_local.k_17.d_1	escherichia_coli.k32	local	17	1	191.11	2.38	157.79	83%	2199292	0	0	191.114723
escherichia_coli.k32.S_local.k_17.d_2	escherichia_coli.k32	local	17	2	170.29	1.61	155.83	92%	2199332	0	0	170.294461
escherichia_coli.k32.S_local.k_17.d_3	escherichia_coli.k32	local	17	3	236.25	3.54	226.69	97%	2199168	0	0	236.258726
escherichia_coli.k32.S_local.k_17.d_4	escherichia_coli.k32	local	17	4	319.83	2.17	305.65	96%	2199228	0	0	319.842706
escherichia_coli.k32.S_local.k_17.d_5	escherichia_coli.k32	local	17	5	566.19	1.93	555.64	98%	2199228	0	0	566.200952
escherichia_coli.k32.S_global.k_18.d_na	escherichia_coli.k32	global	18	na	394.76	1.72	317.99	80%	6014740	0	0	394.766807
escherichia_coli.k32.S_local.k_18.d_1	escherichia_coli.k32	local	18	1	194.39	2.06	160.86	83%	2199228	0	0	194.39835
escherichia_coli.k32.S_local.k_18.d_2	escherichia_coli.k32	local	18	2	172.89	1.43	160.40	93%	2199168	0	0	172.895937
escherichia_coli.k32.S_local.k_18.d_3	escherichia_coli.k32	local	18	3	254.69	3.26	238.32	94%	2199292	0	0	254.698264
escherichia_coli.k32.S_local.k_18.d_4	escherichia_coli.k32	local	18	4	308.91	2.36	302.45	98%	2199292	0	0	308.91692
escherichia_coli.k32.S_local.k_18.d_5	escherichia_coli.k32	local	18	5	746.71	4.27	735.09	99%	2199292	0	0	746.714486
escherichia_coli.k32.S_global.k_19.d_na	escherichia_coli.k32	global	19	na	477.53	2.09	385.26	81%	6156788	0	0	477.54326
escherichia_coli.k32.S_local.k_19.d_1	escherichia_coli.k32	local	19	1	177.92	2.10	156.29	89%	2199292	0	0	177.92389
escherichia_coli.k32.S_local.k_19.d_2	escherichia_coli.k32	local	19	2	196.19	2.01	169.17	87%	2199228	0	0	196.194883
escherichia_coli.k32.S_local.k_19.d_3	escherichia_coli.k32	local	19	3	196.17	1.84	185.48	95%	2199292	0	0	196.175688
escherichia_coli.k32.S_local.k_19.d_4	escherichia_coli.k32	local	19	4	296.40	2.07	284.33	96%	2199292	0	0	296.410454
escherichia_coli.k32.S_local.k_19.d_5	escherichia_coli.k32	local	19	5	802.65	5.39	789.00	98%	2199396	0	0	802.653104
escherichia_coli.k32.S_global.k_20.d_na	escherichia_coli.k32	global	20	na	464.63	1.97	370.01	80%	6279768	0	0	464.63933
escherichia_coli.k32.S_local.k_20.d_1	escherichia_coli.k32	local	20	1	172.08	1.72	143.77	84%	2199228	0	0	172.089806
escherichia_coli.k32.S_local.k_20.d_2	escherichia_coli.k32	local	20	2	188.78	1.81	168.23	90%	2199224	0	0	188.792817
escherichia_coli.k32.S_local.k_20.d_3	escherichia_coli.k32	local	20	3	205.78	2.27	187.61	92%	2199228	0	0	205.792209
escherichia_coli.k32.S_local.k_20.d_4	escherichia_coli.k32	local	20	4	271.22	1.83	263.03	97%	2199292	0	0	271.230401
escherichia_coli.k32.S_local.k_20.d_5	escherichia_coli.k32	local	20	5	587.81	2.62	582.90	99%	2199228	0	0	587.818537
escherichia_coli.k32.S_global.k_21.d_na	escherichia_coli.k32	global	21	na	503.77	2.12	407.13	81%	6395564	0	0	503.778438
escherichia_coli.k32.S_local.k_21.d_1	escherichia_coli.k32	local	21	1	168.18	1.70	136.30	82%	2199228	0	0	168.191539
escherichia_coli.k32.S_local.k_21.d_2	escherichia_coli.k32	local	21	2	187.42	1.62	171.46	92%	2199216	0	0	187.431171
escherichia_coli.k32.S_local.k_21.d_3	escherichia_coli.k32	local	21	3	222.76	3.27	207.51	94%	2199292	0	0	222.765893
escherichia_coli.k32.S_local.k_21.d_4	escherichia_coli.k32	local	21	4	336.01	3.90	320.66	96%	2199236	0	0	336.022281
escherichia_coli.k32.S_local.k_21.d_5	escherichia_coli.k32	local	21	5	588.13	2.46	577.02	98%	2199224	0	0	588.138863
escherichia_coli.k32.S_global.k_22.d_na	escherichia_coli.k32	global	22	na	595.15	3.74	523.58	88%	6505868	0	0	595.154726
escherichia_coli.k32.S_local.k_22.d_1	escherichia_coli.k32	local	22	1	172.20	1.77	142.24	83%	2199292	0	0	172.212634
escherichia_coli.k32.S_local.k_22.d_2	escherichia_coli.k32	local	22	2	189.35	1.99	160.02	85%	2199228	0	0	189.353499
escherichia_coli.k32.S_local.k_22.d_3	escherichia_coli.k32	local	22	3	183.93	1.27	168.92	92%	2199228	0	0	183.943152
escherichia_coli.k32.S_local.k_22.d_4	escherichia_coli.k32	local	22	4	265.84	1.96	254.73	96%	2199292	0	0	265.851116
escherichia_coli.k32.S_local.k_22.d_5	escherichia_coli.k32	local	22	5	736.98	5.24	725.15	99%	2199292	0	0	736.98554
escherichia_coli.k32.S_global.k_23.d_na	escherichia_coli.k32	global	23	na	505.42	2.45	419.58	83%	6614172	0	0	505.425457
escherichia_coli.k32.S_local.k_23.d_1	escherichia_coli.k32	local	23	1	197.59	2.92	179.29	92%	2199292	0	0	197.595477
escherichia_coli.k32.S_local.k_23.d_2	escherichia_coli.k32	local	23	2	170.48	1.44	149.77	88%	2199140	0	0	170.483966
escherichia_coli.k32.S_local.k_23.d_3	escherichia_coli.k32	local	23	3	214.85	1.99	192.71	90%	2199228	0	0	214.853239
escherichia_coli.k32.S_local.k_23.d_4	escherichia_coli.k32	local	23	4	280.20	2.04	270.15	97%	2199228	0	0	280.205645
escherichia_coli.k32.S_local.k_23.d_5	escherichia_coli.k32	local	23	5	621.84	2.23	612.39	98%	2199228	0	0	621.847977
escherichia_coli.k32.S_global.k_31.d_na	escherichia_coli.k32	global	31	na	755.52	2.83	643.43	85%	7430808	0	0	755.532987
escherichia_coli.k32.S_local.k_31.d_1	escherichia_coli.k32	local	31	1	186.96	1.86	155.72	84%	2199228	0	0	186.96702
escherichia_coli.k32.S_local.k_31.d_2	escherichia_coli.k32	local	31	2	186.48	1.48	163.41	88%	2199228	0	0	186.485847
escherichia_coli.k32.S_local.k_31.d_3	escherichia_coli.k32	local	31	3	229.93	1.77	208.36	91%	2199228	0	0	229.934036
escherichia_coli.k32.S_local.k_31.d_4	escherichia_coli.k32	local	31	4	335.23	1.73	325.03	97%	2199228	0	0	335.24058
escherichia_coli.k32.S_local.k_31.d_5	escherichia_coli.k32	local	31	5	840.21	2.73	833.38	99%	2199228	0	0	840.224297
escherichia_coli.k61.S_global.k_61.d_na	escherichia_coli.k61	global	61	na	1208.72	3.83	1203.95	99%	13020140	0	0	1208.726908
escherichia_coli.k61.S_local.k_61.d_1	escherichia_coli.k61	local	61	1	296.61	2.90	293.31	99%	8589140	0	0	296.618776
escherichia_coli.k61.S_local.k_61.d_2	escherichia_coli.k61	local	61	2	313.57	2.93	310.20	99%	8588920	0	0	313.581313
escherichia_coli.k61.S_local.k_61.d_3	escherichia_coli.k61	local	61	3	369.85	2.88	366.52	99%	8588956	0	0	369.857881
escherichia_coli.k61.S_local.k_61.d_4	escherichia_coli.k61	local	61	4	533.00	3.01	529.43	99%	8589124	0	0	533.008596
escherichia_coli.k61.S_local.k_61.d_5	escherichia_coli.k61	local	61	5	1147.36	3.54	1143.04	99%	8589112	0	0	1147.368242
human.S_global.k_9.d_na	human	global	9	na	140.84	0.74	139.95	99%	9628	0	0	140.851488
human.S_local.k_9.d_1	human	local	9	1	144.82	0.82	143.88	99%	7080	0	0	144.829462
human.S_local.k_9.d_2	human	local	9	2	144.36	0.85	143.40	99%	7120	0	0	144.371896
human.S_local.k_9.d_3	human	local	9	3	144.20	0.82	143.07	99%	7344	1032	0	144.207723
human.S_local.k_9.d_4	human	local	9	4	141.57	0.79	140.64	99%	8324	0	0	141.57999
human.S_local.k_9.d_5	human	local	9	5	144.00	0.73	143.14	99%	10432	0	0	144.009533
human.S_global.k_11.d_na	human	global	11	na	332.09	1.14	329.49	99%	101028	0	0	332.096485
human.S_local.k_11.d_1	human	local	11	1	377.66	1.08	375.79	99%	43988	0	0	377.669309
human.S_local.k_11.d_2	human	local	11	2	322.32	0.89	320.57	99%	44256	0	0	322.325426
human.S_local.k_11.d_3	human	local	11	3	217.81	0.97	215.67	99%	44492	0	0	217.81583
human.S_local.k_11.d_4	human	local	11	4	336.89	1.06	334.57	99%	68400	0	0	336.902422
human.S_local.k_11.d_5	human	local	11	5	335.00	1.09	332.30	99%	101936	0	0	335.008267
human.S_global.k_13.d_na	human	global	13	na	641.76	1.65	619.48	96%	1512500	0	0	641.768805
human.S_local.k_13.d_1	human	local	13	1	610.06	1.58	600.22	98%	552596	16	0	610.073656
human.S_local.k_13.d_2	human	local	13	2	482.04	1.43	467.71	97%	553744	0	0	482.047868
human.S_local.k_13.d_3	human	local	13	3	607.99	1.57	597.50	98%	602028	0	0	607.998518
human.S_local.k_13.d_4	human	local	13	4	615.75	1.45	595.05	96%	905892	0	0	615.756564
human.S_local.k_13.d_5	human	local	13	5	623.61	1.73	599.30	96%	1313620	0	0	623.62052
human.S_global.k_15.d_na	human	global	15	na	1526.18	5.53	1332.31	87%	15267264	0	0	1526.194074
human.S_local.k_15.d_1	human	local	15	1	1139.81	9.77	1063.96	94%	4394772	296	0	1139.81564
human.S_local.k_15.d_2	human	local	15	2	1160.09	6.21	1124.16	97%	4394760	0	0	1160.103144
human.S_local.k_15.d_3	human	local	15	3	1402.98	5.09	1369.55	97%	4410800	0	0	1402.988984
human.S_local.k_15.d_4	human	local	15	4	1821.26	4.59	1737.78	95%	4505140	0	0	1821.272495
human.S_local.k_15.d_5	human	local	15	5	2584.90	4.48	2376.19	92%	5199268	0	0	2584.906618
human.S_global.k_17.d_na	human	global	17	na	5313.50	19.61	4601.08	86%	63481524	944	0	5313.514801
human.S_local.k_17.d_1	human	local	17	1	2963.20	56.65	2329.16	80%	17567428	0	0	2963.21178
human.S_local.k_17.d_2	human	local	17	2	3419.08	32.65	3266.73	96%	17567448	0	0	3419.086353
human.S_local.k_17.d_3	human	local	17	3	4634.18	26.61	4561.70	99%	17567396	0	0	4634.192035
human.S_local.k_17.d_4	human	local	17	4	6762.91	17.87	6607.63	97%	17679544	0	0	6762.924052
human.S_local.k_17.d_5	human	local	17	5	11407.22	19.75	11070.85	97%	18517764	160	0	11407.22953
human.S_global.k_19.d_na	human	global	19	na	8474.44	85.04	7137.56	85%	96617476	16	0	8474.44775
human.S_local.k_19.d_1	human	local	19	1	3103.61	38.53	2475.59	81%	35131040	0	0	3103.614942
human.S_local.k_19.d_2	human	local	19	2	3088.41	22.28	2706.39	88%	35131028	0	0	3088.415132
human.S_local.k_19.d_3	human	local	19	3	3588.31	23.54	3326.97	93%	35131028	0	0	3588.315746
human.S_local.k_19.d_4	human	local	19	4	5127.54	23.38	4877.27	95%	35131040	0	0	5127.548747
human.S_local.k_19.d_5	human	local	19	5	8988.13	27.65	8715.50	97%	35131056	0	0	8988.139714
human.S_global.k_21.d_na	human	global	21	na	9699.88	235.53	7959.19	84%	104458496	248	0	9699.88591
human.S_local.k_21.d_1	human	local	21	1	3039.29	20.31	2600.76	86%	35131024	0	0	3039.300677
human.S_local.k_21.d_2	human	local	21	2	3065.50	17.45	2790.92	91%	35131072	0	0	3065.50825
human.S_local.k_21.d_3	human	local	21	3	3267.23	16.74	3037.91	93%	35131064	256	0	3267.2425
human.S_local.k_21.d_4	human	local	21	4	4169.72	16.61	3995.20	96%	35131060	0	0	4169.725401
human.S_local.k_21.d_5	human	local	21	5	7038.61	22.54	6919.32	98%	35131084	0	0	7038.622544
human.S_global.k_23.d_na	human	global	23	na	7966.88	30.11	6308.07	79%	107670364	0	0	7966.89182
human.S_local.k_23.d_1	human	local	23	1	3207.72	20.18	2734.08	85%	35131064	24	0	3207.729082
human.S_local.k_23.d_2	human	local	23	2	3064.58	23.40	2963.25	97%	35131008	0	0	3064.587054
human.S_local.k_23.d_3	human	local	23	3	3313.37	15.47	3020.06	91%	35131008	0	0	3313.383775
human.S_local.k_23.d_4	human	local	23	4	5075.55	82.74	4985.15	99%	35131052	272	0	5075.556896
human.S_local.k_23.d_5	human	local	23	5	6178.02	18.06	6096.45	98%	35131052	176	0	6178.032786
human.S_global.k_31.d_na	human	global	31	na	10011.98	159.69	8191.08	83%	114964464	784	0	10011.991274
human.S_local.k_31.d_1	human	local	31	1	3286.68	14.31	2859.83	87%	35131040	0	0	3286.689225
human.S_local.k_31.d_2	human	local	31	2	3269.35	21.26	3142.10	96%	35131016	0	0	3269.358236
human.S_local.k_31.d_3	human	local	31	3	3449.13	13.14	3099.49	90%	35131036	0	0	3449.135141
human.S_local.k_31.d_4	human	local	31	4	3944.06	14.48	3750.55	95%	35130988	64	0	3944.07016
human.S_local.k_31.d_5	human	local	31	5	5819.12	17.10	5761.50	99%	35131008	0	0	5819.129344
human.S_global.k_61.d_na	human	global	61	na	16543.92	353.95	14811.12	91%	151770820	144	0	16543.925375
human.S_local.k_61.d_1	human	local	61	1	4285.36	20.10	4237.20	99%	68685596	0	0	4285.366249
human.S_local.k_61.d_2	human	local	61	2	4354.78	21.79	4303.50	99%	68685500	0	0	4354.784492
human.S_local.k_61.d_3	human	local	61	3	4417.34	20.60	4358.72	99%	68685592	0	0	4417.344519
human.S_local.k_61.d_4	human	local	61	4	4782.02	21.66	4707.70	98%	68685584	0	0	4782.029843
human.S_local.k_61.d_5	human	local	61	5	6060.39	44.04	5944.74	98%	68685640	0	0	6060.400629
minikraken4GB.S_global.k_31.d_na	minikraken4GB	global	31	na	11401.31	12.42	11320.53	99%	14372572	0	0	11401.323109
minikraken4GB.S_local.k_31.d_1	minikraken4GB	local	31	1	1333.32	227.94	1061.80	96%	4394596	0	0	1333.329847
minikraken4GB.S_local.k_31.d_2	minikraken4GB	local	31	2	3019.99	191.64	2788.24	98%	4394676	0	0	3019.996227
minikraken4GB.S_local.k_31.d_3	minikraken4GB	local	31	3	9785.17	213.79	9526.12	99%	4394760	0	0	9785.175038
minikraken4GB.S_local.k_31.d_4	minikraken4GB	local	31	4	32726.81	257.39	32405.12	99%	4394720	0	0	32726.822181
minikraken4GB.S_local.k_31.d_5	minikraken4GB	local	31	5	125557.87	297.20	125166.72	99%	4394648	0	0	125557.881664
minikraken8GB.S_global.k_31.d_na	minikraken8GB	global	31	na	22027.20	35.87	21885.35	99%	30642012	0	0	22027.206772
minikraken8GB.S_local.k_31.d_1	minikraken8GB	local	31	1	3053.47	485.57	2489.00	97%	8785564	0	0	3053.479548
minikraken8GB.S_local.k_31.d_2	minikraken8GB	local	31	2	7958.84	410.22	7469.82	99%	8785508	0	0	7958.845452
minikraken8GB.S_local.k_31.d_3	minikraken8GB	local	31	3	23272.81	440.41	22740.19	99%	8785652	0	0	23272.822983
neisseria_gonorrhoeae.pangenome.k32.S_global.k_8.d_na	neisseria_gonorrhoeae.pangenome.k32	global	8	na	1.22	0.03	1.18	99%	5548	0	0	1.228358
neisseria_gonorrhoeae.pangenome.k32.S_local.k_8.d_1	neisseria_gonorrhoeae.pangenome.k32	local	8	1	1.34	0.01	1.29	98%	4784	0	0	1.344559
neisseria_gonorrhoeae.pangenome.k32.S_local.k_8.d_2	neisseria_gonorrhoeae.pangenome.k32	local	8	2	1.72	0.06	1.63	98%	5084	0	0	1.724088
neisseria_gonorrhoeae.pangenome.k32.S_local.k_8.d_3	neisseria_gonorrhoeae.pangenome.k32	local	8	3	1.56	0.03	1.48	97%	5396	0	0	1.568826
neisseria_gonorrhoeae.pangenome.k32.S_local.k_8.d_4	neisseria_gonorrhoeae.pangenome.k32	local	8	4	1.57	0.03	1.52	99%	5680	0	0	1.578557
neisseria_gonorrhoeae.pangenome.k32.S_local.k_8.d_5	neisseria_gonorrhoeae.pangenome.k32	local	8	5	1.53	0.05	1.44	97%	5744	0	0	1.53578
neisseria_gonorrhoeae.pangenome.k32.S_global.k_9.d_na	neisseria_gonorrhoeae.pangenome.k32	global	9	na	2.17	0.04	2.07	97%	9924	0	0	2.175819
neisseria_gonorrhoeae.pangenome.k32.S_local.k_9.d_1	neisseria_gonorrhoeae.pangenome.k32	local	9	1	1.86	0.02	1.78	97%	6476	0	0	1.863417
neisseria_gonorrhoeae.pangenome.k32.S_local.k_9.d_2	neisseria_gonorrhoeae.pangenome.k32	local	9	2	1.35	0.02	1.29	97%	6532	0	0	1.359215
neisseria_gonorrhoeae.pangenome.k32.S_local.k_9.d_3	neisseria_gonorrhoeae.pangenome.k32	local	9	3	1.71	0.03	1.62	96%	9388	0	0	1.718358
neisseria_gonorrhoeae.pangenome.k32.S_local.k_9.d_4	neisseria_gonorrhoeae.pangenome.k32	local	9	4	1.50	0.00	1.42	95%	8368	0	0	1.51128
neisseria_gonorrhoeae.pangenome.k32.S_local.k_9.d_5	neisseria_gonorrhoeae.pangenome.k32	local	9	5	1.34	0.02	1.25	94%	10488	0	0	1.345589
neisseria_gonorrhoeae.pangenome.k32.S_global.k_10.d_na	neisseria_gonorrhoeae.pangenome.k32	global	10	na	3.02	0.03	2.70	90%	27984	0	0	3.029592
neisseria_gonorrhoeae.pangenome.k32.S_local.k_10.d_1	neisseria_gonorrhoeae.pangenome.k32	local	10	1	2.58	0.02	2.30	90%	12916	0	0	2.58976
neisseria_gonorrhoeae.pangenome.k32.S_local.k_10.d_2	neisseria_gonorrhoeae.pangenome.k32	local	10	2	2.70	0.02	2.40	89%	13764	0	0	2.708342
neisseria_gonorrhoeae.pangenome.k32.S_local.k_10.d_3	neisseria_gonorrhoeae.pangenome.k32	local	10	3	3.83	0.04	3.53	93%	17572	0	0	3.834815
neisseria_gonorrhoeae.pangenome.k32.S_local.k_10.d_4	neisseria_gonorrhoeae.pangenome.k32	local	10	4	2.87	0.05	2.42	86%	25216	0	0	2.877535
neisseria_gonorrhoeae.pangenome.k32.S_local.k_10.d_5	neisseria_gonorrhoeae.pangenome.k32	local	10	5	3.69	0.05	3.20	88%	28776	0	0	3.702151
neisseria_gonorrhoeae.pangenome.k32.S_global.k_11.d_na	neisseria_gonorrhoeae.pangenome.k32	global	11	na	6.28	0.07	5.14	82%	98868	0	0	6.291451
neisseria_gonorrhoeae.pangenome.k32.S_local.k_11.d_1	neisseria_gonorrhoeae.pangenome.k32	local	11	1	7.05	0.07	5.70	82%	38220	0	0	7.056606
neisseria_gonorrhoeae.pangenome.k32.S_local.k_11.d_2	neisseria_gonorrhoeae.pangenome.k32	local	11	2	8.00	0.09	6.54	83%	44132	0	0	8.004689
neisseria_gonorrhoeae.pangenome.k32.S_local.k_11.d_3	neisseria_gonorrhoeae.pangenome.k32	local	11	3	6.16	0.05	4.81	79%	59188	0	0	6.165296
neisseria_gonorrhoeae.pangenome.k32.S_local.k_11.d_4	neisseria_gonorrhoeae.pangenome.k32	local	11	4	6.76	0.07	4.83	72%	93404	0	0	6.765184
neisseria_gonorrhoeae.pangenome.k32.S_local.k_11.d_5	neisseria_gonorrhoeae.pangenome.k32	local	11	5	7.26	0.10	5.49	77%	101324	0	0	7.266747
neisseria_gonorrhoeae.pangenome.k32.S_global.k_12.d_na	neisseria_gonorrhoeae.pangenome.k32	global	12	na	23.58	0.25	19.95	85%	311996	0	0	23.584707
neisseria_gonorrhoeae.pangenome.k32.S_local.k_12.d_1	neisseria_gonorrhoeae.pangenome.k32	local	12	1	12.35	0.19	8.18	67%	141124	0	0	12.358149
neisseria_gonorrhoeae.pangenome.k32.S_local.k_12.d_2	neisseria_gonorrhoeae.pangenome.k32	local	12	2	14.31	0.24	10.54	75%	141664	0	0	14.315872
neisseria_gonorrhoeae.pangenome.k32.S_local.k_12.d_3	neisseria_gonorrhoeae.pangenome.k32	local	12	3	12.83	0.15	9.50	75%	154132	0	0	12.837838
neisseria_gonorrhoeae.pangenome.k32.S_local.k_12.d_4	neisseria_gonorrhoeae.pangenome.k32	local	12	4	16.58	0.13	11.51	70%	208120	0	0	16.59019
neisseria_gonorrhoeae.pangenome.k32.S_local.k_12.d_5	neisseria_gonorrhoeae.pangenome.k32	local	12	5	18.72	0.25	12.74	69%	327976	0	0	18.731747
neisseria_gonorrhoeae.pangenome.k32.S_global.k_13.d_na	neisseria_gonorrhoeae.pangenome.k32	global	13	na	38.73	0.34	31.74	82%	637752	0	0	38.738799
