genome	S_alg	k	d	M_alg	M_compr_alg	kmer_count	l	o	z	r	S_xz_bytes	M_compr_bytes	enc1_compr_bytes	enc2_xz_bytes	pref
escherichia_coli.k32	local	8	1	ones	EliasFano	32896	35080	35073	7	1	4604	8	4612	4608	escherichia_coli.k32.S_local.k_8.d_1.M_ones.C_EliasFano
escherichia_coli.k32	local	8	1	ones	bzip	32896	35080	35073	7	1	4604	51	4655	4608	escherichia_coli.k32.S_local.k_8.d_1.M_ones.C_bzip
escherichia_coli.k32	local	8	1	ones	rrr	32896	35080	35073	7	1	4604	259	4863	4608	escherichia_coli.k32.S_local.k_8.d_1.M_ones.C_rrr
escherichia_coli.k32	local	8	1	ones	xz	32896	35080	35073	7	1	4604	136	4740	4608	escherichia_coli.k32.S_local.k_8.d_1.M_ones.C_xz
escherichia_coli.k32	local	8	1	runs	EliasFano	32896	35080	35073	7	1	4612	8	4620	4616	escherichia_coli.k32.S_local.k_8.d_1.M_runs.C_EliasFano
escherichia_coli.k32	local	8	1	runs	bzip	32896	35080	35073	7	1	4612	51	4663	4616	escherichia_coli.k32.S_local.k_8.d_1.M_runs.C_bzip
escherichia_coli.k32	local	8	1	runs	rrr	32896	35080	35073	7	1	4612	259	4871	4616	escherichia_coli.k32.S_local.k_8.d_1.M_runs.C_rrr
escherichia_coli.k32	local	8	1	runs	xz	32896	35080	35073	7	1	4612	144	4756	4616	escherichia_coli.k32.S_local.k_8.d_1.M_runs.C_xz
escherichia_coli.k32	local	8	1	runsapprox	EliasFano	32896	35080	35073	7	1	4612	8	4620	4616	escherichia_coli.k32.S_local.k_8.d_1.M_runsapprox.C_EliasFano
escherichia_coli.k32	local	8	1	runsapprox	bzip	32896	35080	35073	7	1	4612	51	4663	4616	escherichia_coli.k32.S_local.k_8.d_1.M_runsapprox.C_bzip
escherichia_coli.k32	local	8	1	runsapprox	rrr	32896	35080	35073	7	1	4612	259	4871	4616	escherichia_coli.k32.S_local.k_8.d_1.M_runsapprox.C_rrr
escherichia_coli.k32	local	8	1	runsapprox	xz	32896	35080	35073	7	1	4612	144	4756	4616	escherichia_coli.k32.S_local.k_8.d_1.M_runsapprox.C_xz
escherichia_coli.k32	local	8	1	zeros	EliasFano	32896	35080	32896	2184	608	4604	1040	5644	5928	escherichia_coli.k32.S_local.k_8.d_1.M_zeros.C_EliasFano
escherichia_coli.k32	local	8	1	zeros	bzip	32896	35080	32896	2184	608	4604	974	5578	5928	escherichia_coli.k32.S_local.k_8.d_1.M_zeros.C_bzip
escherichia_coli.k32	local	8	1	zeros	rrr	32896	35080	32896	2184	608	4604	1235	5839	5928	escherichia_coli.k32.S_local.k_8.d_1.M_zeros.C_rrr
escherichia_coli.k32	local	8	1	zeros	xz	32896	35080	32896	2184	608	4604	1164	5768	5928	escherichia_coli.k32.S_local.k_8.d_1.M_zeros.C_xz
escherichia_coli.k32	local	8	2	default	EliasFano	32896	34728	32896	1832	722	5132	1184	6316	6052	escherichia_coli.k32.S_local.k_8.d_2.M_default.C_EliasFano
escherichia_coli.k32	local	8	2	default	bzip	32896	34728	32896	1832	722	5132	766	5898	6052	escherichia_coli.k32.S_local.k_8.d_2.M_default.C_bzip
escherichia_coli.k32	local	8	2	default	rrr	32896	34728	32896	1832	722	5132	1115	6247	6052	escherichia_coli.k32.S_local.k_8.d_2.M_default.C_rrr
escherichia_coli.k32	local	8	2	default	xz	32896	34728	32896	1832	722	5132	1096	6228	6052	escherichia_coli.k32.S_local.k_8.d_2.M_default.C_xz
escherichia_coli.k32	local	8	2	ones	EliasFano	32896	34728	34721	7	1	5132	8	5140	5136	escherichia_coli.k32.S_local.k_8.d_2.M_ones.C_EliasFano
escherichia_coli.k32	local	8	2	ones	bzip	32896	34728	34721	7	1	5132	52	5184	5136	escherichia_coli.k32.S_local.k_8.d_2.M_ones.C_bzip
escherichia_coli.k32	local	8	2	ones	rrr	32896	34728	34721	7	1	5132	251	5383	5136	escherichia_coli.k32.S_local.k_8.d_2.M_ones.C_rrr
escherichia_coli.k32	local	8	2	ones	xz	32896	34728	34721	7	1	5132	136	5268	5136	escherichia_coli.k32.S_local.k_8.d_2.M_ones.C_xz
escherichia_coli.k32	local	8	2	runs	EliasFano	32896	34728	34721	7	1	5140	8	5148	5144	escherichia_coli.k32.S_local.k_8.d_2.M_runs.C_EliasFano
escherichia_coli.k32	local	8	2	runs	bzip	32896	34728	34721	7	1	5140	52	5192	5144	escherichia_coli.k32.S_local.k_8.d_2.M_runs.C_bzip
escherichia_coli.k32	local	8	2	runs	rrr	32896	34728	34721	7	1	5140	251	5391	5144	escherichia_coli.k32.S_local.k_8.d_2.M_runs.C_rrr
escherichia_coli.k32	local	8	2	runs	xz	32896	34728	34721	7	1	5140	144	5284	5144	escherichia_coli.k32.S_local.k_8.d_2.M_runs.C_xz
escherichia_coli.k32	local	8	2	runsapprox	EliasFano	32896	34728	34721	7	1	5140	8	5148	5144	escherichia_coli.k32.S_local.k_8.d_2.M_runsapprox.C_EliasFano
escherichia_coli.k32	local	8	2	runsapprox	bzip	32896	34728	34721	7	1	5140	52	5192	5144	escherichia_coli.k32.S_local.k_8.d_2.M_runsapprox.C_bzip
escherichia_coli.k32	local	8	2	runsapprox	rrr	32896	34728	34721	7	1	5140	251	5391	5144	escherichia_coli.k32.S_local.k_8.d_2.M_runsapprox.C_rrr
escherichia_coli.k32	local	8	2	runsapprox	xz	32896	34728	34721	7	1	5140	144	5284	5144	escherichia_coli.k32.S_local.k_8.d_2.M_runsapprox.C_xz
escherichia_coli.k32	local	8	2	zeros	EliasFano	32896	34728	32896	1832	617	5132	1048	6180	6032	escherichia_coli.k32.S_local.k_8.d_2.M_zeros.C_EliasFano
escherichia_coli.k32	local	8	2	zeros	bzip	32896	34728	32896	1832	617	5132	878	6010	6032	escherichia_coli.k32.S_local.k_8.d_2.M_zeros.C_bzip
escherichia_coli.k32	local	8	2	zeros	rrr	32896	34728	32896	1832	617	5132	1099	6231	6032	escherichia_coli.k32.S_local.k_8.d_2.M_zeros.C_rrr
escherichia_coli.k32	local	8	2	zeros	xz	32896	34728	32896	1832	617	5132	1040	6172	6032	escherichia_coli.k32.S_local.k_8.d_2.M_zeros.C_xz
escherichia_coli.k32	local	8	3	default	EliasFano	32896	34769	32896	1873	1198	5276	1736	7012	6452	escherichia_coli.k32.S_local.k_8.d_3.M_default.C_EliasFano
escherichia_coli.k32	local	8	3	default	bzip	32896	34769	32896	1873	1198	5276	973	6249	6452	escherichia_coli.k32.S_local.k_8.d_3.M_default.C_bzip
escherichia_coli.k32	local	8	3	default	rrr	32896	34769	32896	1873	1198	5276	1259	6535	6452	escherichia_coli.k32.S_local.k_8.d_3.M_default.C_rrr
escherichia_coli.k32	local	8	3	default	xz	32896	34769	32896	1873	1198	5276	1336	6612	6452	escherichia_coli.k32.S_local.k_8.d_3.M_default.C_xz
escherichia_coli.k32	local	8	3	ones	EliasFano	32896	34769	34762	7	1	5276	8	5284	5280	escherichia_coli.k32.S_local.k_8.d_3.M_ones.C_EliasFano
escherichia_coli.k32	local	8	3	ones	bzip	32896	34769	34762	7	1	5276	51	5327	5280	escherichia_coli.k32.S_local.k_8.d_3.M_ones.C_bzip
escherichia_coli.k32	local	8	3	ones	rrr	32896	34769	34762	7	1	5276	259	5535	5280	escherichia_coli.k32.S_local.k_8.d_3.M_ones.C_rrr
escherichia_coli.k32	local	8	3	ones	xz	32896	34769	34762	7	1	5276	136	5412	5280	escherichia_coli.k32.S_local.k_8.d_3.M_ones.C_xz
escherichia_coli.k32	local	8	3	runs	EliasFano	32896	34769	34762	7	1	5284	8	5292	5288	escherichia_coli.k32.S_local.k_8.d_3.M_runs.C_EliasFano
escherichia_coli.k32	local	8	3	runs	bzip	32896	34769	34762	7	1	5284	51	5335	5288	escherichia_coli.k32.S_local.k_8.d_3.M_runs.C_bzip
escherichia_coli.k32	local	8	3	runs	rrr	32896	34769	34762	7	1	5284	259	5543	5288	escherichia_coli.k32.S_local.k_8.d_3.M_runs.C_rrr
escherichia_coli.k32	local	8	3	runs	xz	32896	34769	34762	7	1	5284	144	5428	5288	escherichia_coli.k32.S_local.k_8.d_3.M_runs.C_xz
escherichia_coli.k32	local	8	3	runsapprox	EliasFano	32896	34769	34762	7	1	5284	8	5292	5288	escherichia_coli.k32.S_local.k_8.d_3.M_runsapprox.C_EliasFano
escherichia_coli.k32	local	8	3	runsapprox	bzip	32896	34769	34762	7	1	5284	51	5335	5288	escherichia_coli.k32.S_local.k_8.d_3.M_runsapprox.C_bzip
escherichia_coli.k32	local	8	3	runsapprox	rrr	32896	34769	34762	7	1	5284	259	5543	5288	escherichia_coli.k32.S_local.k_8.d_3.M_runsapprox.C_rrr
escherichia_coli.k32	local	8	3	runsapprox	xz	32896	34769	34762	7	1	5284	144	5428	5288	escherichia_coli.k32.S_local.k_8.d_3.M_runsapprox.C_xz
escherichia_coli.k32	local	8	3	zeros	EliasFano	32896	34769	32896	1873	1087	5276	1624	6900	6384	escherichia_coli.k32.S_local.k_8.d_3.M_zeros.C_EliasFano
escherichia_coli.k32	local	8	3	zeros	bzip	32896	34769	32896	1873	1087	5276	1065	6341	6384	escherichia_coli.k32.S_local.k_8.d_3.M_zeros.C_bzip
escherichia_coli.k32	local	8	3	zeros	rrr	32896	34769	32896	1873	1087	5276	1243	6519	6384	escherichia_coli.k32.S_local.k_8.d_3.M_zeros.C_rrr
escherichia_coli.k32	local	8	3	zeros	xz	32896	34769	32896	1873	1087	5276	1284	6560	6384	escherichia_coli.k32.S_local.k_8.d_3.M_zeros.C_xz
escherichia_coli.k32	local	8	4	default	EliasFano	32896	34588	32896	1692	1155	5324	1688	7012	6376	escherichia_coli.k32.S_local.k_8.d_4.M_default.C_EliasFano
escherichia_coli.k32	local	8	4	default	bzip	32896	34588	32896	1692	1155	5324	965	6289	6376	escherichia_coli.k32.S_local.k_8.d_4.M_default.C_bzip
escherichia_coli.k32	local	8	4	default	rrr	32896	34588	32896	1692	1155	5324	1195	6519	6376	escherichia_coli.k32.S_local.k_8.d_4.M_default.C_rrr
escherichia_coli.k32	local	8	4	default	xz	32896	34588	32896	1692	1155	5324	1364	6688	6376	escherichia_coli.k32.S_local.k_8.d_4.M_default.C_xz
escherichia_coli.k32	local	8	4	ones	EliasFano	32896	34588	34581	7	1	5324	8	5332	5328	escherichia_coli.k32.S_local.k_8.d_4.M_ones.C_EliasFano
escherichia_coli.k32	local	8	4	ones	bzip	32896	34588	34581	7	1	5324	51	5375	5328	escherichia_coli.k32.S_local.k_8.d_4.M_ones.C_bzip
escherichia_coli.k32	local	8	4	ones	rrr	32896	34588	34581	7	1	5324	251	5575	5328	escherichia_coli.k32.S_local.k_8.d_4.M_ones.C_rrr
escherichia_coli.k32	local	8	4	ones	xz	32896	34588	34581	7	1	5324	136	5460	5328	escherichia_coli.k32.S_local.k_8.d_4.M_ones.C_xz
escherichia_coli.k32	local	8	4	runs	EliasFano	32896	34588	34581	7	1	5332	8	5340	5336	escherichia_coli.k32.S_local.k_8.d_4.M_runs.C_EliasFano
escherichia_coli.k32	local	8	4	runs	bzip	32896	34588	34581	7	1	5332	51	5383	5336	escherichia_coli.k32.S_local.k_8.d_4.M_runs.C_bzip
escherichia_coli.k32	local	8	4	runs	rrr	32896	34588	34581	7	1	5332	251	5583	5336	escherichia_coli.k32.S_local.k_8.d_4.M_runs.C_rrr
escherichia_coli.k32	local	8	4	runs	xz	32896	34588	34581	7	1	5332	144	5476	5336	escherichia_coli.k32.S_local.k_8.d_4.M_runs.C_xz
escherichia_coli.k32	local	8	4	runsapprox	EliasFano	32896	34588	34581	7	1	5332	8	5340	5336	escherichia_coli.k32.S_local.k_8.d_4.M_runsapprox.C_EliasFano
escherichia_coli.k32	local	8	4	runsapprox	bzip	32896	34588	34581	7	1	5332	51	5383	5336	escherichia_coli.k32.S_local.k_8.d_4.M_runsapprox.C_bzip
escherichia_coli.k32	local	8	4	runsapprox	rrr	32896	34588	34581	7	1	5332	251	5583	5336	escherichia_coli.k32.S_local.k_8.d_4.M_runsapprox.C_rrr
escherichia_coli.k32	local	8	4	runsapprox	xz	32896	34588	34581	7	1	5332	144	5476	5336	escherichia_coli.k32.S_local.k_8.d_4.M_runsapprox.C_xz
escherichia_coli.k32	local	8	4	zeros	EliasFano	32896	34588	32896	1692	1053	5324	1592	6916	6308	escherichia_coli.k32.S_local.k_8.d_4.M_zeros.C_EliasFano
escherichia_coli.k32	local	8	4	zeros	bzip	32896	34588	32896	1692	1053	5324	1191	6515	6308	escherichia_coli.k32.S_local.k_8.d_4.M_zeros.C_bzip
escherichia_coli.k32	local	8	4	zeros	rrr	32896	34588	32896	1692	1053	5324	1187	6511	6308	escherichia_coli.k32.S_local.k_8.d_4.M_zeros.C_rrr
escherichia_coli.k32	local	8	4	zeros	xz	32896	34588	32896	1692	1053	5324	1372	6696	6308	escherichia_coli.k32.S_local.k_8.d_4.M_zeros.C_xz
escherichia_coli.k32	local	8	5	default	EliasFano	32896	34578	32896	1682	1175	5232	1712	6944	6680	escherichia_coli.k32.S_local.k_8.d_5.M_default.C_EliasFano
escherichia_coli.k32	local	8	5	default	bzip	32896	34578	32896	1682	1175	5232	985	6217	6680	escherichia_coli.k32.S_local.k_8.d_5.M_default.C_bzip
escherichia_coli.k32	local	8	5	default	rrr	32896	34578	32896	1682	1175	5232	1187	6419	6680	escherichia_coli.k32.S_local.k_8.d_5.M_default.C_rrr
escherichia_coli.k32	local	8	5	default	xz	32896	34578	32896	1682	1175	5232	1392	6624	6680	escherichia_coli.k32.S_local.k_8.d_5.M_default.C_xz
escherichia_coli.k32	local	8	5	ones	EliasFano	32896	34578	34571	7	1	5232	8	5240	5236	escherichia_coli.k32.S_local.k_8.d_5.M_ones.C_EliasFano
escherichia_coli.k32	local	8	5	ones	bzip	32896	34578	34571	7	1	5232	51	5283	5236	escherichia_coli.k32.S_local.k_8.d_5.M_ones.C_bzip
escherichia_coli.k32	local	8	5	ones	rrr	32896	34578	34571	7	1	5232	251	5483	5236	escherichia_coli.k32.S_local.k_8.d_5.M_ones.C_rrr
escherichia_coli.k32	local	8	5	ones	xz	32896	34578	34571	7	1	5232	136	5368	5236	escherichia_coli.k32.S_local.k_8.d_5.M_ones.C_xz
escherichia_coli.k32	local	8	5	runs	EliasFano	32896	34578	34571	7	1	5240	8	5248	5244	escherichia_coli.k32.S_local.k_8.d_5.M_runs.C_EliasFano
escherichia_coli.k32	local	8	5	runs	bzip	32896	34578	34571	7	1	5240	51	5291	5244	escherichia_coli.k32.S_local.k_8.d_5.M_runs.C_bzip
escherichia_coli.k32	local	8	5	runs	rrr	32896	34578	34571	7	1	5240	251	5491	5244	escherichia_coli.k32.S_local.k_8.d_5.M_runs.C_rrr
escherichia_coli.k32	local	8	5	runs	xz	32896	34578	34571	7	1	5240	144	5384	5244	escherichia_coli.k32.S_local.k_8.d_5.M_runs.C_xz
escherichia_coli.k32	local	8	5	runsapprox	EliasFano	32896	34578	34571	7	1	5240	8	5248	5244	escherichia_coli.k32.S_local.k_8.d_5.M_runsapprox.C_EliasFano
escherichia_coli.k32	local	8	5	runsapprox	bzip	32896	34578	34571	7	1	5240	51	5291	5244	escherichia_coli.k32.S_local.k_8.d_5.M_runsapprox.C_bzip
escherichia_coli.k32	local	8	5	runsapprox	rrr	32896	34578	34571	7	1	5240	251	5491	5244	escherichia_coli.k32.S_local.k_8.d_5.M_runsapprox.C_rrr
escherichia_coli.k32	local	8	5	runsapprox	xz	32896	34578	34571	7	1	5240	144	5384	5244	escherichia_coli.k32.S_local.k_8.d_5.M_runsapprox.C_xz
escherichia_coli.k32	local	8	5	zeros	EliasFano	32896	34578	32896	1682	1108	5232	1640	6872	6388	escherichia_coli.k32.S_local.k_8.d_5.M_zeros.C_EliasFano
escherichia_coli.k32	local	8	5	zeros	bzip	32896	34578	32896	1682	1108	5232	1250	6482	6388	escherichia_coli.k32.S_local.k_8.d_5.M_zeros.C_bzip
escherichia_coli.k32	local	8	5	zeros	rrr	32896	34578	32896	1682	1108	5232	1203	6435	6388	escherichia_coli.k32.S_local.k_8.d_5.M_zeros.C_rrr
escherichia_coli.k32	local	8	5	zeros	xz	32896	34578	32896	1682	1108	5232	1444	6676	6388	escherichia_coli.k32.S_local.k_8.d_5.M_zeros.C_xz
escherichia_coli.k32	global	9	na	default	EliasFano	131072	131126	131072	54	8	36836	32	36868	36840	escherichia_coli.k32.S_global.k_9.d_na.M_default.C_EliasFano
escherichia_coli.k32	global	9	na	default	bzip	131072	131126	131072	54	8	36836	83	36919	36840	escherichia_coli.k32.S_global.k_9.d_na.M_default.C_bzip
escherichia_coli.k32	global	9	na	default	rrr	131072	131126	131072	54	8	36836	715	37551	36840	escherichia_coli.k32.S_global.k_9.d_na.M_default.C_rrr
escherichia_coli.k32	global	9	na	default	xz	131072	131126	131072	54	8	36836	196	37032	36840	escherichia_coli.k32.S_global.k_9.d_na.M_default.C_xz
escherichia_coli.k32	global	9	na	ones	EliasFano	131072	131126	131118	8	1	36836	8	36844	36844	escherichia_coli.k32.S_global.k_9.d_na.M_ones.C_EliasFano
escherichia_coli.k32	global	9	na	ones	bzip	131072	131126	131118	8	1	36836	53	36889	36844	escherichia_coli.k32.S_global.k_9.d_na.M_ones.C_bzip
escherichia_coli.k32	global	9	na	ones	rrr	131072	131126	131118	8	1	36836	675	37511	36844	escherichia_coli.k32.S_global.k_9.d_na.M_ones.C_rrr
escherichia_coli.k32	global	9	na	ones	xz	131072	131126	131118	8	1	36836	156	36992	36844	escherichia_coli.k32.S_global.k_9.d_na.M_ones.C_xz
escherichia_coli.k32	global	9	na	runs	EliasFano	131072	131126	131118	8	1	36844	8	36852	36852	escherichia_coli.k32.S_global.k_9.d_na.M_runs.C_EliasFano
escherichia_coli.k32	global	9	na	runs	bzip	131072	131126	131118	8	1	36844	53	36897	36852	escherichia_coli.k32.S_global.k_9.d_na.M_runs.C_bzip
escherichia_coli.k32	global	9	na	runs	rrr	131072	131126	131118	8	1	36844	675	37519	36852	escherichia_coli.k32.S_global.k_9.d_na.M_runs.C_rrr
escherichia_coli.k32	global	9	na	runs	xz	131072	131126	131118	8	1	36844	164	37008	36852	escherichia_coli.k32.S_global.k_9.d_na.M_runs.C_xz
escherichia_coli.k32	global	9	na	runsapprox	EliasFano	131072	131126	131118	8	1	36844	8	36852	36852	escherichia_coli.k32.S_global.k_9.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	global	9	na	runsapprox	bzip	131072	131126	131118	8	1	36844	53	36897	36852	escherichia_coli.k32.S_global.k_9.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	global	9	na	runsapprox	rrr	131072	131126	131118	8	1	36844	675	37519	36852	escherichia_coli.k32.S_global.k_9.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	global	9	na	runsapprox	xz	131072	131126	131118	8	1	36844	164	37008	36852	escherichia_coli.k32.S_global.k_9.d_na.M_runsapprox.C_xz
escherichia_coli.k32	global	9	na	zeros	EliasFano	131072	131126	131072	54	30	36836	104	36940	36880	escherichia_coli.k32.S_global.k_9.d_na.M_zeros.C_EliasFano
escherichia_coli.k32	global	9	na	zeros	bzip	131072	131126	131072	54	30	36836	155	36991	36880	escherichia_coli.k32.S_global.k_9.d_na.M_zeros.C_bzip
escherichia_coli.k32	global	9	na	zeros	rrr	131072	131126	131072	54	30	36836	723	37559	36880	escherichia_coli.k32.S_global.k_9.d_na.M_zeros.C_rrr
escherichia_coli.k32	global	9	na	zeros	xz	131072	131126	131072	54	30	36836	300	37136	36880	escherichia_coli.k32.S_global.k_9.d_na.M_zeros.C_xz
escherichia_coli.k32	local	9	1	default	EliasFano	131072	134896	131072	3824	478	12476	1096	13572	14036	escherichia_coli.k32.S_local.k_9.d_1.M_default.C_EliasFano
escherichia_coli.k32	local	9	1	default	bzip	131072	134896	131072	3824	478	12476	545	13021	14036	escherichia_coli.k32.S_local.k_9.d_1.M_default.C_bzip
escherichia_coli.k32	local	9	1	default	rrr	131072	134896	131072	3824	478	12476	2675	15151	14036	escherichia_coli.k32.S_local.k_9.d_1.M_default.C_rrr
escherichia_coli.k32	local	9	1	default	xz	131072	134896	131072	3824	478	12476	1016	13492	14036	escherichia_coli.k32.S_local.k_9.d_1.M_default.C_xz
escherichia_coli.k32	local	9	1	ones	EliasFano	131072	134896	134888	8	1	12476	8	12484	12484	escherichia_coli.k32.S_local.k_9.d_1.M_ones.C_EliasFano
escherichia_coli.k32	local	9	1	ones	bzip	131072	134896	134888	8	1	12476	49	12525	12484	escherichia_coli.k32.S_local.k_9.d_1.M_ones.C_bzip
escherichia_coli.k32	local	9	1	ones	rrr	131072	134896	134888	8	1	12476	667	13143	12484	escherichia_coli.k32.S_local.k_9.d_1.M_ones.C_rrr
escherichia_coli.k32	local	9	1	ones	xz	131072	134896	134888	8	1	12476	156	12632	12484	escherichia_coli.k32.S_local.k_9.d_1.M_ones.C_xz
escherichia_coli.k32	local	9	1	runs	EliasFano	131072	134896	134888	8	1	12484	8	12492	12492	escherichia_coli.k32.S_local.k_9.d_1.M_runs.C_EliasFano
escherichia_coli.k32	local	9	1	runs	bzip	131072	134896	134888	8	1	12484	49	12533	12492	escherichia_coli.k32.S_local.k_9.d_1.M_runs.C_bzip
escherichia_coli.k32	local	9	1	runs	rrr	131072	134896	134888	8	1	12484	667	13151	12492	escherichia_coli.k32.S_local.k_9.d_1.M_runs.C_rrr
escherichia_coli.k32	local	9	1	runs	xz	131072	134896	134888	8	1	12484	164	12648	12492	escherichia_coli.k32.S_local.k_9.d_1.M_runs.C_xz
escherichia_coli.k32	local	9	1	runsapprox	EliasFano	131072	134896	134888	8	1	12484	8	12492	12492	escherichia_coli.k32.S_local.k_9.d_1.M_runsapprox.C_EliasFano
escherichia_coli.k32	local	9	1	runsapprox	bzip	131072	134896	134888	8	1	12484	49	12533	12492	escherichia_coli.k32.S_local.k_9.d_1.M_runsapprox.C_bzip
escherichia_coli.k32	local	9	1	runsapprox	rrr	131072	134896	134888	8	1	12484	667	13151	12492	escherichia_coli.k32.S_local.k_9.d_1.M_runsapprox.C_rrr
escherichia_coli.k32	local	9	1	runsapprox	xz	131072	134896	134888	8	1	12484	164	12648	12492	escherichia_coli.k32.S_local.k_9.d_1.M_runsapprox.C_xz
escherichia_coli.k32	local	9	1	zeros	EliasFano	131072	134896	131072	3824	1002	12476	2032	14508	15036	escherichia_coli.k32.S_local.k_9.d_1.M_zeros.C_EliasFano
escherichia_coli.k32	local	9	1	zeros	bzip	131072	134896	131072	3824	1002	12476	1802	14278	15036	escherichia_coli.k32.S_local.k_9.d_1.M_zeros.C_bzip
escherichia_coli.k32	local	9	1	zeros	rrr	131072	134896	131072	3824	1002	12476	2707	15183	15036	escherichia_coli.k32.S_local.k_9.d_1.M_zeros.C_rrr
escherichia_coli.k32	local	9	1	zeros	xz	131072	134896	131072	3824	1002	12476	2264	14740	15036	escherichia_coli.k32.S_local.k_9.d_1.M_zeros.C_xz
escherichia_coli.k32	local	9	2	default	EliasFano	131072	134982	131072	3910	1621	15364	2984	18348	18560	escherichia_coli.k32.S_local.k_9.d_2.M_default.C_EliasFano
escherichia_coli.k32	local	9	2	default	bzip	131072	134982	131072	3910	1621	15364	1382	16746	18560	escherichia_coli.k32.S_local.k_9.d_2.M_default.C_bzip
escherichia_coli.k32	local	9	2	default	rrr	131072	134982	131072	3910	1621	15364	2979	18343	18560	escherichia_coli.k32.S_local.k_9.d_2.M_default.C_rrr
