pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.S_local.k_8.d_4.M_zeros	escherichia_coli.k32	local	8	4	zeros	0.00	0.00	0.00	100%	4708	0	0	0.009733
escherichia_coli.k32.S_local.k_8.d_5.M_default	escherichia_coli.k32	local	8	5	default	0.00	0.00	0.00	50%	2192	24	0	0.007383
escherichia_coli.k32.S_local.k_8.d_5.M_ones	escherichia_coli.k32	local	8	5	ones	0.00	0.00	0.00	85%	4708	0	0	0.010899
escherichia_coli.k32.S_local.k_8.d_5.M_runs	escherichia_coli.k32	local	8	5	runs	0.02	0.00	0.02	92%	7828	0	0	0.029595
escherichia_coli.k32.S_local.k_8.d_5.M_runsapprox	escherichia_coli.k32	local	8	5	runsapprox	0.02	0.00	0.01	95%	7828	0	0	0.025373
escherichia_coli.k32.S_local.k_8.d_5.M_zeros	escherichia_coli.k32	local	8	5	zeros	0.00	0.00	0.00	87%	4708	0	0	0.010729
escherichia_coli.k32.S_global.k_9.d_na.M_default	escherichia_coli.k32	global	9	na	default	0.00	0.00	0.00	100%	2272	0	0	0.006544
escherichia_coli.k32.S_global.k_9.d_na.M_ones	escherichia_coli.k32	global	9	na	ones	0.02	0.00	0.01	95%	6248	0	0	0.02369
escherichia_coli.k32.S_global.k_9.d_na.M_runs	escherichia_coli.k32	global	9	na	runs	0.06	0.01	0.04	98%	18064	0	0	0.064785
escherichia_coli.k32.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	global	9	na	runsapprox	0.07	0.01	0.05	97%	18064	0	0	0.075789
escherichia_coli.k32.S_global.k_9.d_na.M_zeros	escherichia_coli.k32	global	9	na	zeros	0.01	0.00	0.01	94%	6248	0	0	0.022125
escherichia_coli.k32.S_local.k_9.d_1.M_default	escherichia_coli.k32	local	9	1	default	0.00	0.00	0.00	50%	2272	72	0	0.008917
escherichia_coli.k32.S_local.k_9.d_1.M_ones	escherichia_coli.k32	local	9	1	ones	0.01	0.00	0.01	94%	6244	0	0	0.020684
escherichia_coli.k32.S_local.k_9.d_1.M_runs	escherichia_coli.k32	local	9	1	runs	0.07	0.01	0.06	97%	18064	0	0	0.076499
escherichia_coli.k32.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	local	9	1	runsapprox	0.06	0.00	0.06	100%	18064	0	0	0.069188
escherichia_coli.k32.S_local.k_9.d_1.M_zeros	escherichia_coli.k32	local	9	1	zeros	0.02	0.00	0.02	100%	6244	0	0	0.025974
escherichia_coli.k32.S_local.k_9.d_2.M_default	escherichia_coli.k32	local	9	2	default	0.00	0.00	0.00	100%	2272	72	0	0.008832
escherichia_coli.k32.S_local.k_9.d_2.M_ones	escherichia_coli.k32	local	9	2	ones	0.02	0.00	0.02	96%	6244	0	0	0.028145
escherichia_coli.k32.S_local.k_9.d_2.M_runs	escherichia_coli.k32	local	9	2	runs	0.06	0.00	0.05	97%	18064	0	0	0.07244
escherichia_coli.k32.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	local	9	2	runsapprox	0.05	0.00	0.05	98%	18064	0	0	0.062825
escherichia_coli.k32.S_local.k_9.d_2.M_zeros	escherichia_coli.k32	local	9	2	zeros	0.02	0.00	0.01	95%	6244	0	0	0.025696
escherichia_coli.k32.S_local.k_9.d_3.M_default	escherichia_coli.k32	local	9	3	default	0.00	0.00	0.00	100%	2144	0	0	0.007513
escherichia_coli.k32.S_local.k_9.d_3.M_ones	escherichia_coli.k32	local	9	3	ones	0.02	0.00	0.02	100%	6244	0	0	0.022893
escherichia_coli.k32.S_local.k_9.d_3.M_runs	escherichia_coli.k32	local	9	3	runs	0.07	0.03	0.04	97%	18064	0	0	0.077161
escherichia_coli.k32.S_local.k_9.d_3.M_runsapprox	escherichia_coli.k32	local	9	3	runsapprox	0.06	0.00	0.05	97%	18064	0	0	0.07178
escherichia_coli.k32.S_local.k_9.d_3.M_zeros	escherichia_coli.k32	local	9	3	zeros	0.01	0.00	0.01	100%	6244	0	0	0.02048
escherichia_coli.k32.S_local.k_9.d_4.M_default	escherichia_coli.k32	local	9	4	default	0.00	0.00	0.00	100%	2272	72	0	0.008832
escherichia_coli.k32.S_local.k_9.d_4.M_ones	escherichia_coli.k32	local	9	4	ones	0.02	0.00	0.01	95%	6244	0	0	0.025135
escherichia_coli.k32.S_local.k_9.d_4.M_runs	escherichia_coli.k32	local	9	4	runs	0.06	0.02	0.04	98%	18064	0	0	0.071317
escherichia_coli.k32.S_local.k_9.d_4.M_runsapprox	escherichia_coli.k32	local	9	4	runsapprox	0.06	0.00	0.05	96%	18064	0	0	0.066957
escherichia_coli.k32.S_local.k_9.d_4.M_zeros	escherichia_coli.k32	local	9	4	zeros	0.02	0.00	0.01	100%	6244	0	0	0.027783
escherichia_coli.k32.S_local.k_9.d_5.M_default	escherichia_coli.k32	local	9	5	default	0.01	0.00	0.00	30%	1408	72	0	0.020501
escherichia_coli.k32.S_local.k_9.d_5.M_ones	escherichia_coli.k32	local	9	5	ones	0.02	0.00	0.01	86%	6276	264	0	0.031493
escherichia_coli.k32.S_local.k_9.d_5.M_runs	escherichia_coli.k32	local	9	5	runs	0.05	0.00	0.05	96%	18064	0	0	0.060396
escherichia_coli.k32.S_local.k_9.d_5.M_runsapprox	escherichia_coli.k32	local	9	5	runsapprox	0.06	0.01	0.05	100%	18064	0	0	0.068244
escherichia_coli.k32.S_local.k_9.d_5.M_zeros	escherichia_coli.k32	local	9	5	zeros	0.02	0.00	0.01	91%	6276	0	0	0.027399
escherichia_coli.k32.S_global.k_10.d_na.M_default	escherichia_coli.k32	global	10	na	default	0.00	0.00	0.00	100%	2604	0	0	0.011535
escherichia_coli.k32.S_global.k_10.d_na.M_ones	escherichia_coli.k32	global	10	na	ones	0.06	0.00	0.05	98%	12640	0	0	0.064559
escherichia_coli.k32.S_global.k_10.d_na.M_runs	escherichia_coli.k32	global	10	na	runs	0.27	0.02	0.25	99%	71652	0	0	0.282048
escherichia_coli.k32.S_global.k_10.d_na.M_runsapprox	escherichia_coli.k32	global	10	na	runsapprox	0.26	0.02	0.23	98%	71652	0	0	0.267146
escherichia_coli.k32.S_global.k_10.d_na.M_zeros	escherichia_coli.k32	global	10	na	zeros	0.05	0.01	0.04	98%	12640	0	0	0.056438
escherichia_coli.k32.S_local.k_10.d_1.M_default	escherichia_coli.k32	local	10	1	default	0.00	0.00	0.00	80%	2604	248	0	0.010924
escherichia_coli.k32.S_local.k_10.d_1.M_ones	escherichia_coli.k32	local	10	1	ones	0.12	0.00	0.12	97%	12636	0	0	0.130254
escherichia_coli.k32.S_local.k_10.d_1.M_runs	escherichia_coli.k32	local	10	1	runs	0.29	0.03	0.26	99%	71652	0	0	0.300816
escherichia_coli.k32.S_local.k_10.d_1.M_runsapprox	escherichia_coli.k32	local	10	1	runsapprox	0.27	0.02	0.25	98%	71652	0	0	0.279669
escherichia_coli.k32.S_local.k_10.d_1.M_zeros	escherichia_coli.k32	local	10	1	zeros	0.09	0.00	0.09	98%	12636	0	0	0.097958
escherichia_coli.k32.S_local.k_10.d_2.M_default	escherichia_coli.k32	local	10	2	default	0.00	0.00	0.00	60%	2604	256	0	0.0099
escherichia_coli.k32.S_local.k_10.d_2.M_ones	escherichia_coli.k32	local	10	2	ones	0.08	0.00	0.08	100%	12636	0	0	0.090693
escherichia_coli.k32.S_local.k_10.d_2.M_runs	escherichia_coli.k32	local	10	2	runs	0.28	0.03	0.25	98%	71652	0	0	0.289477
escherichia_coli.k32.S_local.k_10.d_2.M_runsapprox	escherichia_coli.k32	local	10	2	runsapprox	0.28	0.01	0.26	99%	71652	0	0	0.289801
escherichia_coli.k32.S_local.k_10.d_2.M_zeros	escherichia_coli.k32	local	10	2	zeros	0.08	0.00	0.08	97%	12636	0	0	0.090963
escherichia_coli.k32.S_local.k_10.d_3.M_default	escherichia_coli.k32	local	10	3	default	0.00	0.00	0.00	85%	2604	264	0	0.013927
escherichia_coli.k32.S_local.k_10.d_3.M_ones	escherichia_coli.k32	local	10	3	ones	0.09	0.01	0.08	98%	12636	0	0	0.100387
escherichia_coli.k32.S_local.k_10.d_3.M_runs	escherichia_coli.k32	local	10	3	runs	0.31	0.02	0.28	99%	71652	0	0	0.319497
escherichia_coli.k32.S_local.k_10.d_3.M_runsapprox	escherichia_coli.k32	local	10	3	runsapprox	0.29	0.01	0.27	99%	71652	0	0	0.302806
escherichia_coli.k32.S_local.k_10.d_3.M_zeros	escherichia_coli.k32	local	10	3	zeros	0.10	0.00	0.09	99%	12636	0	0	0.109608
escherichia_coli.k32.S_local.k_10.d_4.M_default	escherichia_coli.k32	local	10	4	default	0.00	0.00	0.00	85%	2604	280	0	0.013821
escherichia_coli.k32.S_local.k_10.d_4.M_ones	escherichia_coli.k32	local	10	4	ones	0.08	0.00	0.08	98%	12636	0	0	0.084986
escherichia_coli.k32.S_local.k_10.d_4.M_runs	escherichia_coli.k32	local	10	4	runs	0.28	0.02	0.26	99%	71652	0	0	0.292892
escherichia_coli.k32.S_local.k_10.d_4.M_runsapprox	escherichia_coli.k32	local	10	4	runsapprox	0.28	0.03	0.24	99%	71652	0	0	0.286411
escherichia_coli.k32.S_local.k_10.d_4.M_zeros	escherichia_coli.k32	local	10	4	zeros	0.08	0.01	0.07	97%	12636	0	0	0.090375
escherichia_coli.k32.S_local.k_10.d_5.M_default	escherichia_coli.k32	local	10	5	default	0.00	0.00	0.00	80%	2604	0	0	0.011495
escherichia_coli.k32.S_local.k_10.d_5.M_ones	escherichia_coli.k32	local	10	5	ones	0.08	0.00	0.08	98%	12636	0	0	0.08813
escherichia_coli.k32.S_local.k_10.d_5.M_runs	escherichia_coli.k32	local	10	5	runs	0.29	0.01	0.27	98%	71652	0	0	0.300824
escherichia_coli.k32.S_local.k_10.d_5.M_runsapprox	escherichia_coli.k32	local	10	5	runsapprox	0.28	0.03	0.24	99%	71652	0	0	0.28555
escherichia_coli.k32.S_local.k_10.d_5.M_zeros	escherichia_coli.k32	local	10	5	zeros	0.07	0.00	0.07	100%	12636	0	0	0.079641
escherichia_coli.k32.S_global.k_11.d_na.M_default	escherichia_coli.k32	global	11	na	default	0.01	0.00	0.00	75%	4140	1176	0	0.027425
escherichia_coli.k32.S_global.k_11.d_na.M_ones	escherichia_coli.k32	global	11	na	ones	0.60	0.02	0.56	96%	37980	0	0	0.609599
escherichia_coli.k32.S_global.k_11.d_na.M_runs	escherichia_coli.k32	global	11	na	runs	1.50	0.07	1.42	99%	235172	0	0	1.509066
escherichia_coli.k32.S_global.k_11.d_na.M_runsapprox	escherichia_coli.k32	global	11	na	runsapprox	1.33	0.04	1.28	99%	235172	0	0	1.343555
escherichia_coli.k32.S_global.k_11.d_na.M_zeros	escherichia_coli.k32	global	11	na	zeros	0.47	0.01	0.46	99%	37980	0	0	0.476974
escherichia_coli.k32.S_local.k_11.d_1.M_default	escherichia_coli.k32	local	11	1	default	0.01	0.00	0.01	66%	4140	824	0	0.029577
escherichia_coli.k32.S_local.k_11.d_1.M_ones	escherichia_coli.k32	local	11	1	ones	0.84	0.01	0.83	99%	37984	0	0	0.847315
escherichia_coli.k32.S_local.k_11.d_1.M_runs	escherichia_coli.k32	local	11	1	runs	1.38	0.09	1.28	99%	235768	0	0	1.386588
escherichia_coli.k32.S_local.k_11.d_1.M_runsapprox	escherichia_coli.k32	local	11	1	runsapprox	1.50	0.06	1.43	99%	235768	0	0	1.512295
escherichia_coli.k32.S_local.k_11.d_1.M_zeros	escherichia_coli.k32	local	11	1	zeros	0.91	0.00	0.91	99%	37984	0	0	0.923083
escherichia_coli.k32.S_local.k_11.d_2.M_default	escherichia_coli.k32	local	11	2	default	0.01	0.00	0.00	75%	4140	864	0	0.021395
escherichia_coli.k32.S_local.k_11.d_2.M_ones	escherichia_coli.k32	local	11	2	ones	1.03	0.03	0.98	98%	37984	0	0	1.038457
escherichia_coli.k32.S_local.k_11.d_2.M_runs	escherichia_coli.k32	local	11	2	runs	1.51	0.07	1.43	99%	236012	0	0	1.514474
escherichia_coli.k32.S_local.k_11.d_2.M_runsapprox	escherichia_coli.k32	local	11	2	runsapprox	1.61	0.06	1.54	99%	236012	0	0	1.619518
escherichia_coli.k32.S_local.k_11.d_2.M_zeros	escherichia_coli.k32	local	11	2	zeros	1.08	0.00	1.07	99%	37984	0	0	1.092432
escherichia_coli.k32.S_local.k_11.d_3.M_default	escherichia_coli.k32	local	11	3	default	0.01	0.00	0.00	75%	4140	912	0	0.02918
escherichia_coli.k32.S_local.k_11.d_3.M_ones	escherichia_coli.k32	local	11	3	ones	0.70	0.00	0.68	98%	37984	0	0	0.710802
escherichia_coli.k32.S_local.k_11.d_3.M_runs	escherichia_coli.k32	local	11	3	runs	1.66	0.09	1.55	99%	236084	0	0	1.666343
escherichia_coli.k32.S_local.k_11.d_3.M_runsapprox	escherichia_coli.k32	local	11	3	runsapprox	1.37	0.03	1.33	99%	236084	0	0	1.377486
escherichia_coli.k32.S_local.k_11.d_3.M_zeros	escherichia_coli.k32	local	11	3	zeros	0.55	0.02	0.52	98%	37984	0	0	0.559168
escherichia_coli.k32.S_local.k_11.d_4.M_default	escherichia_coli.k32	local	11	4	default	0.01	0.00	0.01	75%	4140	968	0	0.027759
escherichia_coli.k32.S_local.k_11.d_4.M_ones	escherichia_coli.k32	local	11	4	ones	0.54	0.00	0.54	99%	37984	0	0	0.549561
escherichia_coli.k32.S_local.k_11.d_4.M_runs	escherichia_coli.k32	local	11	4	runs	1.52	0.06	1.45	99%	236208	0	0	1.524738
escherichia_coli.k32.S_local.k_11.d_4.M_runsapprox	escherichia_coli.k32	local	11	4	runsapprox	1.44	0.05	1.38	99%	236208	0	0	1.449569
escherichia_coli.k32.S_local.k_11.d_4.M_zeros	escherichia_coli.k32	local	11	4	zeros	0.50	0.01	0.48	99%	37984	0	0	0.503049
escherichia_coli.k32.S_local.k_11.d_5.M_default	escherichia_coli.k32	local	11	5	default	0.01	0.00	0.01	72%	4140	1008	0	0.030896
escherichia_coli.k32.S_local.k_11.d_5.M_ones	escherichia_coli.k32	local	11	5	ones	0.58	0.00	0.56	98%	37984	0	0	0.584521
escherichia_coli.k32.S_local.k_11.d_5.M_runs	escherichia_coli.k32	local	11	5	runs	1.45	0.07	1.38	99%	236332	0	0	1.459465
escherichia_coli.k32.S_local.k_11.d_5.M_runsapprox	escherichia_coli.k32	local	11	5	runsapprox	1.66	0.09	1.57	99%	236332	0	0	1.67394
escherichia_coli.k32.S_local.k_11.d_5.M_zeros	escherichia_coli.k32	local	11	5	zeros	0.61	0.02	0.58	99%	37984	0	0	0.618222
escherichia_coli.k32.S_global.k_12.d_na.M_default	escherichia_coli.k32	global	12	na	default	0.05	0.00	0.03	69%	10076	4904	0	0.077404
escherichia_coli.k32.S_global.k_12.d_na.M_ones	escherichia_coli.k32	global	12	na	ones	3.13	0.03	3.09	99%	141064	0	0	3.141157
escherichia_coli.k32.S_global.k_12.d_na.M_runs	escherichia_coli.k32	global	12	na	runs	7.28	0.19	7.07	99%	925972	0	0	7.289394
escherichia_coli.k32.S_global.k_12.d_na.M_runsapprox	escherichia_coli.k32	global	12	na	runsapprox	7.43	0.21	7.20	99%	925972	0	0	7.435299
escherichia_coli.k32.S_global.k_12.d_na.M_zeros	escherichia_coli.k32	global	12	na	zeros	2.28	0.04	2.23	99%	141064	0	0	2.289253
escherichia_coli.k32.S_local.k_12.d_1.M_default	escherichia_coli.k32	local	12	1	default	0.07	0.01	0.04	74%	10808	0	0	0.100638
escherichia_coli.k32.S_local.k_12.d_1.M_ones	escherichia_coli.k32	local	12	1	ones	5.95	0.09	5.83	99%	141048	0	0	5.955319
escherichia_coli.k32.S_local.k_12.d_1.M_runs	escherichia_coli.k32	local	12	1	runs	8.82	0.27	8.53	99%	945884	0	0	8.833247
escherichia_coli.k32.S_local.k_12.d_1.M_runsapprox	escherichia_coli.k32	local	12	1	runsapprox	7.89	0.26	7.61	99%	945964	0	0	7.89547
escherichia_coli.k32.S_local.k_12.d_1.M_zeros	escherichia_coli.k32	local	12	1	zeros	4.36	0.03	4.31	99%	141048	0	0	4.369045
escherichia_coli.k32.S_local.k_12.d_2.M_default	escherichia_coli.k32	local	12	2	default	0.06	0.00	0.04	76%	10544	4152	0	0.087009
escherichia_coli.k32.S_local.k_12.d_2.M_ones	escherichia_coli.k32	local	12	2	ones	3.97	0.05	3.90	99%	141060	0	0	3.976318
escherichia_coli.k32.S_local.k_12.d_2.M_runs	escherichia_coli.k32	local	12	2	runs	7.88	0.28	7.59	99%	936148	0	0	7.890261
escherichia_coli.k32.S_local.k_12.d_2.M_runsapprox	escherichia_coli.k32	local	12	2	runsapprox	7.65	0.28	7.36	99%	936148	0	0	7.664273
escherichia_coli.k32.S_local.k_12.d_2.M_zeros	escherichia_coli.k32	local	12	2	zeros	3.49	0.03	3.45	99%	141060	0	0	3.50042
escherichia_coli.k32.S_local.k_12.d_3.M_default	escherichia_coli.k32	local	12	3	default	0.06	0.01	0.04	77%	10284	4064	0	0.097265
escherichia_coli.k32.S_local.k_12.d_3.M_ones	escherichia_coli.k32	local	12	3	ones	4.37	0.05	4.27	99%	141048	0	0	4.373207
escherichia_coli.k32.S_local.k_12.d_3.M_runs	escherichia_coli.k32	local	12	3	runs	8.19	0.23	7.95	99%	932688	0	0	8.202416
escherichia_coli.k32.S_local.k_12.d_3.M_runsapprox	escherichia_coli.k32	local	12	3	runsapprox	7.85	0.23	7.61	99%	932696	0	0	7.861692
escherichia_coli.k32.S_local.k_12.d_3.M_zeros	escherichia_coli.k32	local	12	3	zeros	5.25	0.08	5.12	99%	141048	0	0	5.256342
escherichia_coli.k32.S_local.k_12.d_4.M_default	escherichia_coli.k32	local	12	4	default	0.06	0.00	0.04	76%	10284	4136	0	0.094576
escherichia_coli.k32.S_local.k_12.d_4.M_ones	escherichia_coli.k32	local	12	4	ones	5.24	0.08	5.05	98%	141048	0	0	5.247294
escherichia_coli.k32.S_local.k_12.d_4.M_runs	escherichia_coli.k32	local	12	4	runs	7.10	0.24	6.84	99%	932656	0	0	7.108419
escherichia_coli.k32.S_local.k_12.d_4.M_runsapprox	escherichia_coli.k32	local	12	4	runsapprox	7.71	0.32	7.37	99%	932596	0	0	7.716446
escherichia_coli.k32.S_local.k_12.d_4.M_zeros	escherichia_coli.k32	local	12	4	zeros	4.47	0.04	4.40	99%	141048	0	0	4.481466
escherichia_coli.k32.S_local.k_12.d_5.M_default	escherichia_coli.k32	local	12	5	default	0.07	0.00	0.04	75%	10284	4272	0	0.10006
escherichia_coli.k32.S_local.k_12.d_5.M_ones	escherichia_coli.k32	local	12	5	ones	4.23	0.05	4.16	99%	141048	0	0	4.241576
escherichia_coli.k32.S_local.k_12.d_5.M_runs	escherichia_coli.k32	local	12	5	runs	7.94	0.21	7.71	99%	933612	0	0	7.945144
escherichia_coli.k32.S_local.k_12.d_5.M_runsapprox	escherichia_coli.k32	local	12	5	runsapprox	7.53	0.26	7.26	99%	933612	0	0	7.537432
escherichia_coli.k32.S_local.k_12.d_5.M_zeros	escherichia_coli.k32	local	12	5	zeros	5.01	0.03	4.96	99%	141048	0	0	5.014282
escherichia_coli.k32.S_global.k_13.d_na.M_default	escherichia_coli.k32	global	13	na	default	0.48	0.02	0.13	33%	33840	21128	0	0.56261
escherichia_coli.k32.S_global.k_13.d_na.M_ones	escherichia_coli.k32	global	13	na	ones	11.98	0.11	11.84	99%	552552	0	0	11.982569
escherichia_coli.k32.S_global.k_13.d_na.M_runs	escherichia_coli.k32	global	13	na	runs	31.78	0.94	30.80	99%	3434656	0	0	31.792813
escherichia_coli.k32.S_global.k_13.d_na.M_runsapprox	escherichia_coli.k32	global	13	na	runsapprox	30.83	0.86	29.93	99%	3434644	0	0	30.840186
escherichia_coli.k32.S_global.k_13.d_na.M_zeros	escherichia_coli.k32	global	13	na	zeros	13.89	0.18	13.69	99%	552588	0	0	13.898877
escherichia_coli.k32.S_local.k_13.d_1.M_default	escherichia_coli.k32	local	13	1	default	1.22	0.07	0.21	24%	48180	24216	0	1.338273
escherichia_coli.k32.S_local.k_13.d_1.M_ones	escherichia_coli.k32	local	13	1	ones	57.13	0.20	56.75	99%	552576	0	0	57.141698
escherichia_coli.k32.S_local.k_13.d_1.M_runs	escherichia_coli.k32	local	13	1	runs	1703.35	1.73	1699.45	99%	4103692	0	0	1703.357579
escherichia_coli.k32.S_local.k_13.d_1.M_runsapprox	escherichia_coli.k32	local	13	1	runsapprox	54.72	1.21	53.45	99%	3823464	0	0	54.734428
escherichia_coli.k32.S_local.k_13.d_1.M_zeros	escherichia_coli.k32	local	13	1	zeros	41.19	0.15	40.86	99%	552576	0	0	41.198198
escherichia_coli.k32.S_local.k_13.d_2.M_default	escherichia_coli.k32	local	13	2	default	0.69	0.03	0.15	27%	39744	23768	0	0.778472
escherichia_coli.k32.S_local.k_13.d_2.M_ones	escherichia_coli.k32	local	13	2	ones	22.73	0.17	22.50	99%	552576	0	0	22.739628
escherichia_coli.k32.S_local.k_13.d_2.M_runs	escherichia_coli.k32	local	13	2	runs	324.95	1.15	184.46	57%	3603840	0	0	324.955282
escherichia_coli.k32.S_local.k_13.d_2.M_runsapprox	escherichia_coli.k32	local	13	2	runsapprox	38.38	0.77	37.57	99%	3588912	0	0	38.393123
escherichia_coli.k32.S_local.k_13.d_2.M_zeros	escherichia_coli.k32	local	13	2	zeros	25.62	0.10	25.48	99%	552576	0	0	25.626316
escherichia_coli.k32.S_local.k_13.d_3.M_default	escherichia_coli.k32	local	13	3	default	0.63	0.05	0.14	31%	35384	22016	0	0.720862
escherichia_coli.k32.S_local.k_13.d_3.M_ones	escherichia_coli.k32	local	13	3	ones	22.66	0.15	22.26	98%	552564	0	0	22.670653
escherichia_coli.k32.S_local.k_13.d_3.M_runs	escherichia_coli.k32	local	13	3	runs	57.49	0.89	56.55	99%	3521788	0	0	57.500517
escherichia_coli.k32.S_local.k_13.d_3.M_runsapprox	escherichia_coli.k32	local	13	3	runsapprox	36.08	0.95	35.08	99%	3521680	0	0	36.091598
escherichia_coli.k32.S_local.k_13.d_3.M_zeros	escherichia_coli.k32	local	13	3	zeros	23.00	0.16	22.81	99%	552580	0	0	23.011237
escherichia_coli.k32.S_local.k_13.d_4.M_default	escherichia_coli.k32	local	13	4	default	0.59	0.02	0.15	30%	34628	21360	0	0.684214
escherichia_coli.k32.S_local.k_13.d_4.M_ones	escherichia_coli.k32	local	13	4	ones	18.49	0.16	18.30	99%	552592	0	0	18.498357
escherichia_coli.k32.S_local.k_13.d_4.M_runs	escherichia_coli.k32	local	13	4	runs	36.72	0.86	35.80	99%	3500160	0	0	36.726362
escherichia_coli.k32.S_local.k_13.d_4.M_runsapprox	escherichia_coli.k32	local	13	4	runsapprox	35.09	0.81	34.23	99%	3500168	0	0	35.094813
escherichia_coli.k32.S_local.k_13.d_4.M_zeros	escherichia_coli.k32	local	13	4	zeros	21.11	0.14	20.93	99%	552592	0	0	21.118275
escherichia_coli.k32.S_local.k_13.d_5.M_default	escherichia_coli.k32	local	13	5	default	0.80	0.02	0.21	29%	34364	21224	0	0.905674
escherichia_coli.k32.S_local.k_13.d_5.M_ones	escherichia_coli.k32	local	13	5	ones	20.28	0.20	20.05	99%	552580	0	0	20.288819
escherichia_coli.k32.S_local.k_13.d_5.M_runs	escherichia_coli.k32	local	13	5	runs	32.50	0.73	31.71	99%	3495808	0	0	32.50468
escherichia_coli.k32.S_local.k_13.d_5.M_runsapprox	escherichia_coli.k32	local	13	5	runsapprox	34.82	0.93	33.84	99%	3495684	0	0	34.827305
escherichia_coli.k32.S_local.k_13.d_5.M_zeros	escherichia_coli.k32	local	13	5	zeros	22.79	0.18	22.54	99%	552580	0	0	22.794786
escherichia_coli.k32.S_global.k_14.d_na.M_default	escherichia_coli.k32	global	14	na	default	3.07	0.08	0.58	21%	78904	56360	0	3.251617
