pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.S_matchtigs.k_7.d_na.M_zeros	escherichia_coli.k32	matchtigs	7	na	zeros	0.00	0.00	0.00	100%	4236	0	0	0.01031
escherichia_coli.k32.S_prophasm.k_7.d_na.M_default	escherichia_coli.k32	prophasm	7	na	default	0.06	0.01	0.04	95%	16216	0	0	0.065323
escherichia_coli.k32.S_prophasm.k_7.d_na.M_ones	escherichia_coli.k32	prophasm	7	na	ones	0.00	0.00	0.00	83%	4236	0	0	0.009848
escherichia_coli.k32.S_prophasm.k_7.d_na.M_runs	escherichia_coli.k32	prophasm	7	na	runs	0.00	0.00	0.00	100%	4928	0	0	0.012082
escherichia_coli.k32.S_prophasm.k_7.d_na.M_runsapprox	escherichia_coli.k32	prophasm	7	na	runsapprox	0.01	0.00	0.00	80%	4928	0	0	0.014661
escherichia_coli.k32.S_prophasm.k_7.d_na.M_zeros	escherichia_coli.k32	prophasm	7	na	zeros	0.00	0.00	0.00	100%	4236	0	0	0.008347
escherichia_coli.k32.S_eulertigs.k_8.d_na.M_default	escherichia_coli.k32	eulertigs	8	na	default	0.06	0.01	0.04	95%	16284	0	0	0.070625
escherichia_coli.k32.S_eulertigs.k_8.d_na.M_ones	escherichia_coli.k32	eulertigs	8	na	ones	0.01	0.00	0.00	90%	4728	0	0	0.013732
escherichia_coli.k32.S_eulertigs.k_8.d_na.M_runs	escherichia_coli.k32	eulertigs	8	na	runs	0.02	0.00	0.01	95%	7848	0	0	0.023639
escherichia_coli.k32.S_eulertigs.k_8.d_na.M_runsapprox	escherichia_coli.k32	eulertigs	8	na	runsapprox	0.02	0.00	0.01	100%	7848	0	0	0.024783
escherichia_coli.k32.S_eulertigs.k_8.d_na.M_zeros	escherichia_coli.k32	eulertigs	8	na	zeros	0.00	0.00	0.00	100%	4728	0	0	0.012509
escherichia_coli.k32.S_greedytigs.k_8.d_na.M_default	escherichia_coli.k32	greedytigs	8	na	default	0.07	0.01	0.05	97%	16360	0	0	0.075812
escherichia_coli.k32.S_greedytigs.k_8.d_na.M_ones	escherichia_coli.k32	greedytigs	8	na	ones	0.01	0.00	0.00	100%	4728	0	0	0.016755
escherichia_coli.k32.S_greedytigs.k_8.d_na.M_runs	escherichia_coli.k32	greedytigs	8	na	runs	0.01	0.00	0.00	100%	7848	0	0	0.022175
escherichia_coli.k32.S_greedytigs.k_8.d_na.M_runsapprox	escherichia_coli.k32	greedytigs	8	na	runsapprox	0.01	0.00	0.01	100%	7848	0	0	0.019928
escherichia_coli.k32.S_greedytigs.k_8.d_na.M_zeros	escherichia_coli.k32	greedytigs	8	na	zeros	0.00	0.00	0.00	100%	4728	0	0	0.01209
escherichia_coli.k32.S_matchtigs.k_8.d_na.M_default	escherichia_coli.k32	matchtigs	8	na	default	0.06	0.02	0.03	96%	16360	0	0	0.069918
escherichia_coli.k32.S_matchtigs.k_8.d_na.M_ones	escherichia_coli.k32	matchtigs	8	na	ones	0.00	0.00	0.00	100%	4728	0	0	0.009548
escherichia_coli.k32.S_matchtigs.k_8.d_na.M_runs	escherichia_coli.k32	matchtigs	8	na	runs	0.02	0.00	0.02	100%	7848	0	0	0.024459
escherichia_coli.k32.S_matchtigs.k_8.d_na.M_runsapprox	escherichia_coli.k32	matchtigs	8	na	runsapprox	0.01	0.01	0.00	100%	7848	0	0	0.018739
escherichia_coli.k32.S_matchtigs.k_8.d_na.M_zeros	escherichia_coli.k32	matchtigs	8	na	zeros	0.00	0.00	0.00	100%	4728	0	0	0.012272
escherichia_coli.k32.S_prophasm.k_8.d_na.M_default	escherichia_coli.k32	prophasm	8	na	default	0.07	0.02	0.04	97%	16312	0	0	0.07691
escherichia_coli.k32.S_prophasm.k_8.d_na.M_ones	escherichia_coli.k32	prophasm	8	na	ones	0.01	0.00	0.00	90%	4728	0	0	0.013461
escherichia_coli.k32.S_prophasm.k_8.d_na.M_runs	escherichia_coli.k32	prophasm	8	na	runs	0.02	0.00	0.01	95%	7848	0	0	0.023912
escherichia_coli.k32.S_prophasm.k_8.d_na.M_runsapprox	escherichia_coli.k32	prophasm	8	na	runsapprox	0.01	0.00	0.01	100%	7848	0	0	0.019496
escherichia_coli.k32.S_prophasm.k_8.d_na.M_zeros	escherichia_coli.k32	prophasm	8	na	zeros	0.01	0.00	0.00	90%	4728	0	0	0.015504
escherichia_coli.k32.S_eulertigs.k_9.d_na.M_default	escherichia_coli.k32	eulertigs	9	na	default	0.07	0.02	0.04	95%	16784	0	0	0.080927
escherichia_coli.k32.S_eulertigs.k_9.d_na.M_ones	escherichia_coli.k32	eulertigs	9	na	ones	0.02	0.00	0.02	100%	6264	0	0	0.029447
escherichia_coli.k32.S_eulertigs.k_9.d_na.M_runs	escherichia_coli.k32	eulertigs	9	na	runs	0.06	0.00	0.06	100%	18084	0	0	0.069386
escherichia_coli.k32.S_eulertigs.k_9.d_na.M_runsapprox	escherichia_coli.k32	eulertigs	9	na	runsapprox	0.05	0.00	0.04	100%	18084	0	0	0.060884
escherichia_coli.k32.S_eulertigs.k_9.d_na.M_zeros	escherichia_coli.k32	eulertigs	9	na	zeros	0.02	0.00	0.02	100%	6264	0	0	0.028676
escherichia_coli.k32.S_greedytigs.k_9.d_na.M_default	escherichia_coli.k32	greedytigs	9	na	default	0.06	0.01	0.05	95%	16784	0	0	0.075469
escherichia_coli.k32.S_greedytigs.k_9.d_na.M_ones	escherichia_coli.k32	greedytigs	9	na	ones	0.02	0.00	0.01	95%	6264	0	0	0.02659
escherichia_coli.k32.S_greedytigs.k_9.d_na.M_runs	escherichia_coli.k32	greedytigs	9	na	runs	0.06	0.02	0.04	98%	18084	0	0	0.069723
escherichia_coli.k32.S_greedytigs.k_9.d_na.M_runsapprox	escherichia_coli.k32	greedytigs	9	na	runsapprox	0.05	0.00	0.04	98%	18084	0	0	0.061802
escherichia_coli.k32.S_greedytigs.k_9.d_na.M_zeros	escherichia_coli.k32	greedytigs	9	na	zeros	0.02	0.00	0.01	96%	6264	0	0	0.029828
escherichia_coli.k32.S_matchtigs.k_9.d_na.M_default	escherichia_coli.k32	matchtigs	9	na	default	0.07	0.01	0.04	95%	16784	0	0	0.078057
escherichia_coli.k32.S_matchtigs.k_9.d_na.M_ones	escherichia_coli.k32	matchtigs	9	na	ones	0.02	0.00	0.02	100%	6264	0	0	0.025761
escherichia_coli.k32.S_matchtigs.k_9.d_na.M_runs	escherichia_coli.k32	matchtigs	9	na	runs	0.06	0.02	0.03	100%	18084	0	0	0.065141
escherichia_coli.k32.S_matchtigs.k_9.d_na.M_runsapprox	escherichia_coli.k32	matchtigs	9	na	runsapprox	0.06	0.00	0.05	96%	18084	0	0	0.067211
escherichia_coli.k32.S_matchtigs.k_9.d_na.M_zeros	escherichia_coli.k32	matchtigs	9	na	zeros	0.01	0.00	0.01	100%	6264	0	0	0.023705
escherichia_coli.k32.S_prophasm.k_9.d_na.M_default	escherichia_coli.k32	prophasm	9	na	default	0.07	0.01	0.05	97%	16608	0	0	0.082253
escherichia_coli.k32.S_prophasm.k_9.d_na.M_ones	escherichia_coli.k32	prophasm	9	na	ones	0.02	0.00	0.02	100%	6264	0	0	0.033056
escherichia_coli.k32.S_prophasm.k_9.d_na.M_runs	escherichia_coli.k32	prophasm	9	na	runs	0.05	0.01	0.04	98%	18084	0	0	0.062454
escherichia_coli.k32.S_prophasm.k_9.d_na.M_runsapprox	escherichia_coli.k32	prophasm	9	na	runsapprox	0.05	0.00	0.05	100%	18084	0	0	0.063386
escherichia_coli.k32.S_prophasm.k_9.d_na.M_zeros	escherichia_coli.k32	prophasm	9	na	zeros	0.02	0.00	0.01	95%	6264	0	0	0.024804
escherichia_coli.k32.S_eulertigs.k_10.d_na.M_default	escherichia_coli.k32	eulertigs	10	na	default	0.07	0.01	0.06	100%	17784	0	0	0.081596
escherichia_coli.k32.S_eulertigs.k_10.d_na.M_ones	escherichia_coli.k32	eulertigs	10	na	ones	0.07	0.00	0.07	98%	12656	0	0	0.08167
escherichia_coli.k32.S_eulertigs.k_10.d_na.M_runs	escherichia_coli.k32	eulertigs	10	na	runs	0.25	0.01	0.23	99%	71672	0	0	0.25893
escherichia_coli.k32.S_eulertigs.k_10.d_na.M_runsapprox	escherichia_coli.k32	eulertigs	10	na	runsapprox	0.25	0.03	0.21	100%	71672	0	0	0.256127
escherichia_coli.k32.S_eulertigs.k_10.d_na.M_zeros	escherichia_coli.k32	eulertigs	10	na	zeros	0.07	0.00	0.07	98%	12656	0	0	0.078121
escherichia_coli.k32.S_greedytigs.k_10.d_na.M_default	escherichia_coli.k32	greedytigs	10	na	default	0.09	0.01	0.07	95%	18340	0	0	0.100259
escherichia_coli.k32.S_greedytigs.k_10.d_na.M_ones	escherichia_coli.k32	greedytigs	10	na	ones	0.07	0.00	0.06	98%	12656	0	0	0.0781
escherichia_coli.k32.S_greedytigs.k_10.d_na.M_runs	escherichia_coli.k32	greedytigs	10	na	runs	0.27	0.03	0.24	100%	71672	0	0	0.276452
escherichia_coli.k32.S_greedytigs.k_10.d_na.M_runsapprox	escherichia_coli.k32	greedytigs	10	na	runsapprox	0.26	0.04	0.21	100%	71672	0	0	0.264449
escherichia_coli.k32.S_greedytigs.k_10.d_na.M_zeros	escherichia_coli.k32	greedytigs	10	na	zeros	0.07	0.00	0.07	100%	12656	0	0	0.081206
escherichia_coli.k32.S_matchtigs.k_10.d_na.M_default	escherichia_coli.k32	matchtigs	10	na	default	0.07	0.02	0.05	97%	17804	0	0	0.088332
escherichia_coli.k32.S_matchtigs.k_10.d_na.M_ones	escherichia_coli.k32	matchtigs	10	na	ones	0.07	0.01	0.06	98%	12656	0	0	0.076599
escherichia_coli.k32.S_matchtigs.k_10.d_na.M_runs	escherichia_coli.k32	matchtigs	10	na	runs	0.26	0.03	0.22	99%	71672	0	0	0.266272
escherichia_coli.k32.S_matchtigs.k_10.d_na.M_runsapprox	escherichia_coli.k32	matchtigs	10	na	runsapprox	0.25	0.02	0.23	100%	71672	0	0	0.262201
escherichia_coli.k32.S_matchtigs.k_10.d_na.M_zeros	escherichia_coli.k32	matchtigs	10	na	zeros	0.07	0.00	0.07	98%	12656	0	0	0.082822
escherichia_coli.k32.S_prophasm.k_10.d_na.M_default	escherichia_coli.k32	prophasm	10	na	default	0.07	0.02	0.06	107%	17976	0	0	0.085417
escherichia_coli.k32.S_prophasm.k_10.d_na.M_ones	escherichia_coli.k32	prophasm	10	na	ones	0.11	0.00	0.10	98%	12656	0	0	0.120767
escherichia_coli.k32.S_prophasm.k_10.d_na.M_runs	escherichia_coli.k32	prophasm	10	na	runs	0.27	0.01	0.25	99%	71672	0	0	0.274328
escherichia_coli.k32.S_prophasm.k_10.d_na.M_runsapprox	escherichia_coli.k32	prophasm	10	na	runsapprox	0.27	0.02	0.24	99%	71672	0	0	0.273968
escherichia_coli.k32.S_prophasm.k_10.d_na.M_zeros	escherichia_coli.k32	prophasm	10	na	zeros	0.07	0.00	0.07	98%	12656	0	0	0.078821
escherichia_coli.k32.S_eulertigs.k_11.d_na.M_default	escherichia_coli.k32	eulertigs	11	na	default	0.09	0.02	0.07	103%	21812	0	0	0.101552
escherichia_coli.k32.S_eulertigs.k_11.d_na.M_ones	escherichia_coli.k32	eulertigs	11	na	ones	0.47	0.00	0.46	99%	38008	0	0	0.478855
escherichia_coli.k32.S_eulertigs.k_11.d_na.M_runs	escherichia_coli.k32	eulertigs	11	na	runs	1.39	0.07	1.31	99%	235256	0	0	1.393892
escherichia_coli.k32.S_eulertigs.k_11.d_na.M_runsapprox	escherichia_coli.k32	eulertigs	11	na	runsapprox	1.35	0.11	1.23	99%	235256	0	0	1.359165
escherichia_coli.k32.S_eulertigs.k_11.d_na.M_zeros	escherichia_coli.k32	eulertigs	11	na	zeros	0.44	0.00	0.44	99%	38008	0	0	0.446714
escherichia_coli.k32.S_greedytigs.k_11.d_na.M_default	escherichia_coli.k32	greedytigs	11	na	default	0.11	0.01	0.09	100%	24156	0	0	0.122575
escherichia_coli.k32.S_greedytigs.k_11.d_na.M_ones	escherichia_coli.k32	greedytigs	11	na	ones	0.45	0.01	0.44	99%	38008	0	0	0.457253
escherichia_coli.k32.S_greedytigs.k_11.d_na.M_runs	escherichia_coli.k32	greedytigs	11	na	runs	1.35	0.10	1.25	99%	235188	0	0	1.361475
escherichia_coli.k32.S_greedytigs.k_11.d_na.M_runsapprox	escherichia_coli.k32	greedytigs	11	na	runsapprox	1.36	0.06	1.29	99%	235188	0	0	1.369445
escherichia_coli.k32.S_greedytigs.k_11.d_na.M_zeros	escherichia_coli.k32	greedytigs	11	na	zeros	0.47	0.01	0.45	99%	38008	0	0	0.476026
escherichia_coli.k32.S_matchtigs.k_11.d_na.M_default	escherichia_coli.k32	matchtigs	11	na	default	0.11	0.03	0.07	98%	24132	0	0	0.121918
escherichia_coli.k32.S_matchtigs.k_11.d_na.M_ones	escherichia_coli.k32	matchtigs	11	na	ones	0.46	0.02	0.44	99%	38008	0	0	0.466483
escherichia_coli.k32.S_matchtigs.k_11.d_na.M_runs	escherichia_coli.k32	matchtigs	11	na	runs	1.35	0.07	1.27	99%	235220	0	0	1.360329
escherichia_coli.k32.S_matchtigs.k_11.d_na.M_runsapprox	escherichia_coli.k32	matchtigs	11	na	runsapprox	1.40	0.08	1.32	99%	235220	0	0	1.41301
escherichia_coli.k32.S_matchtigs.k_11.d_na.M_zeros	escherichia_coli.k32	matchtigs	11	na	zeros	0.45	0.00	0.45	99%	38008	0	0	0.460617
escherichia_coli.k32.S_prophasm.k_11.d_na.M_default	escherichia_coli.k32	prophasm	11	na	default	0.12	0.03	0.10	107%	22872	0	0	0.13789
escherichia_coli.k32.S_prophasm.k_11.d_na.M_ones	escherichia_coli.k32	prophasm	11	na	ones	0.48	0.01	0.46	99%	38008	0	0	0.490086
escherichia_coli.k32.S_prophasm.k_11.d_na.M_runs	escherichia_coli.k32	prophasm	11	na	runs	1.41	0.09	1.31	99%	237224	0	0	1.421413
escherichia_coli.k32.S_prophasm.k_11.d_na.M_runsapprox	escherichia_coli.k32	prophasm	11	na	runsapprox	1.41	0.08	1.32	99%	237224	0	0	1.418572
escherichia_coli.k32.S_prophasm.k_11.d_na.M_zeros	escherichia_coli.k32	prophasm	11	na	zeros	0.44	0.00	0.44	99%	38008	0	0	0.453538
escherichia_coli.k32.S_eulertigs.k_12.d_na.M_default	escherichia_coli.k32	eulertigs	12	na	default	0.20	0.04	0.24	139%	39492	0	0	0.223795
escherichia_coli.k32.S_eulertigs.k_12.d_na.M_ones	escherichia_coli.k32	eulertigs	12	na	ones	2.73	0.01	2.71	99%	141088	0	0	2.736498
escherichia_coli.k32.S_eulertigs.k_12.d_na.M_runs	escherichia_coli.k32	eulertigs	12	na	runs	8.25	0.27	7.96	99%	941768	0	0	8.25443
escherichia_coli.k32.S_eulertigs.k_12.d_na.M_runsapprox	escherichia_coli.k32	eulertigs	12	na	runsapprox	7.65	0.23	7.40	99%	941768	0	0	7.653965
escherichia_coli.k32.S_eulertigs.k_12.d_na.M_zeros	escherichia_coli.k32	eulertigs	12	na	zeros	2.66	0.03	2.62	99%	141088	0	0	2.669283
escherichia_coli.k32.S_greedytigs.k_12.d_na.M_default	escherichia_coli.k32	greedytigs	12	na	default	0.19	0.03	0.17	108%	36956	0	0	0.210943
escherichia_coli.k32.S_greedytigs.k_12.d_na.M_ones	escherichia_coli.k32	greedytigs	12	na	ones	3.64	0.04	3.59	99%	141088	0	0	3.65135
escherichia_coli.k32.S_greedytigs.k_12.d_na.M_runs	escherichia_coli.k32	greedytigs	12	na	runs	8.07	0.50	7.56	99%	931340	0	0	8.078454
escherichia_coli.k32.S_greedytigs.k_12.d_na.M_runsapprox	escherichia_coli.k32	greedytigs	12	na	runsapprox	7.11	0.25	6.85	99%	931340	0	0	7.1216
escherichia_coli.k32.S_greedytigs.k_12.d_na.M_zeros	escherichia_coli.k32	greedytigs	12	na	zeros	2.59	0.02	2.56	99%	141088	0	0	2.593839
escherichia_coli.k32.S_prophasm.k_12.d_na.M_default	escherichia_coli.k32	prophasm	12	na	default	0.29	0.03	0.40	147%	40436	0	0	0.319366
escherichia_coli.k32.S_prophasm.k_12.d_na.M_ones	escherichia_coli.k32	prophasm	12	na	ones	2.80	0.04	2.75	99%	141088	0	0	2.80965
escherichia_coli.k32.S_prophasm.k_12.d_na.M_runs	escherichia_coli.k32	prophasm	12	na	runs	9.96	0.38	9.56	99%	946616	0	0	9.962573
escherichia_coli.k32.S_prophasm.k_12.d_na.M_runsapprox	escherichia_coli.k32	prophasm	12	na	runsapprox	9.37	0.49	8.86	99%	946592	0	0	9.379456
escherichia_coli.k32.S_prophasm.k_12.d_na.M_zeros	escherichia_coli.k32	prophasm	12	na	zeros	2.77	0.01	2.76	99%	141088	0	0	2.780943
escherichia_coli.k32.S_eulertigs.k_13.d_na.M_default	escherichia_coli.k32	eulertigs	13	na	default	1.92	0.24	2.96	166%	196516	0	0	1.989113
escherichia_coli.k32.S_eulertigs.k_13.d_na.M_ones	escherichia_coli.k32	eulertigs	13	na	ones	18.66	0.15	18.49	99%	552596	0	0	18.670092
escherichia_coli.k32.S_eulertigs.k_13.d_na.M_runs	escherichia_coli.k32	eulertigs	13	na	runs	1106.93	3.32	1101.66	99%	4081596	0	0	1106.943552
escherichia_coli.k32.S_eulertigs.k_13.d_na.M_runsapprox	escherichia_coli.k32	eulertigs	13	na	runsapprox	53.40	1.04	52.29	99%	3820996	0	0	53.404789
escherichia_coli.k32.S_eulertigs.k_13.d_na.M_zeros	escherichia_coli.k32	eulertigs	13	na	zeros	19.00	0.16	18.82	99%	552608	0	0	19.008367
escherichia_coli.k32.S_greedytigs.k_13.d_na.M_default	escherichia_coli.k32	greedytigs	13	na	default	0.56	0.10	0.52	110%	100420	0	0	0.623992
escherichia_coli.k32.S_greedytigs.k_13.d_na.M_ones	escherichia_coli.k32	greedytigs	13	na	ones	14.09	0.11	13.96	99%	552612	0	0	14.097435
escherichia_coli.k32.S_greedytigs.k_13.d_na.M_runs	escherichia_coli.k32	greedytigs	13	na	runs	45.83	1.85	43.94	99%	3530884	0	0	45.836501
escherichia_coli.k32.S_greedytigs.k_13.d_na.M_runsapprox	escherichia_coli.k32	greedytigs	13	na	runsapprox	33.30	0.82	32.43	99%	3530932	0	0	33.305285
escherichia_coli.k32.S_greedytigs.k_13.d_na.M_zeros	escherichia_coli.k32	greedytigs	13	na	zeros	13.30	0.12	13.16	99%	552608	0	0	13.307963
escherichia_coli.k32.S_prophasm.k_13.d_na.M_default	escherichia_coli.k32	prophasm	13	na	default	2.08	0.20	3.12	159%	197316	0	0	2.145547
escherichia_coli.k32.S_prophasm.k_13.d_na.M_ones	escherichia_coli.k32	prophasm	13	na	ones	18.02	0.13	17.87	99%	552616	0	0	18.031635
escherichia_coli.k32.S_prophasm.k_13.d_na.M_runs	escherichia_coli.k32	prophasm	13	na	runs	1955.01	3.68	1948.85	99%	4123020	0	0	1955.024053
escherichia_coli.k32.S_prophasm.k_13.d_na.M_runsapprox	escherichia_coli.k32	prophasm	13	na	runsapprox	50.92	1.09	49.78	99%	3819856	0	0	50.925547
escherichia_coli.k32.S_prophasm.k_13.d_na.M_zeros	escherichia_coli.k32	prophasm	13	na	zeros	16.30	0.13	16.15	99%	552616	0	0	16.307915
escherichia_coli.k32.S_eulertigs.k_14.d_na.M_default	escherichia_coli.k32	eulertigs	14	na	default	8.13	0.85	12.18	160%	694052	0	0	8.311385
escherichia_coli.k32.S_eulertigs.k_14.d_na.M_ones	escherichia_coli.k32	eulertigs	14	na	ones	60.45	0.37	60.02	99%	1101496	0	0	60.459385
escherichia_coli.k32.S_eulertigs.k_14.d_na.M_runs	escherichia_coli.k32	eulertigs	14	na	runs	74255.38	28.94	74136.93	99%	11239796	302280	0	74255.391141
escherichia_coli.k32.S_eulertigs.k_14.d_na.M_runsapprox	escherichia_coli.k32	eulertigs	14	na	runsapprox	161.73	2.35	159.23	99%	8771304	0	0	161.73399
escherichia_coli.k32.S_eulertigs.k_14.d_na.M_zeros	escherichia_coli.k32	eulertigs	14	na	zeros	66.60	0.35	66.19	99%	1101496	0	0	66.607304
escherichia_coli.k32.S_greedytigs.k_14.d_na.M_default	escherichia_coli.k32	greedytigs	14	na	default	1.24	0.21	1.25	118%	263848	0	0	1.345249
escherichia_coli.k32.S_greedytigs.k_14.d_na.M_ones	escherichia_coli.k32	greedytigs	14	na	ones	37.16	0.22	36.89	99%	1101496	0	0	37.168655
escherichia_coli.k32.S_greedytigs.k_14.d_na.M_runs	escherichia_coli.k32	greedytigs	14	na	runs	97.25	1.85	95.26	99%	7908992	0	0	97.263504
escherichia_coli.k32.S_greedytigs.k_14.d_na.M_runsapprox	escherichia_coli.k32	greedytigs	14	na	runsapprox	106.78	2.06	104.60	99%	7908880	0	0	106.79094
escherichia_coli.k32.S_greedytigs.k_14.d_na.M_zeros	escherichia_coli.k32	greedytigs	14	na	zeros	37.91	0.23	37.63	99%	1101496	0	0	37.918137
escherichia_coli.k32.S_prophasm.k_14.d_na.M_default	escherichia_coli.k32	prophasm	14	na	default	7.76	0.55	12.17	163%	689356	0	0	7.930526
escherichia_coli.k32.S_prophasm.k_14.d_na.M_ones	escherichia_coli.k32	prophasm	14	na	ones	59.28	0.33	58.88	99%	1101492	0	0	59.290504
escherichia_coli.k32.S_prophasm.k_14.d_na.M_runs	escherichia_coli.k32	prophasm	14	na	runs	114415.06	29.67	114198.25	99%	11459772	304280	0	114415.066047
escherichia_coli.k32.S_prophasm.k_14.d_na.M_runsapprox	escherichia_coli.k32	prophasm	14	na	runsapprox	151.78	2.24	149.36	99%	8767048	0	0	151.791945
escherichia_coli.k32.S_prophasm.k_14.d_na.M_zeros	escherichia_coli.k32	prophasm	14	na	zeros	55.24	0.23	54.95	99%	1101492	0	0	55.248689
escherichia_coli.k32.S_eulertigs.k_15.d_na.M_default	escherichia_coli.k32	eulertigs	15	na	default	10.33	0.87	16.22	165%	939032	0	0	10.566798
escherichia_coli.k32.S_eulertigs.k_15.d_na.M_ones	escherichia_coli.k32	eulertigs	15	na	ones	93.37	0.42	92.85	99%	1101496	0	0	93.376959
escherichia_coli.k32.S_eulertigs.k_15.d_na.M_runs	escherichia_coli.k32	eulertigs	15	na	runs	41835.52	25.63	41750.10	99%	13044172	454632	0	41835.526052
escherichia_coli.k32.S_eulertigs.k_15.d_na.M_runsapprox	escherichia_coli.k32	eulertigs	15	na	runsapprox	250.16	3.31	246.57	99%	10566980	0	0	250.17184
escherichia_coli.k32.S_eulertigs.k_15.d_na.M_zeros	escherichia_coli.k32	eulertigs	15	na	zeros	108.75	0.51	108.13	99%	1101496	0	0	108.762433
escherichia_coli.k32.S_greedytigs.k_15.d_na.M_default	escherichia_coli.k32	greedytigs	15	na	default	2.00	0.33	2.12	123%	395940	0	0	2.156071
escherichia_coli.k32.S_greedytigs.k_15.d_na.M_ones	escherichia_coli.k32	greedytigs	15	na	ones	59.31	0.33	58.90	99%	1101492	0	0	59.314872
escherichia_coli.k32.S_greedytigs.k_15.d_na.M_runs	escherichia_coli.k32	greedytigs	15	na	runs	169.47	2.97	166.25	99%	10270700	0	0	169.483188
escherichia_coli.k32.S_greedytigs.k_15.d_na.M_runsapprox	escherichia_coli.k32	greedytigs	15	na	runsapprox	167.51	2.95	164.33	99%	10270544	0	0	167.518344
escherichia_coli.k32.S_greedytigs.k_15.d_na.M_zeros	escherichia_coli.k32	greedytigs	15	na	zeros	64.01	0.33	63.62	99%	1101492	0	0	64.015142
escherichia_coli.k32.S_prophasm.k_15.d_na.M_default	escherichia_coli.k32	prophasm	15	na	default	10.14	0.96	15.87	165%	936108	0	0	10.397986
escherichia_coli.k32.S_prophasm.k_15.d_na.M_ones	escherichia_coli.k32	prophasm	15	na	ones	103.04	0.44	102.51	99%	1101476	0	0	103.053391
escherichia_coli.k32.S_prophasm.k_15.d_na.M_runs	escherichia_coli.k32	prophasm	15	na	runs	63903.36	19.03	63809.70	99%	13209120	432816	0	63903.371096
escherichia_coli.k32.S_prophasm.k_15.d_na.M_runsapprox	escherichia_coli.k32	prophasm	15	na	runsapprox	243.36	3.46	239.56	99%	10575588	0	0	243.371651
escherichia_coli.k32.S_prophasm.k_15.d_na.M_zeros	escherichia_coli.k32	prophasm	15	na	zeros	98.79	0.33	98.36	99%	1101492	0	0	98.796389
escherichia_coli.k32.S_eulertigs.k_16.d_na.M_default	escherichia_coli.k32	eulertigs	16	na	default	8.18	0.95	13.61	178%	796864	0	0	8.437497
escherichia_coli.k32.S_eulertigs.k_16.d_na.M_ones	escherichia_coli.k32	eulertigs	16	na	ones	88.23	0.44	87.71	99%	2199252	0	0	88.242608
escherichia_coli.k32.S_eulertigs.k_16.d_na.M_runs	escherichia_coli.k32	eulertigs	16	na	runs	2450.64	6.00	2441.25	99%	14827376	0	0	2450.653144
escherichia_coli.k32.S_eulertigs.k_16.d_na.M_runsapprox	escherichia_coli.k32	eulertigs	16	na	runsapprox	197.66	3.34	194.13	99%	14178808	0	0	197.673446
