genome	S_alg	k	d	M_alg	M_compr_alg	kmer_count	l	o	z	r	tigs_ns	tigs_cl	enc0_xz_bytes	S_xz_bytes	M_compr_bytes	enc1_compr_bytes	enc2_xz_bytes	pref
escherichia_coli.k32	eulertigs	7	na	runsapprox	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	eulertigs	7	na	runsapprox	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_runsapprox.C_xz
escherichia_coli.k32	eulertigs	7	na	zeros	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_zeros.C_EliasFano
escherichia_coli.k32	eulertigs	7	na	zeros	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_zeros.C_bzip
escherichia_coli.k32	eulertigs	7	na	zeros	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_zeros.C_rrr
escherichia_coli.k32	eulertigs	7	na	zeros	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_eulertigs.k_7.d_na.M_zeros.C_xz
escherichia_coli.k32	greedytigs	7	na	default	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_default.C_EliasFano
escherichia_coli.k32	greedytigs	7	na	default	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_default.C_bzip
escherichia_coli.k32	greedytigs	7	na	default	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_default.C_rrr
escherichia_coli.k32	greedytigs	7	na	default	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_default.C_xz
escherichia_coli.k32	greedytigs	7	na	ones	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_ones.C_EliasFano
escherichia_coli.k32	greedytigs	7	na	ones	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_ones.C_bzip
escherichia_coli.k32	greedytigs	7	na	ones	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_ones.C_rrr
escherichia_coli.k32	greedytigs	7	na	ones	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_ones.C_xz
escherichia_coli.k32	greedytigs	7	na	runs	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runs.C_EliasFano
escherichia_coli.k32	greedytigs	7	na	runs	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runs.C_bzip
escherichia_coli.k32	greedytigs	7	na	runs	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runs.C_rrr
escherichia_coli.k32	greedytigs	7	na	runs	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runs.C_xz
escherichia_coli.k32	greedytigs	7	na	runsapprox	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	greedytigs	7	na	runsapprox	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	greedytigs	7	na	runsapprox	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	greedytigs	7	na	runsapprox	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_runsapprox.C_xz
escherichia_coli.k32	greedytigs	7	na	zeros	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_zeros.C_EliasFano
escherichia_coli.k32	greedytigs	7	na	zeros	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_zeros.C_bzip
escherichia_coli.k32	greedytigs	7	na	zeros	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_zeros.C_rrr
escherichia_coli.k32	greedytigs	7	na	zeros	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_greedytigs.k_7.d_na.M_zeros.C_xz
escherichia_coli.k32	matchtigs	7	na	default	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_default.C_EliasFano
escherichia_coli.k32	matchtigs	7	na	default	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_default.C_bzip
escherichia_coli.k32	matchtigs	7	na	default	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_default.C_rrr
escherichia_coli.k32	matchtigs	7	na	default	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_default.C_xz
escherichia_coli.k32	matchtigs	7	na	ones	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_ones.C_EliasFano
escherichia_coli.k32	matchtigs	7	na	ones	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_ones.C_bzip
escherichia_coli.k32	matchtigs	7	na	ones	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_ones.C_rrr
escherichia_coli.k32	matchtigs	7	na	ones	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_ones.C_xz
escherichia_coli.k32	matchtigs	7	na	runs	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runs.C_EliasFano
escherichia_coli.k32	matchtigs	7	na	runs	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runs.C_bzip
escherichia_coli.k32	matchtigs	7	na	runs	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runs.C_rrr
escherichia_coli.k32	matchtigs	7	na	runs	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runs.C_xz
escherichia_coli.k32	matchtigs	7	na	runsapprox	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	matchtigs	7	na	runsapprox	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	matchtigs	7	na	runsapprox	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	matchtigs	7	na	runsapprox	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_runsapprox.C_xz
escherichia_coli.k32	matchtigs	7	na	zeros	EliasFano	8192	8198	8192	6	1	1	8198	2596	2596	8	2604	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_zeros.C_EliasFano
escherichia_coli.k32	matchtigs	7	na	zeros	bzip	8192	8198	8192	6	1	1	8198	2596	2596	52	2648	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_zeros.C_bzip
escherichia_coli.k32	matchtigs	7	na	zeros	rrr	8192	8198	8192	6	1	1	8198	2596	2596	139	2735	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_zeros.C_rrr
escherichia_coli.k32	matchtigs	7	na	zeros	xz	8192	8198	8192	6	1	1	8198	2596	2596	116	2712	2596	escherichia_coli.k32.S_matchtigs.k_7.d_na.M_zeros.C_xz
escherichia_coli.k32	prophasm	7	na	default	EliasFano	8192	8660	8192	468	78	78	8660	1592	1612	152	1764	1772	escherichia_coli.k32.S_prophasm.k_7.d_na.M_default.C_EliasFano
escherichia_coli.k32	prophasm	7	na	default	bzip	8192	8660	8192	468	78	78	8660	1592	1612	146	1758	1772	escherichia_coli.k32.S_prophasm.k_7.d_na.M_default.C_bzip
escherichia_coli.k32	prophasm	7	na	default	rrr	8192	8660	8192	468	78	78	8660	1592	1612	339	1951	1772	escherichia_coli.k32.S_prophasm.k_7.d_na.M_default.C_rrr
escherichia_coli.k32	prophasm	7	na	default	xz	8192	8660	8192	468	78	78	8660	1592	1612	232	1844	1772	escherichia_coli.k32.S_prophasm.k_7.d_na.M_default.C_xz
escherichia_coli.k32	prophasm	7	na	ones	EliasFano	8192	8660	8654	6	1	78	8660	1592	1612	8	1620	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_ones.C_EliasFano
escherichia_coli.k32	prophasm	7	na	ones	bzip	8192	8660	8654	6	1	78	8660	1592	1612	50	1662	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_ones.C_bzip
escherichia_coli.k32	prophasm	7	na	ones	rrr	8192	8660	8654	6	1	78	8660	1592	1612	131	1743	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_ones.C_rrr
escherichia_coli.k32	prophasm	7	na	ones	xz	8192	8660	8654	6	1	78	8660	1592	1612	116	1728	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_ones.C_xz
escherichia_coli.k32	prophasm	7	na	runs	EliasFano	8192	8660	8654	6	1	78	8660	1592	1612	8	1620	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_runs.C_EliasFano
escherichia_coli.k32	prophasm	7	na	runs	bzip	8192	8660	8654	6	1	78	8660	1592	1612	50	1662	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_runs.C_bzip
escherichia_coli.k32	prophasm	7	na	runs	rrr	8192	8660	8654	6	1	78	8660	1592	1612	131	1743	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_runs.C_rrr
escherichia_coli.k32	prophasm	7	na	runs	xz	8192	8660	8654	6	1	78	8660	1592	1612	116	1728	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_runs.C_xz
escherichia_coli.k32	prophasm	7	na	runsapprox	EliasFano	8192	8660	8654	6	1	78	8660	1592	1612	8	1620	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	prophasm	7	na	runsapprox	bzip	8192	8660	8654	6	1	78	8660	1592	1612	50	1662	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	prophasm	7	na	runsapprox	rrr	8192	8660	8654	6	1	78	8660	1592	1612	131	1743	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	prophasm	7	na	runsapprox	xz	8192	8660	8654	6	1	78	8660	1592	1612	116	1728	1616	escherichia_coli.k32.S_prophasm.k_7.d_na.M_runsapprox.C_xz
escherichia_coli.k32	prophasm	7	na	zeros	EliasFano	8192	8660	8192	468	145	78	8660	1592	1612	256	1868	1856	escherichia_coli.k32.S_prophasm.k_7.d_na.M_zeros.C_EliasFano
escherichia_coli.k32	prophasm	7	na	zeros	bzip	8192	8660	8192	468	145	78	8660	1592	1612	294	1906	1856	escherichia_coli.k32.S_prophasm.k_7.d_na.M_zeros.C_bzip
escherichia_coli.k32	prophasm	7	na	zeros	rrr	8192	8660	8192	468	145	78	8660	1592	1612	339	1951	1856	escherichia_coli.k32.S_prophasm.k_7.d_na.M_zeros.C_rrr
escherichia_coli.k32	prophasm	7	na	zeros	xz	8192	8660	8192	468	145	78	8660	1592	1612	368	1980	1856	escherichia_coli.k32.S_prophasm.k_7.d_na.M_zeros.C_xz
escherichia_coli.k32	eulertigs	8	na	default	EliasFano	32896	33778	32896	882	126	126	33778	10044	9860	288	10148	10156	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_default.C_EliasFano
escherichia_coli.k32	eulertigs	8	na	default	bzip	32896	33778	32896	882	126	126	33778	10044	9860	217	10077	10156	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_default.C_bzip
escherichia_coli.k32	eulertigs	8	na	default	rrr	32896	33778	32896	882	126	126	33778	10044	9860	699	10559	10156	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_default.C_rrr
escherichia_coli.k32	eulertigs	8	na	default	xz	32896	33778	32896	882	126	126	33778	10044	9860	348	10208	10156	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_default.C_xz
escherichia_coli.k32	eulertigs	8	na	ones	EliasFano	32896	33778	33771	7	1	126	33778	10044	9860	8	9868	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_ones.C_EliasFano
escherichia_coli.k32	eulertigs	8	na	ones	bzip	32896	33778	33771	7	1	126	33778	10044	9860	51	9911	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_ones.C_bzip
escherichia_coli.k32	eulertigs	8	na	ones	rrr	32896	33778	33771	7	1	126	33778	10044	9860	251	10111	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_ones.C_rrr
escherichia_coli.k32	eulertigs	8	na	ones	xz	32896	33778	33771	7	1	126	33778	10044	9860	144	10004	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_ones.C_xz
escherichia_coli.k32	eulertigs	8	na	runs	EliasFano	32896	33778	33771	7	1	126	33778	10044	9860	8	9868	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_runs.C_EliasFano
escherichia_coli.k32	eulertigs	8	na	runs	bzip	32896	33778	33771	7	1	126	33778	10044	9860	51	9911	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_runs.C_bzip
escherichia_coli.k32	eulertigs	8	na	runs	rrr	32896	33778	33771	7	1	126	33778	10044	9860	251	10111	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_runs.C_rrr
escherichia_coli.k32	eulertigs	8	na	runs	xz	32896	33778	33771	7	1	126	33778	10044	9860	144	10004	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_runs.C_xz
escherichia_coli.k32	eulertigs	8	na	runsapprox	EliasFano	32896	33778	33771	7	1	126	33778	10044	9860	8	9868	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	eulertigs	8	na	runsapprox	bzip	32896	33778	33771	7	1	126	33778	10044	9860	51	9911	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	eulertigs	8	na	runsapprox	rrr	32896	33778	33771	7	1	126	33778	10044	9860	251	10111	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	eulertigs	8	na	runsapprox	xz	32896	33778	33771	7	1	126	33778	10044	9860	144	10004	9868	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_runsapprox.C_xz
escherichia_coli.k32	eulertigs	8	na	zeros	EliasFano	32896	33778	32896	882	653	126	33778	10044	9860	1088	10948	10804	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_zeros.C_EliasFano
escherichia_coli.k32	eulertigs	8	na	zeros	bzip	32896	33778	32896	882	653	126	33778	10044	9860	1002	10862	10804	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_zeros.C_bzip
escherichia_coli.k32	eulertigs	8	na	zeros	rrr	32896	33778	32896	882	653	126	33778	10044	9860	931	10791	10804	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_zeros.C_rrr
escherichia_coli.k32	eulertigs	8	na	zeros	xz	32896	33778	32896	882	653	126	33778	10044	9860	1256	11116	10804	escherichia_coli.k32.S_eulertigs.k_8.d_na.M_zeros.C_xz
escherichia_coli.k32	greedytigs	8	na	default	EliasFano	32896	33265	33258	7	1	1	33265	9640	9640	8	9648	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_default.C_EliasFano
escherichia_coli.k32	greedytigs	8	na	default	bzip	32896	33265	33258	7	1	1	33265	9640	9640	51	9691	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_default.C_bzip
escherichia_coli.k32	greedytigs	8	na	default	rrr	32896	33265	33258	7	1	1	33265	9640	9640	251	9891	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_default.C_rrr
escherichia_coli.k32	greedytigs	8	na	default	xz	32896	33265	33258	7	1	1	33265	9640	9640	144	9784	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_default.C_xz
escherichia_coli.k32	greedytigs	8	na	ones	EliasFano	32896	33265	33258	7	1	1	33265	9640	9640	8	9648	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_ones.C_EliasFano
escherichia_coli.k32	greedytigs	8	na	ones	bzip	32896	33265	33258	7	1	1	33265	9640	9640	51	9691	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_ones.C_bzip
escherichia_coli.k32	greedytigs	8	na	ones	rrr	32896	33265	33258	7	1	1	33265	9640	9640	251	9891	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_ones.C_rrr
escherichia_coli.k32	greedytigs	8	na	ones	xz	32896	33265	33258	7	1	1	33265	9640	9640	144	9784	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_ones.C_xz
escherichia_coli.k32	greedytigs	8	na	runs	EliasFano	32896	33265	33258	7	1	1	33265	9640	9640	8	9648	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_runs.C_EliasFano
escherichia_coli.k32	greedytigs	8	na	runs	bzip	32896	33265	33258	7	1	1	33265	9640	9640	51	9691	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_runs.C_bzip
escherichia_coli.k32	greedytigs	8	na	runs	rrr	32896	33265	33258	7	1	1	33265	9640	9640	251	9891	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_runs.C_rrr
escherichia_coli.k32	greedytigs	8	na	runs	xz	32896	33265	33258	7	1	1	33265	9640	9640	144	9784	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_runs.C_xz
escherichia_coli.k32	greedytigs	8	na	runsapprox	EliasFano	32896	33265	33258	7	1	1	33265	9640	9640	8	9648	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	greedytigs	8	na	runsapprox	bzip	32896	33265	33258	7	1	1	33265	9640	9640	51	9691	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	greedytigs	8	na	runsapprox	rrr	32896	33265	33258	7	1	1	33265	9640	9640	251	9891	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	greedytigs	8	na	runsapprox	xz	32896	33265	33258	7	1	1	33265	9640	9640	144	9784	9644	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_runsapprox.C_xz
escherichia_coli.k32	greedytigs	8	na	zeros	EliasFano	32896	33265	32896	369	190	1	33265	9640	9640	400	10040	9932	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_zeros.C_EliasFano
escherichia_coli.k32	greedytigs	8	na	zeros	bzip	32896	33265	32896	369	190	1	33265	9640	9640	383	10023	9932	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_zeros.C_bzip
escherichia_coli.k32	greedytigs	8	na	zeros	rrr	32896	33265	32896	369	190	1	33265	9640	9640	491	10131	9932	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_zeros.C_rrr
escherichia_coli.k32	greedytigs	8	na	zeros	xz	32896	33265	32896	369	190	1	33265	9640	9640	552	10192	9932	escherichia_coli.k32.S_greedytigs.k_8.d_na.M_zeros.C_xz
escherichia_coli.k32	matchtigs	8	na	default	EliasFano	32896	33264	33257	7	1	1	33264	9500	9500	8	9508	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_default.C_EliasFano
escherichia_coli.k32	matchtigs	8	na	default	bzip	32896	33264	33257	7	1	1	33264	9500	9500	51	9551	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_default.C_bzip
escherichia_coli.k32	matchtigs	8	na	default	rrr	32896	33264	33257	7	1	1	33264	9500	9500	251	9751	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_default.C_rrr
escherichia_coli.k32	matchtigs	8	na	default	xz	32896	33264	33257	7	1	1	33264	9500	9500	144	9644	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_default.C_xz
escherichia_coli.k32	matchtigs	8	na	ones	EliasFano	32896	33264	33257	7	1	1	33264	9500	9500	8	9508	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_ones.C_EliasFano
escherichia_coli.k32	matchtigs	8	na	ones	bzip	32896	33264	33257	7	1	1	33264	9500	9500	51	9551	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_ones.C_bzip
escherichia_coli.k32	matchtigs	8	na	ones	rrr	32896	33264	33257	7	1	1	33264	9500	9500	251	9751	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_ones.C_rrr
escherichia_coli.k32	matchtigs	8	na	ones	xz	32896	33264	33257	7	1	1	33264	9500	9500	144	9644	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_ones.C_xz
escherichia_coli.k32	matchtigs	8	na	runs	EliasFano	32896	33264	33257	7	1	1	33264	9500	9500	8	9508	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_runs.C_EliasFano
escherichia_coli.k32	matchtigs	8	na	runs	bzip	32896	33264	33257	7	1	1	33264	9500	9500	51	9551	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_runs.C_bzip
escherichia_coli.k32	matchtigs	8	na	runs	rrr	32896	33264	33257	7	1	1	33264	9500	9500	251	9751	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_runs.C_rrr
escherichia_coli.k32	matchtigs	8	na	runs	xz	32896	33264	33257	7	1	1	33264	9500	9500	144	9644	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_runs.C_xz
escherichia_coli.k32	matchtigs	8	na	runsapprox	EliasFano	32896	33264	33257	7	1	1	33264	9500	9500	8	9508	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	matchtigs	8	na	runsapprox	bzip	32896	33264	33257	7	1	1	33264	9500	9500	51	9551	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	matchtigs	8	na	runsapprox	rrr	32896	33264	33257	7	1	1	33264	9500	9500	251	9751	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	matchtigs	8	na	runsapprox	xz	32896	33264	33257	7	1	1	33264	9500	9500	144	9644	9504	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_runsapprox.C_xz
escherichia_coli.k32	matchtigs	8	na	zeros	EliasFano	32896	33264	32896	368	208	1	33264	9500	9500	432	9932	9884	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_zeros.C_EliasFano
escherichia_coli.k32	matchtigs	8	na	zeros	bzip	32896	33264	32896	368	208	1	33264	9500	9500	411	9911	9884	escherichia_coli.k32.S_matchtigs.k_8.d_na.M_zeros.C_bzip
