genome	k	S_alg	algorithm	camel_DS	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	tigs_ns	tigs_cl	enc0_xz_bytes	camel_mem_bytes	camel_real_s	camel_usr_s	camel_sys_s	pref0	pref
E. coli pangenome	9	local	local	na	5	default	131072	135235	131072	4163	3131	15044	3564	18608	20000	na	na	na	902740000	58.25	47.47	0.88	escherichia_coli.k32.S_local.k_9.d_5	escherichia_coli.k32.S_local.k_9.d_5.M_default
E. coli pangenome	9	local	local	na	5	ones	131072	135235	135227	8	1	15044	156	15200	15052	na	na	na	902740000	58.25	47.47	0.88	escherichia_coli.k32.S_local.k_9.d_5	escherichia_coli.k32.S_local.k_9.d_5.M_ones
E. coli pangenome	9	local	local	na	5	runs	131072	135235	135227	8	1	15044	156	15200	15052	na	na	na	902740000	58.25	47.47	0.88	escherichia_coli.k32.S_local.k_9.d_5	escherichia_coli.k32.S_local.k_9.d_5.M_runs
E. coli pangenome	9	matchtigs	matchtigs	na	na	default	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_9.d_na	escherichia_coli.k32.S_matchtigs.k_9.d_na.M_default
E. coli pangenome	9	matchtigs	matchtigs	na	na	ones	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_9.d_na	escherichia_coli.k32.S_matchtigs.k_9.d_na.M_ones
E. coli pangenome	9	matchtigs	matchtigs	na	na	runs	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_9.d_na	escherichia_coli.k32.S_matchtigs.k_9.d_na.M_runs
E. coli pangenome	9	matchtigs	matchtigs	na	na	zeros	131072	131080	131072	8	1	36328	156	36484	36328	1	131080	36328	na	na	na	na	escherichia_coli.k32.S_matchtigs.k_9.d_na	escherichia_coli.k32.S_matchtigs.k_9.d_na.M_zeros
E. coli pangenome	9	prophasm	prophasm	na	na	default	131072	136872	131072	5800	725	12272	1176	13448	14784	725	136872	12884	na	na	na	na	escherichia_coli.k32.S_prophasm.k_9.d_na	escherichia_coli.k32.S_prophasm.k_9.d_na.M_default
E. coli pangenome	9	prophasm	prophasm	na	na	ones	131072	136872	136864	8	1	12272	156	12428	12280	725	136872	12884	na	na	na	na	escherichia_coli.k32.S_prophasm.k_9.d_na	escherichia_coli.k32.S_prophasm.k_9.d_na.M_ones
E. coli pangenome	9	prophasm	prophasm	na	na	runs	131072	136872	136864	8	1	12272	156	12428	12280	725	136872	12884	na	na	na	na	escherichia_coli.k32.S_prophasm.k_9.d_na	escherichia_coli.k32.S_prophasm.k_9.d_na.M_runs
E. coli pangenome	9	prophasm	prophasm	na	na	zeros	131072	136872	131072	5800	1273	12272	2320	14592	15516	725	136872	12884	na	na	na	na	escherichia_coli.k32.S_prophasm.k_9.d_na	escherichia_coli.k32.S_prophasm.k_9.d_na.M_zeros
E. coli pangenome	10	eulertigs	eulertigs	na	na	default	524800	529390	524800	4590	510	142652	1256	143908	144000	510	529390	143920	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_10.d_na	escherichia_coli.k32.S_eulertigs.k_10.d_na.M_default
E. coli pangenome	10	eulertigs	eulertigs	na	na	ones	524800	529390	529381	9	1	142652	212	142864	142660	510	529390	143920	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_10.d_na	escherichia_coli.k32.S_eulertigs.k_10.d_na.M_ones
E. coli pangenome	10	eulertigs	eulertigs	na	na	runs	524800	529390	529381	9	1	142652	212	142864	142660	510	529390	143920	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_10.d_na	escherichia_coli.k32.S_eulertigs.k_10.d_na.M_runs
E. coli pangenome	10	eulertigs	eulertigs	na	na	zeros	524800	529390	524800	4590	1840	142652	4792	147444	145980	510	529390	143920	na	na	na	na	escherichia_coli.k32.S_eulertigs.k_10.d_na	escherichia_coli.k32.S_eulertigs.k_10.d_na.M_zeros
E. coli pangenome	10	greedy	glob-greedy	HT	na	default	524800	526849	524800	2049	514	145548	1876	147424	145860	na	na	na	37228000	42.16	41.37	0.35	escherichia_coli.k32.S_greedy.k_10.d_na	escherichia_coli.k32.S_greedy.k_10.d_na.M_default
E. coli pangenome	10	greedy	glob-greedy	HT	na	ones	524800	526849	526840	9	1	145548	212	145760	145552	na	na	na	37228000	42.16	41.37	0.35	escherichia_coli.k32.S_greedy.k_10.d_na	escherichia_coli.k32.S_greedy.k_10.d_na.M_ones
E. coli pangenome	10	greedy	glob-greedy	HT	na	runs	524800	526849	526840	9	1	145548	212	145760	145552	na	na	na	37228000	42.16	41.37	0.35	escherichia_coli.k32.S_greedy.k_10.d_na	escherichia_coli.k32.S_greedy.k_10.d_na.M_runs
E. coli pangenome	10	greedytigs	greedytigs	na	na	default	524800	526953	526944	9	1	140440	212	140652	140448	1	526953	140444	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_10.d_na	escherichia_coli.k32.S_greedytigs.k_10.d_na.M_default
E. coli pangenome	10	greedytigs	greedytigs	na	na	ones	524800	526953	526944	9	1	140440	212	140652	140448	1	526953	140444	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_10.d_na	escherichia_coli.k32.S_greedytigs.k_10.d_na.M_ones
E. coli pangenome	10	greedytigs	greedytigs	na	na	runs	524800	526953	526944	9	1	140440	212	140652	140448	1	526953	140444	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_10.d_na	escherichia_coli.k32.S_greedytigs.k_10.d_na.M_runs
E. coli pangenome	10	greedytigs	greedytigs	na	na	zeros	524800	526953	524800	2153	1606	140440	4864	145304	143904	1	526953	140444	na	na	na	na	escherichia_coli.k32.S_greedytigs.k_10.d_na	escherichia_coli.k32.S_greedytigs.k_10.d_na.M_zeros
E. coli pangenome	10	local	local	na	1	default	524800	546688	524800	21888	2432	44876	3280	48156	52756	na	na	na	1007580000	117.69	105.71	0.88	escherichia_coli.k32.S_local.k_10.d_1	escherichia_coli.k32.S_local.k_10.d_1.M_default
E. coli pangenome	10	local	local	na	1	ones	524800	546688	546679	9	1	44876	216	45092	44884	na	na	na	1007580000	117.69	105.71	0.88	escherichia_coli.k32.S_local.k_10.d_1	escherichia_coli.k32.S_local.k_10.d_1.M_ones
E. coli pangenome	10	local	local	na	1	runs	524800	546688	546679	9	1	44876	216	45092	44884	na	na	na	1007580000	117.69	105.71	0.88	escherichia_coli.k32.S_local.k_10.d_1	escherichia_coli.k32.S_local.k_10.d_1.M_runs
E. coli pangenome	10	local	local	na	2	default	524800	539442	524800	14642	3482	42028	5072	47100	49452	na	na	na	1007456000	117.06	104.9	1.03	escherichia_coli.k32.S_local.k_10.d_2	escherichia_coli.k32.S_local.k_10.d_2.M_default
E. coli pangenome	10	local	local	na	2	ones	524800	539442	539433	9	1	42028	212	42240	42036	na	na	na	1007456000	117.06	104.9	1.03	escherichia_coli.k32.S_local.k_10.d_2	escherichia_coli.k32.S_local.k_10.d_2.M_ones
E. coli pangenome	10	local	local	na	2	runs	524800	539442	539433	9	1	42028	212	42240	42036	na	na	na	1007456000	117.06	104.9	1.03	escherichia_coli.k32.S_local.k_10.d_2	escherichia_coli.k32.S_local.k_10.d_2.M_runs
E. coli pangenome	10	local	local	na	3	default	524800	538002	524800	13202	6601	50404	8964	59368	62464	na	na	na	1007484000	118.17	106.06	0.96	escherichia_coli.k32.S_local.k_10.d_3	escherichia_coli.k32.S_local.k_10.d_3.M_default
E. coli pangenome	10	local	local	na	3	ones	524800	538002	537993	9	1	50404	212	50616	50412	na	na	na	1007484000	118.17	106.06	0.96	escherichia_coli.k32.S_local.k_10.d_3	escherichia_coli.k32.S_local.k_10.d_3.M_ones
E. coli pangenome	10	local	local	na	3	runs	524800	538002	537993	9	1	50404	212	50616	50412	na	na	na	1007484000	118.17	106.06	0.96	escherichia_coli.k32.S_local.k_10.d_3	escherichia_coli.k32.S_local.k_10.d_3.M_runs
E. coli pangenome	10	local	local	na	4	default	524800	539438	524800	14638	9305	51312	11032	62344	65520	na	na	na	1007396000	119.64	107.12	0.96	escherichia_coli.k32.S_local.k_10.d_4	escherichia_coli.k32.S_local.k_10.d_4.M_default
E. coli pangenome	10	local	local	na	4	ones	524800	539438	539429	9	1	51312	212	51524	51316	na	na	na	1007396000	119.64	107.12	0.96	escherichia_coli.k32.S_local.k_10.d_4	escherichia_coli.k32.S_local.k_10.d_4.M_ones
E. coli pangenome	10	local	local	na	4	runs	524800	539438	539429	9	1	51312	212	51524	51316	na	na	na	1007396000	119.64	107.12	0.96	escherichia_coli.k32.S_local.k_10.d_4	escherichia_coli.k32.S_local.k_10.d_4.M_runs
E. coli pangenome	10	local	local	na	5	default	524800	537723	524800	12923	8474	51036	10696	61732	64192	na	na	na	1007464000	111.54	100.45	0.94	escherichia_coli.k32.S_local.k_10.d_5	escherichia_coli.k32.S_local.k_10.d_5.M_default
E. coli pangenome	10	local	local	na	5	ones	524800	537723	537714	9	1	51036	212	51248	51044	na	na	na	1007464000	111.54	100.45	0.94	escherichia_coli.k32.S_local.k_10.d_5	escherichia_coli.k32.S_local.k_10.d_5.M_ones
