genome	rate	S_alg	k	d	M_alg	M_compr_alg	kmer_count	l	o	z	r	S_xz_bytes	M_compr_bytes	enc1_compr_bytes	enc2_xz_bytes	pref
escherichia_coli.k32	0.0001	global	9	na	ones	xz	13	98	13	85	13	128	88	216	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_ones.C_xz
escherichia_coli.k32	0.0001	global	9	na	runs	EliasFano	13	98	13	85	13	128	16	144	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_runs.C_EliasFano
escherichia_coli.k32	0.0001	global	9	na	runs	bzip	13	98	13	85	13	128	50	178	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_runs.C_bzip
escherichia_coli.k32	0.0001	global	9	na	runs	rrr	13	98	13	85	13	128	99	227	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_runs.C_rrr
escherichia_coli.k32	0.0001	global	9	na	runs	xz	13	98	13	85	13	128	88	216	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_runs.C_xz
escherichia_coli.k32	0.0001	global	9	na	runsapprox	EliasFano	13	98	13	85	13	128	16	144	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	0.0001	global	9	na	runsapprox	bzip	13	98	13	85	13	128	50	178	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.0001	global	9	na	runsapprox	rrr	13	98	13	85	13	128	99	227	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	0.0001	global	9	na	runsapprox	xz	13	98	13	85	13	128	88	216	140	escherichia_coli.k32.r_0.0001.S_global.k_9.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.001	global	9	na	default	EliasFano	131	709	131	578	130	376	96	472	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_default.C_EliasFano
escherichia_coli.k32	0.001	global	9	na	default	bzip	131	709	131	578	130	376	104	480	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_default.C_bzip
escherichia_coli.k32	0.001	global	9	na	default	rrr	131	709	131	578	130	376	147	523	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_default.C_rrr
escherichia_coli.k32	0.001	global	9	na	default	xz	131	709	131	578	130	376	168	544	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_default.C_xz
escherichia_coli.k32	0.001	global	9	na	ones	EliasFano	131	709	131	578	130	376	96	472	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_ones.C_EliasFano
escherichia_coli.k32	0.001	global	9	na	ones	bzip	131	709	131	578	130	376	104	480	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_ones.C_bzip
escherichia_coli.k32	0.001	global	9	na	ones	rrr	131	709	131	578	130	376	147	523	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_ones.C_rrr
escherichia_coli.k32	0.001	global	9	na	ones	xz	131	709	131	578	130	376	168	544	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_ones.C_xz
escherichia_coli.k32	0.001	global	9	na	runs	EliasFano	131	709	131	578	130	376	96	472	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_runs.C_EliasFano
escherichia_coli.k32	0.001	global	9	na	runs	bzip	131	709	131	578	130	376	104	480	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_runs.C_bzip
escherichia_coli.k32	0.001	global	9	na	runs	rrr	131	709	131	578	130	376	147	523	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_runs.C_rrr
escherichia_coli.k32	0.001	global	9	na	runs	xz	131	709	131	578	130	376	168	544	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_runs.C_xz
escherichia_coli.k32	0.001	global	9	na	runsapprox	EliasFano	131	709	131	578	130	376	96	472	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	0.001	global	9	na	runsapprox	bzip	131	709	131	578	130	376	104	480	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.001	global	9	na	runsapprox	rrr	131	709	131	578	130	376	147	523	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	0.001	global	9	na	runsapprox	xz	131	709	131	578	130	376	168	544	460	escherichia_coli.k32.r_0.001.S_global.k_9.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.01	global	9	na	default	EliasFano	1310	4946	1310	3636	1260	1700	640	2340	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_default.C_EliasFano
escherichia_coli.k32	0.01	global	9	na	default	bzip	1310	4946	1310	3636	1260	1700	616	2316	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_default.C_bzip
escherichia_coli.k32	0.01	global	9	na	default	rrr	1310	4946	1310	3636	1260	1700	611	2311	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_default.C_rrr
escherichia_coli.k32	0.01	global	9	na	default	xz	1310	4946	1310	3636	1260	1700	692	2392	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_default.C_xz
escherichia_coli.k32	0.01	global	9	na	ones	EliasFano	1310	4946	1311	3635	1260	1700	640	2340	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_ones.C_EliasFano
escherichia_coli.k32	0.01	global	9	na	ones	bzip	1310	4946	1311	3635	1260	1700	615	2315	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_ones.C_bzip
escherichia_coli.k32	0.01	global	9	na	ones	rrr	1310	4946	1311	3635	1260	1700	611	2311	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_ones.C_rrr
escherichia_coli.k32	0.01	global	9	na	ones	xz	1310	4946	1311	3635	1260	1700	692	2392	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_ones.C_xz
escherichia_coli.k32	0.01	global	9	na	runs	EliasFano	1310	4946	1311	3635	1260	1700	640	2340	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_runs.C_EliasFano
escherichia_coli.k32	0.01	global	9	na	runs	bzip	1310	4946	1311	3635	1260	1700	615	2315	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_runs.C_bzip
escherichia_coli.k32	0.01	global	9	na	runs	rrr	1310	4946	1311	3635	1260	1700	611	2311	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_runs.C_rrr
escherichia_coli.k32	0.01	global	9	na	runs	xz	1310	4946	1311	3635	1260	1700	692	2392	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_runs.C_xz
escherichia_coli.k32	0.01	global	9	na	runsapprox	EliasFano	1310	4946	1311	3635	1260	1700	640	2340	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	0.01	global	9	na	runsapprox	bzip	1310	4946	1311	3635	1260	1700	615	2315	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.01	global	9	na	runsapprox	rrr	1310	4946	1311	3635	1260	1700	611	2311	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	0.01	global	9	na	runsapprox	xz	1310	4946	1311	3635	1260	1700	692	2392	2196	escherichia_coli.k32.r_0.01.S_global.k_9.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.05	global	9	na	default	EliasFano	6553	17706	6553	11153	5395	5304	2320	7624	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_default.C_EliasFano
escherichia_coli.k32	0.05	global	9	na	default	bzip	6553	17706	6553	11153	5395	5304	2562	7866	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_default.C_bzip
escherichia_coli.k32	0.05	global	9	na	default	rrr	6553	17706	6553	11153	5395	5304	2227	7531	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_default.C_rrr
escherichia_coli.k32	0.05	global	9	na	default	xz	6553	17706	6553	11153	5395	5304	2452	7756	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_default.C_xz
escherichia_coli.k32	0.05	global	9	na	ones	EliasFano	6553	17706	6604	11102	5424	5304	2320	7624	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_ones.C_EliasFano
escherichia_coli.k32	0.05	global	9	na	ones	bzip	6553	17706	6604	11102	5424	5304	2568	7872	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_ones.C_bzip
escherichia_coli.k32	0.05	global	9	na	ones	rrr	6553	17706	6604	11102	5424	5304	2227	7531	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_ones.C_rrr
escherichia_coli.k32	0.05	global	9	na	ones	xz	6553	17706	6604	11102	5424	5304	2444	7748	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_ones.C_xz
escherichia_coli.k32	0.05	global	9	na	runs	EliasFano	6553	17706	6574	11132	5394	5304	2320	7624	7576	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_runs.C_EliasFano
escherichia_coli.k32	0.05	global	9	na	runs	bzip	6553	17706	6574	11132	5394	5304	2573	7877	7576	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_runs.C_bzip
escherichia_coli.k32	0.05	global	9	na	runs	rrr	6553	17706	6574	11132	5394	5304	2227	7531	7576	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_runs.C_rrr
escherichia_coli.k32	0.05	global	9	na	runs	xz	6553	17706	6574	11132	5394	5304	2452	7756	7576	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_runs.C_xz
escherichia_coli.k32	0.05	global	9	na	runsapprox	EliasFano	6553	17706	6604	11102	5424	5304	2320	7624	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	0.05	global	9	na	runsapprox	bzip	6553	17706	6604	11102	5424	5304	2568	7872	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.05	global	9	na	runsapprox	rrr	6553	17706	6604	11102	5424	5304	2227	7531	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	0.05	global	9	na	runsapprox	xz	6553	17706	6604	11102	5424	5304	2444	7748	7568	escherichia_coli.k32.r_0.05.S_global.k_9.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.1	global	9	na	default	EliasFano	13107	29673	13107	16566	9157	8640	3888	12528	12692	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_default.C_EliasFano
escherichia_coli.k32	0.1	global	9	na	default	bzip	13107	29673	13107	16566	9157	8640	4566	13206	12692	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_default.C_bzip
escherichia_coli.k32	0.1	global	9	na	default	rrr	13107	29673	13107	16566	9157	8640	3827	12467	12692	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_default.C_rrr
escherichia_coli.k32	0.1	global	9	na	default	xz	13107	29673	13107	16566	9157	8640	4292	12932	12692	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_default.C_xz
escherichia_coli.k32	0.1	global	9	na	ones	EliasFano	13107	29673	13386	16287	9274	8640	3888	12528	12684	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_ones.C_EliasFano
escherichia_coli.k32	0.1	global	9	na	ones	bzip	13107	29673	13386	16287	9274	8640	4545	13185	12684	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_ones.C_bzip
escherichia_coli.k32	0.1	global	9	na	ones	rrr	13107	29673	13386	16287	9274	8640	3835	12475	12684	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_ones.C_rrr
escherichia_coli.k32	0.1	global	9	na	ones	xz	13107	29673	13386	16287	9274	8640	4284	12924	12684	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_ones.C_xz
escherichia_coli.k32	0.1	global	9	na	runs	EliasFano	13107	29673	13248	16425	9144	8640	3888	12528	12704	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_runs.C_EliasFano
escherichia_coli.k32	0.1	global	9	na	runs	bzip	13107	29673	13248	16425	9144	8640	4569	13209	12704	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_runs.C_bzip
escherichia_coli.k32	0.1	global	9	na	runs	rrr	13107	29673	13248	16425	9144	8640	3827	12467	12704	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_runs.C_rrr
escherichia_coli.k32	0.1	global	9	na	runs	xz	13107	29673	13248	16425	9144	8640	4300	12940	12704	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_runs.C_xz
escherichia_coli.k32	0.1	global	9	na	runsapprox	EliasFano	13107	29673	13386	16287	9274	8640	3888	12528	12684	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	0.1	global	9	na	runsapprox	bzip	13107	29673	13386	16287	9274	8640	4545	13185	12684	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.1	global	9	na	runsapprox	rrr	13107	29673	13386	16287	9274	8640	3835	12475	12684	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	0.1	global	9	na	runsapprox	xz	13107	29673	13386	16287	9274	8640	4284	12924	12684	escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.2	global	9	na	default	EliasFano	26214	48689	26214	22475	13692	13936	6384	20320	20648	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_default.C_EliasFano
escherichia_coli.k32	0.2	global	9	na	default	bzip	26214	48689	26214	22475	13692	13936	7769	21705	20648	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_default.C_bzip
escherichia_coli.k32	0.2	global	9	na	default	rrr	26214	48689	26214	22475	13692	13936	6243	20179	20648	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_default.C_rrr
escherichia_coli.k32	0.2	global	9	na	default	xz	26214	48689	26214	22475	13692	13936	7060	20996	20648	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_default.C_xz
escherichia_coli.k32	0.2	global	9	na	ones	EliasFano	26214	48689	27367	21322	13911	13936	6384	20320	20536	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_ones.C_EliasFano
escherichia_coli.k32	0.2	global	9	na	ones	bzip	26214	48689	27367	21322	13911	13936	7647	21583	20536	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_ones.C_bzip
escherichia_coli.k32	0.2	global	9	na	ones	rrr	26214	48689	27367	21322	13911	13936	6203	20139	20536	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_ones.C_rrr
escherichia_coli.k32	0.2	global	9	na	ones	xz	26214	48689	27367	21322	13911	13936	7000	20936	20536	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_ones.C_xz
escherichia_coli.k32	0.2	global	9	na	runs	EliasFano	26214	48689	26984	21705	13554	13936	6384	20320	20592	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_runs.C_EliasFano
escherichia_coli.k32	0.2	global	9	na	runs	bzip	26214	48689	26984	21705	13554	13936	7720	21656	20592	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_runs.C_bzip
escherichia_coli.k32	0.2	global	9	na	runs	rrr	26214	48689	26984	21705	13554	13936	6219	20155	20592	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_runs.C_rrr
escherichia_coli.k32	0.2	global	9	na	runs	xz	26214	48689	26984	21705	13554	13936	7012	20948	20592	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_runs.C_xz
escherichia_coli.k32	0.2	global	9	na	runsapprox	EliasFano	26214	48689	27367	21322	13911	13936	6384	20320	20536	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	0.2	global	9	na	runsapprox	bzip	26214	48689	27367	21322	13911	13936	7647	21583	20536	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.2	global	9	na	runsapprox	rrr	26214	48689	27367	21322	13911	13936	6203	20139	20536	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	0.2	global	9	na	runsapprox	xz	26214	48689	27367	21322	13911	13936	7000	20936	20536	escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.3	global	9	na	default	EliasFano	39321	65110	39321	25789	16237	18520	8520	27040	27248	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_default.C_EliasFano
escherichia_coli.k32	0.3	global	9	na	default	bzip	39321	65110	39321	25789	16237	18520	10201	28721	27248	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_default.C_bzip
escherichia_coli.k32	0.3	global	9	na	default	rrr	39321	65110	39321	25789	16237	18520	8107	26627	27248	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_default.C_rrr
escherichia_coli.k32	0.3	global	9	na	default	xz	39321	65110	39321	25789	16237	18520	9228	27748	27248	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_default.C_xz
escherichia_coli.k32	0.3	global	9	na	ones	EliasFano	39321	65110	41794	23316	16342	18520	8520	27040	26968	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_ones.C_EliasFano
escherichia_coli.k32	0.3	global	9	na	ones	bzip	39321	65110	41794	23316	16342	18520	9851	28371	26968	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_ones.C_bzip
escherichia_coli.k32	0.3	global	9	na	ones	rrr	39321	65110	41794	23316	16342	18520	7891	26411	26968	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_ones.C_rrr
escherichia_coli.k32	0.3	global	9	na	ones	xz	39321	65110	41794	23316	16342	18520	8888	27408	26968	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_ones.C_xz
escherichia_coli.k32	0.3	global	9	na	runs	EliasFano	39321	65110	41147	23963	15765	18520	8520	27040	27120	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_runs.C_EliasFano
escherichia_coli.k32	0.3	global	9	na	runs	bzip	39321	65110	41147	23963	15765	18520	9979	28499	27120	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_runs.C_bzip
escherichia_coli.k32	0.3	global	9	na	runs	rrr	39321	65110	41147	23963	15765	18520	7955	26475	27120	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_runs.C_rrr
escherichia_coli.k32	0.3	global	9	na	runs	xz	39321	65110	41147	23963	15765	18520	9032	27552	27120	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_runs.C_xz
escherichia_coli.k32	0.3	global	9	na	runsapprox	EliasFano	39321	65110	41794	23316	16342	18520	8520	27040	26968	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	0.3	global	9	na	runsapprox	bzip	39321	65110	41794	23316	16342	18520	9851	28371	26968	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.3	global	9	na	runsapprox	rrr	39321	65110	41794	23316	16342	18520	7891	26411	26968	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	0.3	global	9	na	runsapprox	xz	39321	65110	41794	23316	16342	18520	8888	27408	26968	escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.4	global	9	na	default	EliasFano	52428	79765	52428	27337	17492	22600	10448	33048	32788	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_default.C_EliasFano
escherichia_coli.k32	0.4	global	9	na	default	bzip	52428	79765	52428	27337	17492	22600	11875	34475	32788	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_default.C_bzip
escherichia_coli.k32	0.4	global	9	na	default	rrr	52428	79765	52428	27337	17492	22600	9499	32099	32788	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_default.C_rrr
escherichia_coli.k32	0.4	global	9	na	default	xz	52428	79765	52428	27337	17492	22600	10824	33424	32788	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_default.C_xz
escherichia_coli.k32	0.4	global	9	na	ones	EliasFano	52428	79765	56606	23159	17145	22600	10448	33048	32324	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_ones.C_EliasFano
escherichia_coli.k32	0.4	global	9	na	ones	bzip	52428	79765	56606	23159	17145	22600	10988	33588	32324	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_ones.C_bzip
escherichia_coli.k32	0.4	global	9	na	ones	rrr	52428	79765	56606	23159	17145	22600	8931	31531	32324	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_ones.C_rrr
escherichia_coli.k32	0.4	global	9	na	ones	xz	52428	79765	56606	23159	17145	22600	10292	32892	32324	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_ones.C_xz
escherichia_coli.k32	0.4	global	9	na	runs	EliasFano	52428	79765	55838	23927	16486	22600	10440	33040	32436	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_runs.C_EliasFano
escherichia_coli.k32	0.4	global	9	na	runs	bzip	52428	79765	55838	23927	16486	22600	11146	33746	32436	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_runs.C_bzip
escherichia_coli.k32	0.4	global	9	na	runs	rrr	52428	79765	55838	23927	16486	22600	9051	31651	32436	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_runs.C_rrr
escherichia_coli.k32	0.4	global	9	na	runs	xz	52428	79765	55838	23927	16486	22600	10416	33016	32436	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_runs.C_xz
escherichia_coli.k32	0.4	global	9	na	runsapprox	EliasFano	52428	79765	56606	23159	17145	22600	10448	33048	32324	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_runsapprox.C_EliasFano
escherichia_coli.k32	0.4	global	9	na	runsapprox	bzip	52428	79765	56606	23159	17145	22600	10988	33588	32324	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.4	global	9	na	runsapprox	rrr	52428	79765	56606	23159	17145	22600	8931	31531	32324	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_runsapprox.C_rrr
escherichia_coli.k32	0.4	global	9	na	runsapprox	xz	52428	79765	56606	23159	17145	22600	10292	32892	32324	escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.5	global	9	na	default	EliasFano	65536	93007	65536	27471	17814	26248	12160	38408	37660	escherichia_coli.k32.r_0.5.S_global.k_9.d_na.M_default.C_EliasFano
escherichia_coli.k32	0.5	global	9	na	default	bzip	65536	93007	65536	27471	17814	26248	12839	39087	37660	escherichia_coli.k32.r_0.5.S_global.k_9.d_na.M_default.C_bzip
escherichia_coli.k32	0.5	global	9	na	default	rrr	65536	93007	65536	27471	17814	26248	10475	36723	37660	escherichia_coli.k32.r_0.5.S_global.k_9.d_na.M_default.C_rrr
