pref	genome	rate	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.1	global	9	na	runs	0.01	0.00	0.01	100%	5964	0	0	0.019289
escherichia_coli.k32.r_0.1.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.1	global	9	na	runsapprox	0.01	0.00	0.01	88%	5640	64	0	0.022161
escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.2	global	9	na	default	0.00	0.00	0.00	100%	1380	0	0	0.009141
escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.2	global	9	na	ones	0.01	0.00	0.01	64%	4712	0	0	0.020561
escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.2	global	9	na	runs	0.03	0.00	0.02	67%	7308	64	0	0.034047
escherichia_coli.k32.r_0.2.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.2	global	9	na	runsapprox	0.03	0.00	0.01	61%	7068	32	0	0.037247
escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.3	global	9	na	default	0.00	0.00	0.00	100%	1388	0	0	0.009895
escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.3	global	9	na	ones	0.02	0.00	0.01	58%	4712	32	0	0.026849
escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.3	global	9	na	runs	0.03	0.00	0.03	96%	8008	0	0	0.034778
escherichia_coli.k32.r_0.3.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.3	global	9	na	runsapprox	0.03	0.00	0.02	76%	8008	96	0	0.037942
escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.4	global	9	na	default	0.00	0.00	0.00	100%	1392	0	0	0.010503
escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.4	global	9	na	ones	0.02	0.00	0.00	57%	5224	160	0	0.031045
escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.4	global	9	na	runs	0.03	0.01	0.02	100%	10392	0	0	0.037643
escherichia_coli.k32.r_0.4.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.4	global	9	na	runsapprox	0.03	0.01	0.02	97%	10392	0	0	0.043331
escherichia_coli.k32.r_0.5.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.5	global	9	na	default	0.00	0.00	0.00	100%	1400	0	0	0.010069
escherichia_coli.k32.r_0.5.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.5	global	9	na	ones	0.02	0.00	0.01	78%	5224	88	0	0.026885
escherichia_coli.k32.r_0.5.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.5	global	9	na	runs	0.04	0.00	0.03	97%	11176	0	0	0.043617
escherichia_coli.k32.r_0.5.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.5	global	9	na	runsapprox	0.05	0.01	0.02	73%	11176	96	0	0.056597
escherichia_coli.k32.r_0.6.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.6	global	9	na	default	0.00	0.00	0.00	100%	1404	0	0	0.011002
escherichia_coli.k32.r_0.6.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.6	global	9	na	ones	0.04	0.00	0.01	52%	5224	32	0	0.046018
escherichia_coli.k32.r_0.6.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.6	global	9	na	runs	0.05	0.01	0.04	91%	12936	176	0	0.061554
escherichia_coli.k32.r_0.6.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.6	global	9	na	runsapprox	0.05	0.00	0.04	98%	12936	0	0	0.057887
escherichia_coli.k32.r_0.7.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.7	global	9	na	default	0.00	0.00	0.00	80%	1408	0	0	0.01081
escherichia_coli.k32.r_0.7.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.7	global	9	na	ones	0.03	0.00	0.01	57%	5224	200	0	0.038776
escherichia_coli.k32.r_0.7.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.7	global	9	na	runs	0.07	0.00	0.04	76%	13168	32	0	0.074465
escherichia_coli.k32.r_0.7.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.7	global	9	na	runsapprox	0.05	0.01	0.03	98%	13168	0	0	0.053936
escherichia_coli.k32.r_0.8.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.8	global	9	na	default	0.00	0.00	0.00	100%	1408	0	0	0.011375
escherichia_coli.k32.r_0.8.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.8	global	9	na	ones	0.03	0.00	0.02	75%	6248	216	0	0.036868
escherichia_coli.k32.r_0.8.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.8	global	9	na	runs	0.05	0.00	0.04	96%	17140	0	0	0.059082
escherichia_coli.k32.r_0.8.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.8	global	9	na	runsapprox	0.08	0.00	0.06	82%	16724	32	0	0.092574
escherichia_coli.k32.r_0.9.S_global.k_9.d_na.M_default	escherichia_coli.k32	0.9	global	9	na	default	0.00	0.00	0.00	100%	1408	0	0	0.009443
escherichia_coli.k32.r_0.9.S_global.k_9.d_na.M_ones	escherichia_coli.k32	0.9	global	9	na	ones	0.04	0.00	0.02	60%	6248	32	0	0.044099
escherichia_coli.k32.r_0.9.S_global.k_9.d_na.M_runs	escherichia_coli.k32	0.9	global	9	na	runs	0.11	0.01	0.08	83%	17648	192	0	0.119676
escherichia_coli.k32.r_0.9.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	0.9	global	9	na	runsapprox	0.09	0.00	0.06	75%	17648	32	0	0.101289
escherichia_coli.k32.r_1.0.S_global.k_9.d_na.M_default	escherichia_coli.k32	1.0	global	9	na	default	0.00	0.00	0.00	100%	1400	0	0	0.009736
escherichia_coli.k32.r_1.0.S_global.k_9.d_na.M_ones	escherichia_coli.k32	1.0	global	9	na	ones	0.04	0.00	0.02	54%	6248	264	0	0.050576
escherichia_coli.k32.r_1.0.S_global.k_9.d_na.M_runs	escherichia_coli.k32	1.0	global	9	na	runs	0.09	0.01	0.06	83%	18064	0	0	0.094528
escherichia_coli.k32.r_1.0.S_global.k_9.d_na.M_runsapprox	escherichia_coli.k32	1.0	global	9	na	runsapprox	0.05	0.01	0.04	98%	18064	0	0	0.061666
escherichia_coli.k32.r_0.000000001.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.000000001	local	9	1	default	0.00	0.00	0.00	100%	1332	0	0	0.00826
escherichia_coli.k32.r_0.000000001.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.000000001	local	9	1	ones	0.00	0.00	0.00	100%	4056	0	0	0.006462
escherichia_coli.k32.r_0.000000001.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.000000001	local	9	1	runsapprox	0.00	0.00	0.00	50%	4232	8	0	0.007068
escherichia_coli.k32.r_0.0001.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.0001	local	9	1	default	0.00	0.00	0.00	100%	1324	0	0	0.006901
escherichia_coli.k32.r_0.0001.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.0001	local	9	1	ones	0.01	0.00	0.00	17%	4056	8	0	0.019778
escherichia_coli.k32.r_0.0001.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.0001	local	9	1	runsapprox	0.00	0.00	0.00	66%	4236	0	0	0.005648
escherichia_coli.k32.r_0.001.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.001	local	9	1	default	0.00	0.00	0.00	100%	1328	0	0	0.006924
escherichia_coli.k32.r_0.001.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.001	local	9	1	ones	0.00	0.00	0.00	75%	4056	8	0	0.008505
escherichia_coli.k32.r_0.001.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.001	local	9	1	runsapprox	0.00	0.00	0.00	100%	4260	0	0	0.008818
escherichia_coli.k32.r_0.01.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.01	local	9	1	default	0.00	0.00	0.00	100%	1344	0	0	0.008842
escherichia_coli.k32.r_0.01.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.01	local	9	1	ones	0.01	0.00	0.00	46%	4076	0	0	0.016665
escherichia_coli.k32.r_0.01.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.01	local	9	1	runsapprox	0.02	0.00	0.00	25%	4388	24	0	0.031466
escherichia_coli.k32.r_0.05.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.05	local	9	1	default	0.00	0.00	0.00	75%	1376	0	0	0.009454
escherichia_coli.k32.r_0.05.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.05	local	9	1	ones	0.02	0.00	0.00	48%	4220	32	0	0.029909
escherichia_coli.k32.r_0.05.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.05	local	9	1	runsapprox	0.02	0.00	0.01	61%	5008	72	0	0.030155
escherichia_coli.k32.r_0.1.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.1	local	9	1	default	0.00	0.00	0.00	66%	1392	0	0	0.008739
escherichia_coli.k32.r_0.1.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.1	local	9	1	ones	0.01	0.00	0.01	93%	4452	0	0	0.017946
escherichia_coli.k32.r_0.1.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.1	local	9	1	runsapprox	0.02	0.00	0.01	87%	5868	176	0	0.028126
escherichia_coli.k32.r_0.2.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.2	local	9	1	default	0.00	0.00	0.00	80%	1412	0	0	0.009969
escherichia_coli.k32.r_0.2.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.2	local	9	1	ones	0.04	0.00	0.03	61%	4712	32	0	0.052167
escherichia_coli.k32.r_0.2.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.2	local	9	1	runsapprox	0.04	0.00	0.03	80%	7776	240	0	0.04961
escherichia_coli.k32.r_0.3.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.3	local	9	1	default	0.00	0.00	0.00	80%	1428	0	0	0.011657
escherichia_coli.k32.r_0.3.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.3	local	9	1	ones	0.04	0.00	0.02	75%	4712	240	0	0.046891
escherichia_coli.k32.r_0.3.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.3	local	9	1	runsapprox	0.06	0.00	0.05	80%	8932	96	0	0.07134
escherichia_coli.k32.r_0.4.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.4	local	9	1	default	0.00	0.00	0.00	100%	1436	0	0	0.011339
escherichia_coli.k32.r_0.4.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.4	local	9	1	ones	0.04	0.00	0.03	95%	5224	152	0	0.047057
escherichia_coli.k32.r_0.4.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.4	local	9	1	runsapprox	0.07	0.00	0.05	78%	11964	224	0	0.081043
escherichia_coli.k32.r_0.5.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.5	local	9	1	default	0.00	0.00	0.00	85%	1444	0	0	0.012582
escherichia_coli.k32.r_0.5.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.5	local	9	1	ones	0.04	0.00	0.03	83%	5224	376	0	0.051168
escherichia_coli.k32.r_0.5.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.5	local	9	1	runsapprox	0.09	0.00	0.06	78%	13196	32	0	0.095004
escherichia_coli.k32.r_0.6.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.6	local	9	1	default	0.00	0.00	0.00	85%	1448	0	0	0.012614
escherichia_coli.k32.r_0.6.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.6	local	9	1	ones	0.04	0.00	0.03	79%	5224	0	0	0.052002
escherichia_coli.k32.r_0.6.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.6	local	9	1	runsapprox	0.09	0.00	0.07	83%	15280	432	0	0.098708
escherichia_coli.k32.r_0.7.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.7	local	9	1	default	0.00	0.00	0.00	85%	1448	0	0	0.012149
escherichia_coli.k32.r_0.7.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.7	local	9	1	ones	0.06	0.01	0.02	63%	5224	440	0	0.066105
escherichia_coli.k32.r_0.7.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.7	local	9	1	runsapprox	0.09	0.01	0.08	98%	15740	0	0	0.097347
escherichia_coli.k32.r_0.8.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.8	local	9	1	default	0.00	0.00	0.00	100%	1444	0	0	0.010185
escherichia_coli.k32.r_0.8.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.8	local	9	1	ones	0.05	0.00	0.04	85%	6248	96	0	0.059778
escherichia_coli.k32.r_0.8.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.8	local	9	1	runsapprox	0.10	0.01	0.08	88%	19232	328	0	0.106902
escherichia_coli.k32.r_0.9.S_local.k_9.d_1.M_default	escherichia_coli.k32	0.9	local	9	1	default	0.00	0.00	0.00	100%	1436	0	0	0.012493
escherichia_coli.k32.r_0.9.S_local.k_9.d_1.M_ones	escherichia_coli.k32	0.9	local	9	1	ones	0.05	0.00	0.03	67%	6248	0	0	0.060515
escherichia_coli.k32.r_0.9.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	0.9	local	9	1	runsapprox	0.13	0.00	0.10	85%	19364	376	0	0.134991
escherichia_coli.k32.r_1.0.S_local.k_9.d_1.M_default	escherichia_coli.k32	1.0	local	9	1	default	0.00	0.00	0.00	100%	1396	0	0	0.010395
escherichia_coli.k32.r_1.0.S_local.k_9.d_1.M_ones	escherichia_coli.k32	1.0	local	9	1	ones	0.09	0.00	0.03	34%	6248	272	0	0.099009
escherichia_coli.k32.r_1.0.S_local.k_9.d_1.M_runsapprox	escherichia_coli.k32	1.0	local	9	1	runsapprox	0.09	0.00	0.06	70%	18064	0	0	0.096562
escherichia_coli.k32.r_0.000000001.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.000000001	local	9	2	default	0.00	0.00	0.00	100%	1332	0	0	0.008229
escherichia_coli.k32.r_0.000000001.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.000000001	local	9	2	ones	0.00	0.00	0.00	50%	4056	8	0	0.006934
escherichia_coli.k32.r_0.000000001.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.000000001	local	9	2	runsapprox	0.00	0.00	0.00	100%	4232	0	0	0.00487
escherichia_coli.k32.r_0.0001.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.0001	local	9	2	default	0.00	0.00	0.00	100%	1324	0	0	0.007803
escherichia_coli.k32.r_0.0001.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.0001	local	9	2	ones	0.00	0.00	0.00	66%	4056	8	0	0.006803
escherichia_coli.k32.r_0.0001.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.0001	local	9	2	runsapprox	0.00	0.00	0.00	100%	4236	0	0	0.006321
escherichia_coli.k32.r_0.001.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.001	local	9	2	default	0.00	0.00	0.00	100%	1328	0	0	0.007714
escherichia_coli.k32.r_0.001.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.001	local	9	2	ones	0.00	0.00	0.00	100%	4056	0	0	0.006633
escherichia_coli.k32.r_0.001.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.001	local	9	2	runsapprox	0.00	0.00	0.00	60%	4260	0	0	0.008707
escherichia_coli.k32.r_0.01.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.01	local	9	2	default	0.00	0.00	0.00	66%	1344	0	0	0.008355
escherichia_coli.k32.r_0.01.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.01	local	9	2	ones	0.00	0.00	0.00	80%	4072	0	0	0.008365
escherichia_coli.k32.r_0.01.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.01	local	9	2	runsapprox	0.02	0.00	0.00	31%	4392	24	0	0.027203
escherichia_coli.k32.r_0.05.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.05	local	9	2	default	0.00	0.00	0.00	100%	1372	0	0	0.009103
escherichia_coli.k32.r_0.05.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.05	local	9	2	ones	0.01	0.00	0.00	47%	4220	0	0	0.023371
escherichia_coli.k32.r_0.05.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.05	local	9	2	runsapprox	0.02	0.00	0.01	48%	4980	72	0	0.030746
escherichia_coli.k32.r_0.1.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.1	local	9	2	default	0.00	0.00	0.00	75%	1380	0	0	0.00929
escherichia_coli.k32.r_0.1.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.1	local	9	2	ones	0.01	0.00	0.01	91%	4452	0	0	0.015801
escherichia_coli.k32.r_0.1.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.1	local	9	2	runsapprox	0.03	0.00	0.01	63%	5708	104	0	0.036267
escherichia_coli.k32.r_0.2.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.2	local	9	2	default	0.00	0.00	0.00	100%	1392	0	0	0.009455
escherichia_coli.k32.r_0.2.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.2	local	9	2	ones	0.04	0.00	0.02	57%	4712	32	0	0.046528
escherichia_coli.k32.r_0.2.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.2	local	9	2	runsapprox	0.03	0.00	0.02	81%	7204	120	0	0.035712
escherichia_coli.k32.r_0.3.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.3	local	9	2	default	0.00	0.00	0.00	100%	1400	0	0	0.010113
escherichia_coli.k32.r_0.3.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.3	local	9	2	ones	0.03	0.00	0.01	54%	4712	192	0	0.041669
escherichia_coli.k32.r_0.3.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.3	local	9	2	runsapprox	0.03	0.00	0.03	100%	8328	0	0	0.037891
escherichia_coli.k32.r_0.4.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.4	local	9	2	default	0.00	0.00	0.00	80%	1404	0	0	0.010597
escherichia_coli.k32.r_0.4.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.4	local	9	2	ones	0.04	0.00	0.03	63%	5224	184	0	0.053542
escherichia_coli.k32.r_0.4.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.4	local	9	2	runsapprox	0.06	0.00	0.04	81%	10892	40	0	0.066957
escherichia_coli.k32.r_0.5.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.5	local	9	2	default	0.00	0.00	0.00	66%	1412	0	0	0.008781
escherichia_coli.k32.r_0.5.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.5	local	9	2	ones	0.04	0.00	0.02	55%	5224	56	0	0.042736
escherichia_coli.k32.r_0.5.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.5	local	9	2	runsapprox	0.06	0.00	0.05	92%	11716	192	0	0.068718
escherichia_coli.k32.r_0.6.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.6	local	9	2	default	0.00	0.00	0.00	100%	1416	0	0	0.009675
escherichia_coli.k32.r_0.6.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.6	local	9	2	ones	0.04	0.00	0.03	75%	5224	272	0	0.047439
escherichia_coli.k32.r_0.6.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.6	local	9	2	runsapprox	0.05	0.01	0.04	96%	13220	0	0	0.062182
escherichia_coli.k32.r_0.7.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.7	local	9	2	default	0.00	0.00	0.00	80%	1416	0	0	0.010906
escherichia_coli.k32.r_0.7.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.7	local	9	2	ones	0.04	0.00	0.02	59%	5224	288	0	0.050147
escherichia_coli.k32.r_0.7.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.7	local	9	2	runsapprox	0.06	0.00	0.05	98%	13960	0	0	0.071588
escherichia_coli.k32.r_0.8.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.8	local	9	2	default	0.00	0.00	0.00	100%	1416	0	0	0.012198
escherichia_coli.k32.r_0.8.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.8	local	9	2	ones	0.03	0.00	0.03	100%	6248	0	0	0.038953
escherichia_coli.k32.r_0.8.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.8	local	9	2	runsapprox	0.07	0.01	0.05	95%	17464	296	0	0.077289
escherichia_coli.k32.r_0.9.S_local.k_9.d_2.M_default	escherichia_coli.k32	0.9	local	9	2	default	0.00	0.00	0.00	100%	1416	0	0	0.011698
escherichia_coli.k32.r_0.9.S_local.k_9.d_2.M_ones	escherichia_coli.k32	0.9	local	9	2	ones	0.03	0.01	0.02	91%	6248	296	0	0.03865
escherichia_coli.k32.r_0.9.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	0.9	local	9	2	runsapprox	0.07	0.01	0.06	97%	17964	0	0	0.076601
escherichia_coli.k32.r_1.0.S_local.k_9.d_2.M_default	escherichia_coli.k32	1.0	local	9	2	default	0.00	0.00	0.00	100%	1396	0	0	0.009705
escherichia_coli.k32.r_1.0.S_local.k_9.d_2.M_ones	escherichia_coli.k32	1.0	local	9	2	ones	0.03	0.00	0.03	86%	6248	96	0	0.040212
escherichia_coli.k32.r_1.0.S_local.k_9.d_2.M_runsapprox	escherichia_coli.k32	1.0	local	9	2	runsapprox	0.07	0.00	0.05	81%	18064	168	0	0.080125
escherichia_coli.k32.r_0.000000001.S_local.k_9.d_3.M_default	escherichia_coli.k32	0.000000001	local	9	3	default	0.00	0.00	0.00	100%	1332	0	0	0.008114
escherichia_coli.k32.r_0.000000001.S_local.k_9.d_3.M_ones	escherichia_coli.k32	0.000000001	local	9	3	ones	0.00	0.00	0.00	100%	4056	0	0	0.006445
escherichia_coli.k32.r_0.000000001.S_local.k_9.d_3.M_runsapprox	escherichia_coli.k32	0.000000001	local	9	3	runsapprox	0.00	0.00	0.00	60%	4232	8	0	0.007603
escherichia_coli.k32.r_0.0001.S_local.k_9.d_3.M_default	escherichia_coli.k32	0.0001	local	9	3	default	0.00	0.00	0.00	100%	1324	0	0	0.008403
escherichia_coli.k32.r_0.0001.S_local.k_9.d_3.M_ones	escherichia_coli.k32	0.0001	local	9	3	ones	0.00	0.00	0.00	75%	4056	0	0	0.008723
escherichia_coli.k32.r_0.0001.S_local.k_9.d_3.M_runsapprox	escherichia_coli.k32	0.0001	local	9	3	runsapprox	0.00	0.00	0.00	100%	4236	0	0	0.008097
escherichia_coli.k32.r_0.001.S_local.k_9.d_3.M_default	escherichia_coli.k32	0.001	local	9	3	default	0.00	0.00	0.00	100%	1328	0	0	0.007629
escherichia_coli.k32.r_0.001.S_local.k_9.d_3.M_ones	escherichia_coli.k32	0.001	local	9	3	ones	0.00	0.00	0.00	75%	4056	8	0	0.007387
escherichia_coli.k32.r_0.001.S_local.k_9.d_3.M_runsapprox	escherichia_coli.k32	0.001	local	9	3	runsapprox	0.00	0.00	0.00	100%	4260	0	0	0.006617
