genome	S_alg	k	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
yeast	prophasm	29	13.60	0.21	13.38	99%	478992	0	23240	13.609244
spneumo-pangenome	greedytigs	24	2.91	0.06	2.85	99%	237816	0	22536	2.921277
sars-cov-2-pangenome	prophasm	7	0.60	0.00	0.60	100%	23440	0	24	0.612932
escherichia_coli.k32	matchtigs	21	8820.48	4.34	8814.00	99%	6918192	0	2338488	8820.492973
yeast	unitigs	10	8.74	52.99	15.07	778%	381448	0	465912	8.743913
sars-cov-2-pangenome	unitigs	12	27.63	184.33	52.73	857%	524376	0	1437240	27.636752
spneumoniae	greedytigs	26	0.16	0.01	0.14	101%	5484	0	4224	0.165473
escherichia_coli.k32	greedytigs	15	844.50	6.62	3727.05	442%	24411848	0	253024	844.511055
yeast	greedytigs	13	65.70	4.39	254.70	394%	2329316	0	19728	65.707286
salmonella_enterica.k32	greedytigs	14	1984.77	7.47	11095.26	559%	15261588	0	120008	1984.772928
streptococcus_pneumoniae-large	unitigs	19	85.13	238.52	480.59	844%	1156180	0	7029328	85.138702
spneumoniae	matchtigs	17	0.26	0.01	0.25	101%	14340	0	5768	0.267886
yeast	greedytigs	17	1.93	0.08	1.85	100%	115612	0	22592	1.941203
spneumo-pangenome	eulertigs	8	0.08	0.00	0.07	96%	9656	0	72	0.090449
escherichia_coli.k32	eulertigs	13	122.40	2.68	114.05	95%	5968212	0	115752	122.407084
spneumoniae	prophasm	11	1.01	0.04	0.97	99%	65840	0	5304	1.022815
sars-cov-2-pangenome	prophasm	19	10.35	0.11	10.23	99%	331360	0	29040	10.356948
salmonella_enterica.k32	greedytigs	10	5.31	0.17	4.77	93%	195256	0	1032	5.318432
spneumo-pangenome	matchtigs	18	39.63	0.19	39.66	100%	346504	0	88888	39.639131
human	greedytigs	9	0.38	0.04	0.30	91%	48516	37960	264	0.386252
spneumo-pangenome	unitigs	30	22.40	30.49	79.60	491%	2304272	288	1071976	22.412697
spneumo-pangenome	prophasm	23	12.17	0.33	11.82	99%	375872	0	26344	12.178295
spneumo-pangenome	eulertigs	28	3.33	0.10	3.23	99%	157704	0	28872	3.340541
yeast	eulertigs	61	1.23	0.01	1.10	90%	7744	0	23000	1.242023
streptococcus_pneumoniae-large	greedytigs	14	2220.51	6.29	12550.29	565%	11788296	0	94296	2220.516833
spneumo-pangenome	eulertigs	19	3.15	0.14	2.99	99%	162460	0	23408	3.155557
yeast	greedytigs	10	16.88	0.09	18.10	107%	189228	0	1040	16.888287
sars-cov-2-pangenome	unitigs	31	22.16	83.27	72.33	702%	626836	0	1489280	22.167069
spneumo-pangenome	unitigs	31	13.89	30.32	60.71	655%	593712	0	1043248	13.898592
sars-cov-2-pangenome	eulertigs	20	6.12	0.27	5.83	99%	284812	0	29920	6.133045
yeast	greedytigs	51	0.76	0.02	0.74	99%	9232	0	22864	0.769315
salmonella_enterica.k32	greedytigs	11	56.69	1.97	279.29	496%	962436	0	4120	56.695586
sars-cov-2-pangenome	greedytigs	17	7.48	0.35	12.57	172%	445276	0	18064	7.491981
sars-cov-2-pangenome	unitigs	10	8.33	32.79	15.03	573%	425500	0	446416	8.340279
yeast	prophasm	24	13.14	0.15	12.98	99%	478148	0	23216	13.14694
sars-cov-2-pangenome	prophasm	11	3.49	0.04	3.44	99%	76508	0	6808	3.498094
spneumo-pangenome	unitigs	61	89.58	67.12	81.30	165%	10640524	9640	891328	89.591332
escherichia_coli.k32	prophasm	8	18.01	0.10	17.89	99%	24672	0	80	18.014394
neisseria_gonorrhoeae.pangenome.k32	eulertigs	14	41.95	1.01	40.52	99%	2559996	0	96080	41.953739
salmonella_enterica.k32	eulertigs	11	8.98	0.32	8.62	99%	425600	0	4192	8.989257
escherichia_coli.k32	eulertigs	12	33.69	0.79	31.39	95%	1683860	0	18272	33.701301
yeast	eulertigs	27	0.99	0.01	0.98	99%	10352	0	22840	1.00104
yeast	unitigs	30	16.22	8.30	73.15	501%	1122160	0	899640	16.233487
sars-cov-2-pangenome	matchtigs	21	2071.21	3.71	2097.65	101%	8588600	0	2609664	2071.221181
neisseria_gonorrhoeae.pangenome.k32	eulertigs	21	3.56	0.12	3.42	99%	133140	0	55456	3.565481
neisseria_gonorrhoeae.pangenome.k32	prophasm	12	17.11	0.23	16.86	99%	331452	0	29664	17.116073
streptococcus_pneumoniae-large	prophasm	10	12.38	0.04	12.33	99%	45200	0	1136	12.388361
minikraken4GB	eulertigs	22	2528.31	301.98	2215.82	99%	171467812	386056	21547280	2528.320851
streptococcus_pneumoniae-large	eulertigs	22	15.87	0.54	15.30	99%	724184	0	166552	15.873282
streptococcus_pneumoniae-large	eulertigs	31	16.01	0.53	15.46	99%	644972	0	186480	16.021307
yeast	unitigs	9	4.84	7.16	5.21	255%	338008	0	167152	4.849602
streptococcus_pneumoniae-large	prophasm	15	122.23	1.92	120.25	99%	1912772	0	242032	122.241801
salmonella_enterica.k32	eulertigs	13	102.30	2.23	96.85	96%	5076152	0	120552	102.309792
escherichia_coli.k32	greedytigs	8	0.19	0.01	0.10	61%	16140	0	72	0.199679
yeast	unitigs	41	15.80	9.41	99.88	691%	1054216	0	1203720	15.814303
spneumoniae	greedytigs	51	0.14	0.00	0.14	100%	4840	0	4256	0.148706
escherichia_coli.k32	prophasm	9	23.08	0.13	22.88	99%	28720	0	288	23.090412
yeast	greedytigs	23	0.75	0.03	0.72	101%	15752	0	22680	0.758627
escherichia_coli.k32	greedytigs	12	1163.74	1.87	2998.22	257%	3763948	0	16648	1163.744545
neisseria_gonorrhoeae.pangenome.k32	eulertigs	9	0.38	0.01	0.36	98%	29448	0	264	0.384351
sars-cov-2-pangenome	greedytigs	21	7.07	0.18	11.18	160%	447136	0	22904	7.08246
salmonella_enterica.k32	prophasm	11	52.56	0.12	52.40	99%	111484	0	4520	52.570921
yeast	greedytigs	19	0.81	0.03	0.79	101%	30612	0	22624	0.817372
yeast	eulertigs	23	0.90	0.02	0.88	99%	11896	0	22848	0.913468
spneumo-pangenome	prophasm	22	10.48	0.12	10.35	99%	370568	0	25696	10.487948
salmonella_enterica.k32	prophasm	13	91.27	0.81	90.35	99%	962220	0	124312	91.278256
spneumoniae	eulertigs	30	0.21	0.00	0.20	99%	4768	0	4264	0.213802
sars-cov-2-pangenome	prophasm	22	11.46	0.13	11.31	99%	356372	0	33736	11.468499
escherichia_coli.k32	greedytigs	20	43.11	1.02	48.52	114%	3630480	0	335304	43.123725
spneumoniae	unitigs	22	3.81	3.87	14.38	478%	241140	0	197664	3.821588
escherichia_coli.k32	matchtigs	11	70.31	0.33	297.63	423%	852196	4072	7168	70.317128
salmonella_enterica.k32	greedytigs	41	21.65	0.77	21.07	100%	1739096	0	335360	21.655913
yeast	matchtigs	24	1.04	0.04	1.01	101%	28572	0	27584	1.044367
spneumoniae	eulertigs	41	0.20	0.00	0.20	99%	4392	0	4280	0.211146
escherichia_coli.k32	greedytigs	21	42.86	1.04	47.56	113%	3348248	0	340584	42.871376
neisseria_gonorrhoeae.pangenome.k32	greedytigs	22	4.32	0.14	3.54	85%	193380	0	53560	4.326072
neisseria_gonorrhoeae.pangenome.k32	eulertigs	15	26.32	1.38	24.46	98%	1555756	0	81776	26.328404
escherichia_coli.k32	greedytigs	61	33.34	7.33	25.88	99%	1511048	0	385624	33.347715
spneumoniae	prophasm	31	2.03	0.03	1.99	99%	113080	0	4344	2.034702
spneumo-pangenome	eulertigs	30	3.18	0.08	3.09	99%	159360	0	29632	3.186198
yeast	eulertigs	14	14.86	0.44	14.31	99%	979048	0	41120	14.86413
spneumoniae	eulertigs	20	0.17	0.00	0.17	98%	5180	0	4248	0.179069
salmonella_enterica.k32	greedytigs	61	14.99	0.51	14.50	100%	1010004	0	238936	14.99922
yeast	matchtigs	19	21.89	0.14	21.87	100%	198152	0	70136	21.897038
neisseria_gonorrhoeae.pangenome.k32	greedytigs	31	4.25	0.13	3.85	93%	180792	0	56896	4.261627
minikraken4GB	unitigs	19	15888.80	97293.42	44699.59	893%	28805956	553508184	766651936	15888.806107
escherichia_coli.k32	unitigs	13	388.43	1639.98	743.55	613%	2210388	0	23498872	388.441749
neisseria_gonorrhoeae.pangenome.k32	greedytigs	12	214.23	2.01	1129.17	527%	2719028	0	15200	214.243645
streptococcus_pneumoniae-large	greedytigs	17	39.28	3.80	47.81	131%	3053664	0	136336	39.290011
spneumoniae	eulertigs	27	0.21	0.00	0.20	98%	4792	0	4264	0.2158
spneumo-pangenome	prophasm	12	7.00	0.09	6.89	99%	174068	0	19296	7.004307
minikraken4GB	unitigs	17	28249.88	192514.71	65794.58	914%	42666536	691309944	1145979440	28249.88825
sars-cov-2-pangenome	greedytigs	18	7.24	0.41	11.93	170%	439020	0	19272	7.251714
spneumo-pangenome	matchtigs	21	67.48	0.29	67.45	100%	329908	0	94528	67.491066
spneumo-pangenome	greedytigs	51	1.65	0.05	1.59	100%	97608	0	26320	1.660178
neisseria_gonorrhoeae.pangenome.k32	prophasm	17	35.16	0.69	34.45	99%	963776	0	60680	35.173153
spneumoniae	eulertigs	16	0.23	0.01	0.21	98%	12628	0	4384	0.236748
spneumoniae	eulertigs	10	1.47	0.07	1.39	99%	91836	0	1544	1.482214
streptococcus_pneumoniae-large	unitigs	51	44.08	29.95	409.87	997%	2421848	0	5196720	44.086179
spneumo-pangenome	eulertigs	9	0.40	0.03	0.36	98%	29620	0	264	0.4027
neisseria_gonorrhoeae.pangenome.k32	eulertigs	8	2.90	0.01	0.06	2%	9656	0	72	2.905674
neisseria_gonorrhoeae.pangenome.k32	greedytigs	20	5.66	0.14	3.81	69%	216072	0	52808	5.665937
streptococcus_pneumoniae-large	eulertigs	11	8.21	0.31	7.88	99%	425624	0	4200	8.2179
spneumo-pangenome	greedytigs	9	0.96	0.05	1.93	205%	75488	0	264	0.972719
spneumoniae	greedytigs	12	15.78	0.30	20.25	130%	423388	0	3912	15.786206
yeast	prophasm	30	14.32	0.41	13.90	99%	479132	0	23240	14.333131
streptococcus_pneumoniae-large	prophasm	22	101.30	1.55	99.65	99%	2775544	0	169752	101.312388
escherichia_coli.k32	prophasm	17	248.22	3.20	244.44	99%	5577320	0	449704	248.225094
yeast	eulertigs	8	0.08	0.00	0.08	98%	9656	0	72	0.088806
yeast	prophasm	20	12.89	0.18	12.70	99%	477080	0	23296	12.924718
salmonella_enterica.k32	eulertigs	61	14.68	0.36	14.30	99%	759700	0	238928	14.686432
spneumoniae	greedytigs	17	0.17	0.00	0.17	102%	10600	0	4192	0.176153
sars-cov-2-pangenome	unitigs	20	18.63	43.71	62.95	572%	604632	0	1106640	18.638208
salmonella_enterica.k32	eulertigs	31	29.28	0.68	28.55	99%	1313972	0	295920	29.284134
salmonella_enterica.k32	greedytigs	31	29.74	1.30	32.17	112%	1965156	0	247864	29.748076
sars-cov-2-pangenome	eulertigs	16	4.62	0.10	4.51	99%	295504	0	24144	4.633072
neisseria_gonorrhoeae.pangenome.k32	prophasm	9	2.02	0.01	2.00	99%	28692	0	288	2.024187
neisseria_gonorrhoeae.pangenome.k32	unitigs	14	142.55	1034.08	309.39	942%	907040	0	7554872	142.560302
spneumoniae	prophasm	20	1.92	0.04	1.88	99%	112560	0	4320	1.925625
salmonella_enterica.k32	prophasm	16	128.19	1.32	126.80	99%	3001068	0	291176	128.202879
spneumoniae	greedytigs	25	0.16	0.00	0.16	101%	5704	0	4224	0.171475
spneumo-pangenome	matchtigs	51	1.64	0.04	1.59	100%	121396	0	26336	1.645372
yeast	eulertigs	20	0.89	0.02	0.86	99%	16936	0	22912	0.90068
yeast	greedytigs	8	0.10	0.02	0.09	112%	16964	0	72	0.112357
yeast	unitigs	15	33.66	145.08	109.92	757%	677116	0	2060064	33.669238
spneumo-pangenome	eulertigs	29	3.44	0.09	3.34	99%	167604	0	29504	3.447229
salmonella_enterica.k32	matchtigs	61	14.99	0.45	14.53	99%	1151304	0	238936	15.001554
neisseria_gonorrhoeae.pangenome.k32	greedytigs	18	4.99	0.24	4.88	102%	330628	0	52080	5.002886
yeast	unitigs	13	75.42	575.53	152.80	965%	670712	0	4010816	75.427409
neisseria_gonorrhoeae.pangenome.k32	prophasm	13	25.84	0.33	25.48	99%	669172	0	79928	25.850838
streptococcus_pneumoniae-large	eulertigs	10	3.11	0.04	1.80	59%	110176	0	1040	3.120992
salmonella_enterica.k32	unitigs	51	59.08	70.00	487.22	943%	2570080	0	6364224	59.093472
minikraken4GB	greedytigs	8	0.13	0.01	0.11	91%	16084	1672	72	0.137326
salmonella_enterica.k32	unitigs	61	52.31	35.33	399.74	831%	2407224	0	4911360	52.32156
sars-cov-2-pangenome	unitigs	9	3.82	7.56	6.96	379%	434152	0	196672	3.829369
spneumo-pangenome	unitigs	22	13.49	32.25	52.50	628%	590300	0	968416	13.49482
sars-cov-2-pangenome	unitigs	19	18.46	83.46	57.21	761%	611224	0	1074224	18.468461
yeast	matchtigs	51	0.83	0.02	0.81	99%	10968	0	23592	0.843587
yeast	greedytigs	25	0.77	0.00	0.77	100%	15300	0	22696	0.780302
minikraken4GB	prophasm	11	998.10	2.57	994.99	99%	111548	0	4424	998.10733
yeast	prophasm	9	0.71	0.01	0.70	100%	28644	0	288	0.720182
sars-cov-2-pangenome	greedytigs	61	2.14	0.20	1.90	98%	103124	224	24208	2.150396
escherichia_coli.k32	eulertigs	11	8.13	0.31	7.71	98%	426408	0	4104	8.140143
escherichia_coli.k32	unitigs	61	176.14	96.53	955.17	597%	25673152	528064	8912408	176.147773
spneumo-pangenome	greedytigs	11	72.61	1.16	396.39	547%	653100	0	3664	72.622577
sars-cov-2-pangenome	prophasm	24	12.18	0.17	12.00	99%	381280	0	36880	12.187124
yeast	prophasm	23	13.09	0.19	12.89	99%	477932	0	23232	13.100074
spneumo-pangenome	greedytigs	20	2.97	0.13	2.84	100%	244920	0	20640	2.978824
streptococcus_pneumoniae-large	prophasm	19	120.42	3.32	117.03	99%	2748436	0	166464	120.428295
streptococcus_pneumoniae-large	unitigs	21	77.55	144.46	446.51	761%	1222432	0	6720352	77.56255
salmonella_enterica.k32	unitigs	19	129.41	299.24	649.81	733%	1254040	0	9787288	129.422825
sars-cov-2-pangenome	prophasm	31	14.89	0.19	14.69	99%	470516	0	48840	14.903416
sars-cov-2-pangenome	prophasm	23	11.81	0.15	11.65	99%	368804	0	35352	11.816855
yeast	prophasm	11	4.12	0.04	4.07	99%	104372	0	6336	4.161601
sars-cov-2-pangenome	prophasm	14	7.85	0.10	7.74	99%	204080	0	23040	7.860304
streptococcus_pneumoniae-large	greedytigs	11	29.63	0.93	90.31	307%	982432	0	4120	29.63877
yeast	eulertigs	13	21.60	0.48	20.93	99%	1349696	0	42872	21.610667
spneumo-pangenome	matchtigs	20	45.58	0.25	45.60	100%	377824	0	113696	45.584298
sars-cov-2-pangenome	greedytigs	11	72.50	1.42	230.66	320%	547288	0	3432	72.508814
salmonella_enterica.k32	greedytigs	15	333.19	3.18	627.94	189%	12699844	0	160672	333.199553
spneumoniae	prophasm	18	1.86	0.04	1.81	99%	112416	0	4320	1.863757
streptococcus_pneumoniae-large	unitigs	20	81.83	161.49	445.70	741%	1187372	0	6817112	81.841844
neisseria_gonorrhoeae.pangenome.k32	eulertigs	41	3.79	0.06	3.72	99%	144244	0	64848	3.802471
salmonella_enterica.k32	unitigs	17	189.32	496.58	736.04	651%	1378048	0	11953264	189.32805
sars-cov-2-pangenome	prophasm	25	12.83	0.15	12.67	99%	393816	0	38592	12.840982
sars-cov-2-pangenome	unitigs	8	2.75	5.01	4.53	345%	447456	0	131744	2.762206
streptococcus_pneumoniae-large	prophasm	13	66.67	0.75	65.84	99%	860740	0	117688	66.67297
escherichia_coli.k32	prophasm	20	237.10	2.73	234.22	99%	5858232	0	409992	237.108906
spneumo-pangenome	unitigs	21	13.88	34.27	54.28	637%	595436	0	962736	13.891657
streptococcus_pneumoniae-large	greedytigs	16	92.77	5.19	191.96	212%	5560072	0	132536	92.778333
escherichia_coli.k32	eulertigs	51	29.13	0.89	28.14	99%	1471688	0	451976	29.135077
neisseria_gonorrhoeae.pangenome.k32	unitigs	41	22.37	13.40	183.74	881%	2375300	0	2445664	22.378096
spneumoniae	greedytigs	61	0.19	0.00	0.19	100%	4584	0	4264	0.202187
escherichia_coli.k32	eulertigs	21	44.97	0.82	43.99	99%	2181092	0	396064	44.978959
minikraken4GB	eulertigs	12	46.57	0.91	40.06	88%	1701024	3104	16464	46.5775
spneumo-pangenome	greedytigs	26	3.05	0.07	3.01	101%	236792	0	23592	3.060456
neisseria_gonorrhoeae.pangenome.k32	unitigs	22	22.13	20.40	137.68	714%	754956	0	2256128	22.137333
sars-cov-2-pangenome	eulertigs	17	5.16	0.22	4.91	99%	282152	0	25464	5.16708
spneumoniae	eulertigs	23	0.18	0.00	0.17	98%	4888	0	4256	0.191568
spneumoniae	greedytigs	20	0.15	0.01	0.14	102%	6496	0	4208	0.157658
spneumoniae	greedytigs	41	0.16	0.00	0.15	99%	4928	0	4248	0.168319
escherichia_coli.k32	eulertigs	18	60.91	1.12	59.55	99%	3189312	0	394984	60.915452
salmonella_enterica.k32	unitigs	10	13.53	54.58	41.67	711%	1731412	0	1253592	13.536237
spneumo-pangenome	eulertigs	13	12.21	0.47	11.65	99%	765716	0	27424	12.222089
streptococcus_pneumoniae-large	eulertigs	61	9.50	0.23	9.27	99%	391416	0	159040	9.510449
yeast	greedytigs	61	1.33	0.03	1.03	80%	8908	0	22904	1.335699
spneumo-pangenome	prophasm	15	9.94	0.21	9.72	99%	331456	0	24504	9.951031
spneumo-pangenome	unitigs	24	22.09	42.22	77.36	541%	2300456	0	1038072	22.095284
spneumoniae	unitigs	41	11.76	11.99	24.36	309%	796056	1256	259008	11.768124
spneumo-pangenome	unitigs	11	20.31	147.11	38.84	915%	462252	0	1165896	20.32369
spneumoniae	greedytigs	29	0.16	0.00	0.16	101%	5228	0	4232	0.164802
spneumo-pangenome	unitigs	13	42.30	301.24	89.43	923%	628020	0	2217696	42.310763
neisseria_gonorrhoeae.pangenome.k32	unitigs	10	9.02	38.96	18.39	635%	532940	0	556736	9.030969
neisseria_gonorrhoeae.pangenome.k32	prophasm	14	31.29	0.65	30.62	99%	810408	0	98952	31.294168
spneumo-pangenome	unitigs	28	22.09	37.21	75.65	510%	2300452	0	1059136	22.097568
escherichia_coli.k32	unitigs	17	357.20	1625.62	1355.07	834%	1928596	0	22059296	357.204206
sars-cov-2-pangenome	greedytigs	10	28.86	0.23	33.31	116%	208476	0	1056	28.866798
escherichia_coli.k32	eulertigs	14	258.88	5.24	244.08	96%	13317676	0	403560	258.886301
sars-cov-2-pangenome	eulertigs	9	0.42	0.02	0.40	98%	29384	0	264	0.433907
sars-cov-2-pangenome	greedytigs	8	0.10	0.01	0.10	111%	17412	0	72	0.113582
sars-cov-2-pangenome	prophasm	9	1.10	0.01	1.09	99%	28544	0	288	1.112855
neisseria_gonorrhoeae.pangenome.k32	greedytigs	11	73.86	1.32	359.56	488%	975500	0	4192	73.870858
escherichia_coli.k32	unitigs	20	197.77	535.66	1147.93	851%	1756960	0	15992392	197.777819
spneumo-pangenome	prophasm	17	10.77	0.41	10.35	99%	341960	0	23136	10.776152
neisseria_gonorrhoeae.pangenome.k32	greedytigs	23	5.18	0.17	3.62	73%	190764	0	53912	5.193863
streptococcus_pneumoniae-large	eulertigs	8	0.73	0.00	0.07	11%	9656	0	72	0.740738
yeast	prophasm	15	12.67	0.19	12.47	99%	460888	0	32568	12.677963
sars-cov-2-pangenome	prophasm	18	10.05	0.14	9.90	99%	331364	0	27448	10.057731
spneumoniae	unitigs	15	5.13	9.67	17.37	526%	267296	0	267424	5.143077
